Trend data for Model:	
Model time base:		12
Plot duration (secs):		3924

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.788591		3.78675		40.26914		11.98095		11.93585		54		23.03056		23.0245		79.52148		53.98228		54		11.93585		40.0258		40		23.0245		98.22828		98.40504		54.93191		52.80363		52.90595		62.65106		35.31006		35.3		98.40504		48.52017		48.51		52.90595
12		3.788184		3.78675		40.34185		12.11849		12.11733		55.29655		23.00056		23.00184		79.47664		54.00444		54		12.11733		40.0717		40		23.08166		98.27137		98.41144		55.04799		52.87666		52.87332		56.70956		35.31496		35.3		98.48764		48.50134		48.51		52.71793
24		3.789147		3.78675		41.10051		11.70391		11.78139		55.21441		22.95285		22.97962		79.45917		53.96419		54		11.78139		39.98845		40		22.978		98.52829		98.57604		55.06645		52.90235		52.93377		53.38034		35.32099		35.3		98.5861		48.5014		48.51		52.71912
36		3.790463		3.78675		41.86696		11.95128		11.45545		54.86982		22.98143		23.01083		79.54209		53.92508		54		11.45545		39.9496		40		22.92966		98.20807		98.37231		55.00558		52.93616		52.89172		60.09247		35.31447		35.3		98.49386		48.51367		48.51		52.84224
48		3.788355		3.78675		40.92442		11.95481		12.29679		55.48881		23.01171		22.96466		79.40612		54.02694		54		12.29679		39.97856		40		22.96574		98.22759		98.7411		55.08718		52.97384		52.93309		62.43422		35.29585		35.3		98.2314		48.52146		48.51		52.9204
60		3.791849		3.78675		42.71837		11.93072		11.48695		55.08431		23.03501		23.04865		79.47974		53.9294		54		11.48695		39.96269		40		22.94601		98.25564		98.5695		55.04327		52.75582		52.88233		48.22514		35.31027		35.3		98.43916		48.5257		48.51		52.96304
72		3.786854		3.78675		40.37498		11.88476		11.99466		55.27067		19.3452		19.25159		70.90597		53.99104		54		11.99466		40.02072		43		19.26648		98.29827		98.146		54.93473		52.72418		52.63722		67.18451		35.27799		35.3		97.97924		48.5135		48.51		52.84135
84		3.787848		3.78675		40.82959		11.87218		12.14376		55.54613		19.33627		19.32788		70.83007		54.00918		54		12.14376		40.10442		43		19.34879		98.317		98.08285		54.95966		52.88029		52.59728		84.70472		35.30325		35.3		98.34321		48.51136		48.51		52.82026
96		3.787643		3.78675		40.74295		12.05223		11.47439		55.26015		19.41627		19.38892		71.0212		53.92844		54		11.47439		40.22723		43		19.48045		98.22216		98.3389		55.08393		52.84438		53.01844		45.57426		35.28526		35.3		98.08462		48.51005		48.51		52.80742
108		3.786208		3.78675		40.08686		12.07415		11.28344		55.02258		19.59107		19.53832		71.20597		53.9055		54		11.28344		40.27331		43		19.51714		98.26227		98.43165		55.18216		52.95716		52.77449		75.26474		35.32279		35.3		98.63054		48.49276		48.51		52.63483
120		3.789669		3.78675		41.74783		12.18546		11.81439		55.49684		19.60509		19.52772		71.31583		53.96953		54		11.81439		40.32995		43		19.56754		98.20929		98.29179		55.20655		52.78847		52.81676		57.42485		35.32098		35.3		98.60416		48.50839		48.51		52.79135
132		3.786393		3.78675		40.09214		12.0134		11.916		55.75358		19.60631		19.62937		71.59588		53.98186		54		11.916		40.39211		43		19.62532		98.25306		98.217		55.11192		52.90061		52.71177		76.06067		35.30096		35.3		98.31865		48.52209		48.51		52.92867
144		3.787083		3.78675		40.50107		12.21807		12.00448		55.54281		19.74456		19.73797		71.69413		53.9924		54		12.00448		40.49326		43		19.7322		98.37256		98.76662		55.3941		52.73638		53.07416		30.6723		35.29219		35.3		98.19503		48.49929		48.51		52.70107
156		3.786018		3.78675		40.01879		12.27754		11.83564		55.65595		19.80408		19.75703		71.8352		53.97187		54		11.83564		40.54591		43		19.77931		98.37604		98.45758		55.3379		52.90321		52.95412		55.19542		35.30464		35.3		98.37671		48.49882		48.51		52.69677
168		3.786673		3.78675		40.35992		12.28795		11.47317		55.36588		19.84943		19.78353		72.02892		53.92798		54		11.47317		40.61747		43		19.85053		98.29664		98.42885		55.36809		52.97955		52.93697		62.66962		35.28692		35.3		98.12308		48.51335		48.51		52.84266
180		3.787065		3.78675		40.46604		12.05808		12.38217		56.26043		19.9606		20.00834		72.25158		54.0375		54		12.38217		40.73594		43		19.98072		98.30235		98.05808		55.30384		52.81286		52.94914		46.67097		35.30252		35.3		98.34759		48.52319		48.51		52.9414
192		3.787239		3.78675		40.54947		12.12546		12.19108		55.91595		19.9727		20.00833		72.35624		54.01427		54		12.19108		40.79669		43		20.03946		98.34293		98.30091		55.38283		52.86453		52.82583		61.49676		35.28904		35.3		98.15537		48.50821		48.51		52.79191
204		3.790021		3.78675		41.92087		12.45434		11.53719		55.85823		20.05905		20.06759		72.47156		53.93505		54		11.53719		40.85009		43		20.08961		98.0089		98.37122		55.51095		52.84577		52.75968		67.46112		35.31326		35.3		98.50721		48.49936		48.51		52.70388
216		3.790047		3.78675		41.94263		12.3995		12.29411		56.0835		20.14477		20.19522		72.68805		54.0262		54		12.29411		40.92002		43		20.16086		98.23971		98.46411		55.54798		52.88387		52.93301		56.43264		35.33336		35.3		98.80096		48.5122		48.51		52.83257
228		3.784008		3.78675		38.89589		12.29634		12.42688		56.06355		20.2594		20.29468		72.84245		54.042		54		12.42688		41.02875		43		20.2809		98.36757		98.20673		55.50364		52.83681		52.88894		56.68203		35.28842		35.3		98.15831		48.51281		48.51		52.83922
240		3.78954		3.78675		41.68856		12.2312		11.91078		55.62461		20.24294		20.2709		72.88038		53.97953		54		11.91078		41.02197		43		20.25757		98.23914		98.29993		55.45544		52.82739		52.86193		57.34502		35.33281		35.3		98.79962		48.51488		48.51		52.86034
252		3.787233		3.78675		40.53329		12.01175		11.86761		55.49862		20.31952		20.32528		73.07217		53.97436		54		11.86761		41.11762		43		20.36227		98.49364		98.49556		55.35494		52.81587		52.74762		65.84339		35.31127		35.3		98.49429		48.51983		48.51		52.91048
264		3.786426		3.78675		40.01658		12.25063		11.66289		55.56759		20.36759		20.46564		73.32924		53.94961		54		11.66289		41.15377		43		20.39341		98.29585		98.18185		55.21136		52.95539		52.79652		73.67099		35.28311		35.3		98.08725		48.50704		48.51		52.78291
276		3.785265		3.78675		39.33368		12.07553		12.45318		56.17301		20.50736		20.4398		73.27954		54.04484		54		12.45318		41.18746		43		20.42198		98.58768		98.08207		55.3097		52.72343		52.85398		49.26038		35.28577		35.3		98.12466		48.50882		48.51		52.80107
288		3.785849		3.78675		39.60978		12.13511		11.75396		55.37898		20.48459		20.51138		73.51503		53.96036		54		11.75396		41.27217		43		20.51452		98.46622		98.17747		55.30457		52.81055		52.90011		52.73406		35.30821		35.3		98.44666		48.52039		48.51		52.91698
300		3.786125		3.78675		39.79931		12.10303		12.43947		55.62164		20.47287		20.57795		73.68676		54.04331		54		12.43947		41.34764		43		20.59591		98.37549		98.40183		55.20729		52.78534		53.1347		30.89163		35.28869		35.3		98.16939		48.52388		48.51		52.95259
312		3.784825		3.78675		39.20106		12.09424		11.49598		55.2596		20.69782		20.66085		73.65229		53.9294		54		11.49598		41.38388		43		20.6289		98.45132		98.29515		55.2968		52.89734		53.08183		44.08533		35.3038		35.3		98.39248		48.52617		48.51		52.97608
324		3.788054		3.78675		40.88763		11.98314		12.02617		55.42255		20.68439		20.72748		73.85784		53.99352		54		12.02617		41.43961		43		20.68655		98.38106		98.23956		55.25904		52.89947		52.81714		67.16169		35.30671		35.3		98.44005		48.52275		48.51		52.94253
336		3.787586		3.78675		40.69484		12.12874		12.32612		55.77915		20.79986		20.78496		73.97171		54.02982		54		12.32612		41.47568		43		20.72015		98.16943		98.28461		55.27817		53.02742		52.83394		76.33406		35.31891		35.3		98.61896		48.52892		48.51		53.00464
348		3.788326		3.78675		41.13197		12.13552		12.19077		55.86021		20.79807		20.80867		74.13208		54.01347		54		12.19077		41.56378		43		20.81897		98.34517		98.59242		55.37689		52.84967		52.98307		48.37628		35.32939		35.3		98.77427		48.50105		48.51		52.72668
360		3.788926		3.78675		41.40262		11.94369		12.48249		55.49335		20.85168		20.8891		74.27328		54.04877		54		12.48249		41.59569		43		20.84819		98.49633		98.76608		55.37424		52.77327		52.93115		45.88033		35.30913		35.3		98.48511		48.51003		48.51		52.81695
372		3.787687		3.78675		40.69222		12.21808		12.34713		55.65754		20.90952		20.91429		74.36143		54.03234		54		12.34713		41.68956		43		20.95495		98.18297		98.72766		55.45128		52.89389		52.87148		60.15003		35.30794		35.3		98.46909		48.51524		48.51		52.8696
384		3.786021		3.78675		39.82212		12.08665		12.03496		55.54364		20.97073		21.04711		74.54465		53.99468		54		12.03496		41.72242		43		20.98609		98.4339		98.23369		55.32216		52.8107		52.92088		48.15363		35.30061		35.3		98.37001		48.51633		48.51		52.88101
396		3.787454		3.78675		40.51366		12.15739		12.30814		55.87717		20.92877		21.02108		74.63924		54.02771		54		12.30814		41.74832		43		21.00894		98.2817		98.17533		55.24269		52.88971		52.94435		53.3954		35.29845		35.3		98.34147		48.52442		48.51		52.96272
408		3.790036		3.78675		41.89744		12.26584		11.48123		55.46559		21.04831		21.1119		74.74913		53.928		54		11.48123		41.86284		43		21.1425		98.09483		98.58418		55.32904		52.8687		53.07852		41.07935		35.31152		35.3		98.53263		48.50736		48.51		52.79284
420		3.790217		3.78675		41.9478		11.82502		11.88124		55.13209		21.12639		21.09361		74.79951		53.97649		54		11.88124		41.86788		43		21.14017		98.32741		98.36261		55.19905		53.00693		52.91024		67.46495		35.29848		35.3		98.34465		48.53477		48.51		53.0677
432		3.788024		3.78675		40.86797		11.98023		11.2731		54.92486		21.13748		21.15071		74.93635		53.90316		54		11.2731		41.90786		43		21.18168		98.48956		98.60433		55.27499		52.83271		52.9073		53.40146		35.29677		35.3		98.3239		48.50365		48.51		52.75698
444		3.784917		3.78675		39.30693		12.22337		12.41289		56.05929		21.21663		21.23656		75.01555		54.04086		54		12.41289		41.92055		43		21.1895		98.29716		98.48934		55.25521		52.93143		52.68297		80.72274		35.30253		35.3		98.40835		48.53077		48.51		53.02885
456		3.785148		3.78675		39.42352		12.10654		12.68955		56.13614		21.23106		21.19158		75.08101		54.07423		54		12.68955		42.00088		43		21.28184		98.39641		98.61632		55.37343		52.8334		53.00652		43.86981		35.31058		35.3		98.52521		48.54215		48.51		53.14319
468		3.787912		3.78675		40.85507		12.04185		11.8023		55.45007		21.27432		21.39636		75.36147		53.96724		54		11.8023		42.03308		43		21.31452		98.47383		98.42125		55.23445		52.84024		52.96903		48.20774		35.29909		35.3		98.36239		48.53319		48.51		53.0544
480		3.791525		3.78675		42.63126		11.92875		11.97219		55.42094		21.34164		21.33876		75.37323		53.98785		54		11.97219		42.06081		43		21.34203		98.46757		98.52055		55.28495		53.0492		52.9169		70.69544		35.30133		35.3		98.39604		48.52636		48.51		52.98683
492		3.784888		3.78675		39.37252		12.02313		12.38495		55.75964		21.38764		21.38798		75.46517		54.03781		54		12.38495		42.14478		43		21.43989		98.49898		98.29701		55.23152		52.91754		52.96901		56.24616		35.29635		35.3		98.32962		48.51383		48.51		52.8621
504		3.78699		3.78675		40.35891		12.01171		11.80829		55.61883		21.45808		21.37861		75.47239		53.96827		54		11.80829		42.16604		43		21.45996		98.4599		98.74257		55.31325		52.89983		53.02407		48.05873		35.28118		35.3		98.11183		48.52759		48.51		53.0003
