Trend data for Model:	
Model time base:		1
Plot duration (secs):		60

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.788004		3.78675		40.02001		11.45813		12.55404		54.92164		23.03325		23		79.47042		54.05699		54		12.55404		40.03157		40		23.03899		98.36429		98.04472		54.72775		52.92697		52.86251		59.9755		35.31742		35.3		98.09478		48.50594		48.51		52.76371
1		3.788972		3.78675		40.55749		11.61004		11.46492		54.53875		23.03493		23		79.46163		53.92552		54		11.46492		39.99338		40		22.94386		98.38257		98.14676		54.68522		52.91699		52.80882		64.0153		35.30942		35.3		97.98115		48.50082		48.51		52.71252
2		3.787046		3.78675		39.61179		11.66491		11.73514		54.54177		22.99376		23		79.50098		53.95822		54		11.73514		40.04323		40		23.06803		98.22755		97.93926		54.61682		52.92086		52.7103		73.18929		35.30548		35.3		97.92531		48.51059		48.51		52.81023
3		3.787673		3.78675		39.95529		11.69286		11.70149		54.60118		23.01598		23		79.47601		53.95419		54		11.70149		40.00572		40		22.97467		98.20673		98.06754		54.61054		52.85957		52.75404		64.17702		35.30171		35.3		97.87212		48.50011		48.51		52.70545
4		3.786768		3.78675		39.51244		11.6471		11.77837		54.6263		23.00185		23		79.48231		53.96353		54		11.77837		40.01925		40		23.00837		98.22035		98.1059		54.58033		52.81305		52.91458		46.34666		35.32331		35.3		98.18489		48.51788		48.51		52.88314
5		3.788042		3.78675		40.16575		11.87665		11.5124		54.55264		23.05427		23		79.41686		53.93143		54		11.5124		39.97449		40		22.89688		98.12221		97.85304		54.51927		52.82085		52.94853		43.82479		35.30383		35.3		97.90513		48.51097		48.51		52.81406
6		3.785348		3.78675		38.83857		11.5728		12.28149		55.0791		22.97206		23		79.46843		54.02434		54		12.28149		39.98992		40		22.93533		98.2639		97.96332		54.48474		52.88189		52.94594		49.33397		35.31914		35.3		98.1268		48.50867		48.51		52.79109
7		3.787964		3.78675		40.16068		11.83336		12.10919		54.8541		23.01134		23		79.44293		54.00358		54		12.10919		39.97879		40		22.9076		98.1545		97.87561		54.43371		52.86948		52.8758		54.33323		35.31594		35.3		98.08102		48.5204		48.51		52.9085
8		3.788474		3.78675		40.44542		11.76054		12.16001		54.90955		22.98932		23		79.45964		54.00975		54		12.16001		40.0366		40		23.05155		98.07484		97.91131		54.4176		52.83204		52.89721		49.17639		35.30052		35.3		97.85888		48.50982		48.51		52.80278
9		3.790091		3.78675		41.27235		11.80122		11.67415		54.94322		22.96568		23		79.50647		53.95108		54		11.67415		40.02974		40		23.03441		97.93278		97.94088		54.42544		52.9409		52.6553		79.70587		35.32092		35.3		98.15321		48.51116		48.51		52.81615
10		3.786638		3.78675		39.61023		11.91746		12.1479		55.29996		23.025		23		79.44703		54.00829		54		12.1479		39.9555		40		22.84954		98.02594		97.89398		54.40808		52.99615		52.65576		84.73948		35.29948		35.3		97.84528		48.5117		48.51		52.82151
11		3.788033		3.78675		40.28836		11.91786		11.47565		54.87161		22.95555		23		79.52217		53.92715		54		11.47565		40.01381		40		22.99475		97.83183		97.65262		54.37361		52.9035		52.93406		52.94271		35.28971		35.3		97.70415		48.50442		48.51		52.74873
12		3.789436		3.78675		41.03895		11.90668		12.29424		55.28789		22.95929		23		79.52555		54.02601		54		12.29424		40.06521		40		23.12277		97.85811		98.25943		54.48502		52.79304		53.03337		34.88139		35.30834		35.3		97.97317		48.52313		48.51		52.9359
13		3.78493		3.78675		38.8374		11.86594		12.1103		55.19742		23.04093		23		79.43083		54.00383		54		12.1103		39.99254		40		22.94179		98.07417		98.13166		54.45579		52.8641		52.75078		65.33958		35.32201		35.3		98.17193		48.50361		48.51		52.74068
14		3.786303		3.78675		39.50283		11.95413		11.74008		55.01844		23.02588		23		79.42973		53.95914		54		11.74008		40.01458		40		22.99668		97.99681		97.66599		54.36786		52.89871		52.89762		55.84046		35.29345		35.3		97.76069		48.52335		48.51		52.93811
15		3.790391		3.78675		41.5817		11.78764		11.75789		55.22391		23.033		23		79.4169		53.9613		54		11.75789		39.93997		40		22.81082		97.88471		98.027		54.45208		52.9273		53.05057		44.99892		35.32135		35.3		98.16328		48.5017		48.51		52.72173
16		3.786398		3.78675		39.64266		11.88151		11.84053		55.15967		22.97551		23		79.50233		53.97131		54		11.84053		40.04627		40		23.07556		98.17109		98.0337		54.40819		52.86059		52.95625		47.42197		35.29862		35.3		97.83696		48.525		48.51		52.95481
17		3.787728		3.78675		40.26257		11.88425		12.15296		55.39957		22.99078		23		79.48868		54.00905		54		12.15296		40.01431		40		22.99602		97.8441		97.93322		54.40705		52.88994		53.02744		43.57047		35.31268		35.3		98.03929		48.52286		48.51		52.93355
18		3.790808		3.78675		41.90236		11.94188		12.13314		55.42582		23.03694		23		79.42588		54.00667		54		12.13314		40.0298		40		23.0346		97.91593		98.18767		54.46602		52.92112		52.96077		52.23999		35.31277		35.3		98.04148		48.5105		48.51		52.80987
19		3.785463		3.78675		39.26396		12.10446		13.17304		55.84647		22.97765		23		79.49287		54.13226		54		13.17304		39.98403		40		22.92067		97.85838		98.04786		54.49344		52.90962		52.76883		67.82951		35.29987		35.3		97.8574		48.53227		48.51		53.0277
20		3.787873		3.78675		40.4353		11.98857		11.12946		54.79152		22.98387		23		79.48828		53.88551		54		11.12946		39.989		40		22.93301		97.83295		97.96775		54.4881		52.99979		52.92073		62.73309		35.28922		35.3		97.70418		48.53462		48.51		53.05126
21		3.789714		3.78675		41.44186		11.7529		12.21628		55.03229		22.99508		23		79.48378		54.01682		54		12.21628		39.97663		40		22.90218		98.0648		98.35599		54.5447		53.04812		52.66314		89.40458		35.3344		35.3		98.35689		48.50142		48.51		52.71924
22		3.786044		3.78675		39.63119		11.82141		12.51688		55.31061		23.01964		23		79.45707		54.05314		54		12.51688		39.97381		40		22.89514		98.21226		98.15007		54.48252		52.96074		52.86011		65.44597		35.32326		35.3		98.19813		48.52286		48.51		52.93362
23		3.788002		3.78675		40.59705		11.822		12.14973		55.18038		22.93933		23		79.52225		54.00883		54		12.14973		39.99227		40		22.94103		97.96861		97.91782		54.465		52.91446		52.94787		53.837		35.30301		35.3		97.90712		48.5116		48.51		52.8211
24		3.787672		3.78675		40.48614		11.9961		11.75371		54.88584		23.025		23		79.45299		53.96103		54		11.75371		40.01223		40		22.99074		97.94274		98.24918		54.54602		52.84287		52.88026		53.45234		35.29682		35.3		97.81927		48.52167		48.51		52.92196
25		3.784928		3.78675		39.07621		11.87432		11.93817		54.83686		22.97876		23		79.49206		53.98335		54		11.93817		40.02633		40		23.02585		98.01612		98.07266		54.49044		52.82779		52.89629		50.50962		35.30187		35.3		97.89252		48.53328		48.51		53.03817
26		3.788586		3.78675		40.89628		11.79491		12.21857		55.10889		23.04224		23		79.41347		54.01723		54		12.21857		39.97508		40		22.89823		97.97207		98.0741		54.45825		52.92766		52.78607		68.56788		35.3052		35.3		97.94031		48.49475		48.51		52.65281
27		3.789872		3.78675		41.58497		11.87014		12.0025		55.06437		22.99568		23		79.44659		53.99116		54		12.0025		40.02706		40		23.02766		97.97175		98.01125		54.45374		52.87143		52.87558		56.19864		35.31743		35.3		98.11761		48.4981		48.51		52.68643
28		3.782677		3.78675		37.97196		11.79308		12.61284		55.26258		22.94625		23		79.49501		54.06491		54		12.61284		40.03057		40		23.03638		98.18896		97.8408		54.37955		52.76358		52.76888		56.02456		35.28783		35.3		97.69206		48.53533		48.51		53.05881
29		3.786809		3.78675		39.96992		11.79973		11.44024		54.95099		22.9853		23		79.47834		53.92331		54		11.44024		40.03475		40		23.04682		97.8198		97.96946		54.39701		52.80857		52.73718		62.3043		35.30046		35.3		97.87283		48.51359		48.51		52.84146
30		3.789015		3.78675		41.17007		11.90058		12.68326		55.75905		24.06836		25		81.97136		54.07341		54		12.68326		40.01898		40		23.00756		97.91002		98.18547		54.43705		52.8273		52.83523		55.44365		35.31383		35.3		98.06622		48.50383		48.51		52.74384
31		3.782447		3.78675		37.8635		12.10473		12.16706		55.55766		24.06599		25		82.97205		54.01107		54		12.16706		39.98106		40		22.91311		97.95527		97.4972		54.31237		52.87111		52.65716		74.77103		35.2825		35.3		97.61553		48.50132		48.51		52.71872
32		3.788982		3.78675		41.07321		12.16534		11.87182		55.46544		24.49045		25		83.32283		53.97541		54		11.87182		40.00509		40		22.97304		97.59787		97.53635		54.3607		52.78278		52.65483		67.51356		35.27835		35.3		97.55421		48.50177		48.51		52.72323
33		3.788284		3.78675		40.80161		12.18622		11.44541		55.23399		24.5042		25		83.86355		53.92391		54		11.44541		39.98412		40		22.92081		97.76895		98.02862		54.45922		52.73859		52.87389		44.88247		35.30929		35.3		98.00022		48.53334		48.51		53.03888
34		3.785966		3.78675		39.61845		12.20476		11.9461		55.5118		24.70821		25		84.07111		53.98435		54		11.9461		40.01544		40		22.9988		97.81342		97.78303		54.43058		52.90274		52.82695		62.81983		35.32172		35.3		98.17979		48.50081		48.51		52.71369
35		3.788633		3.78675		40.96232		12.24223		11.96507		55.31887		24.72265		25		84.33967		53.98665		54		11.96507		40.01223		40		22.99082		97.72059		97.89152		54.491		52.80832		52.8975		48.78686		35.30203		35.3		97.89596		48.50599		48.51		52.76542
36		3.787693		3.78675		40.53062		11.91148		11.84305		55.41811		24.82281		25		84.47857		53.9719		54		11.84305		39.99461		40		22.94693		97.9268		97.90866		54.49645		52.79269		52.94602		43.27215		35.30834		35.3		97.98779		48.49868		48.51		52.69238
37		3.787076		3.78675		40.23498		12.02873		11.98116		55.51414		24.89311		25		84.57871		53.98859		54		11.98116		40.0197		40		23.0094		97.95259		98.20598		54.56386		52.77322		52.65884		66.48591		35.29887		35.3		97.85259		48.51156		48.51		52.82117
38		3.786862		3.78675		40.1206		12.21625		12.35238		55.87253		24.88758		25		84.72162		54.03338		54		12.35238		39.95471		40		22.84754		97.7842		98.2672		54.62355		52.80375		52.88073		50.05101		35.30604		35.3		97.95657		48.50267		48.51		52.73217
39		3.789591		3.78675		41.47909		12.1579		11.73048		55.56987		24.95402		25		84.74151		53.95827		54		11.73048		40.02348		40		23.01868		97.8164		98.03761		54.59264		52.79843		52.9409		44.39		35.30068		35.3		97.87943		48.51031		48.51		52.80863
40		3.788829		3.78675		41.13229		12.31814		12.04229		55.65203		24.9528		25		84.81339		53.9959		54		12.04229		39.97665		40		22.90204		97.69594		98.03011		54.65384		52.74297		52.81494		50.38183		35.31913		35.3		98.14631		48.51452		48.51		52.8507
41		3.786371		3.78675		39.87784		12.05172		11.87284		55.53999		24.9406		25		84.90407		53.97544		54		11.87284		39.97984		40		22.90993		98.0179		98.04323		54.6298		52.87612		52.85024		58.72827		35.2854		35.3		97.66087		48.51528		48.51		52.85841
42		3.786527		3.78675		39.96204		11.96956		12.50689		55.78607		24.93091		25		84.97714		54.05203		54		12.50689		39.98996		40		22.93508		97.85344		98.06222		54.63878		52.84752		52.79839		60.838		35.30243		35.3		97.90601		48.5126		48.51		52.83157
43		3.786691		3.78675		40.03651		12.11706		12.24834		55.77168		24.96397		25		84.98589		54.02079		54		12.24834		39.92731		40		22.77902		97.98834		98.0347		54.60282		52.91616		52.74392		71.61829		35.2976		35.3		97.83672		48.50596		48.51		52.76513
