Trend data for Model:	
Model time base:		1
Plot duration (secs):		1800

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.788772		3.78675		40.46817		11.61652		11.93585		54.73632		23.03355		23.0245		79.54588		54.02168		54		11.93585		40.04726		40		23.0245		98.61061		98.34066		54.9175		52.92545		52.80866		64.42059		35.33318		35.3		98.74118		48.51679		48.51		52.87223
1		3.785615		3.78675		38.85745		11.74464		11.93585		54.93659		23.0691		23.0245		79.492		53.94244		54		11.93585		39.96994		40		23.0245		98.54918		98.174		54.88043		53.0092		52.92614		61.70082		35.29257		35.3		98.1571		48.5253		48.51		52.95742
2		3.78963		3.78675		40.88137		11.80723		11.93585		55.08156		23.04068		23.0245		79.51344		53.94674		54		11.93585		40.03901		40		23.0245		98.20379		98.34893		54.94691		53.07582		52.80639		78.34617		35.3146		35.3		98.47461		48.51162		48.51		52.82057
3		3.7876		3.78675		39.9256		11.85474		11.93585		55.16828		22.97335		23.0245		79.60084		53.97522		54		11.93585		39.98215		40		23.0245		98.37186		98.52408		54.97943		53.0504		52.89979		68.64233		35.3016		35.3		98.28847		48.50275		48.51		52.73194
4		3.785573		3.78675		38.95433		11.83508		11.93585		55.24246		22.98469		23.0245		79.61337		53.9389		54		11.93585		40.00381		40		23.0245		98.33306		98.3535		54.97038		52.84902		52.88629		52.65581		35.30177		35.3		98.29209		48.51005		48.51		52.80499
5		3.787797		3.78675		40.06524		11.90457		11.93585		55.25468		23.07926		23.0245		79.50541		53.93633		54		11.93585		39.98689		40		23.0245		98.32454		98.51769		55.00321		52.9047		52.83181		62.27439		35.31074		35.3		98.42175		48.5132		48.51		52.83648
6		3.787839		3.78675		40.14648		11.93645		11.93585		55.25309		22.98874		23.0245		79.5949		53.95277		54		11.93585		39.99503		40		23.0245		98.28746		98.32516		55.01174		52.86218		52.73121		67.35225		35.29867		35.3		98.24918		48.50796		48.51		52.78409
7		3.788537		3.78675		40.53535		11.90504		11.93585		55.2736		23.06242		23.0245		79.517		54.02478		54		11.93585		40.0179		40		23.0245		98.25063		98.61887		55.09453		52.78199		52.97501		39.50279		35.30264		35.3		98.30741		48.52427		48.51		52.94715
8		3.785108		3.78675		38.8232		11.90651		11.93585		55.28134		23.04481		23.0245		79.53678		53.97404		54		11.93585		40.04224		40		23.0245		98.3716		98.25615		55.00316		52.93035		53.05152		45.43347		35.30253		35.3		98.30621		48.52031		48.51		52.9077
9		3.789401		3.78675		40.99384		11.93962		11.93585		55.27416		23.03424		23.0245		79.54391		53.99388		54		11.93585		40.01149		40		23.0245		98.24711		98.62624		55.09619		52.93542		52.80875		66.76053		35.30768		35.3		98.38099		48.51268		48.51		52.83147
10		3.788134		3.78675		40.39563		11.952		11.93585		55.27771		22.98327		23.0245		79.59731		53.92341		54		11.93585		40.00951		40		23.0245		98.3495		98.42454		55.0498		52.95503		52.88612		61.97582		35.30212		35.3		98.30147		48.54702		48.51		53.17494
11		3.784916		3.78675		38.78921		11.90595		11.93585		55.29989		23.02875		23.0245		79.56096		54.03627		54		11.93585		40.01588		40		23.0245		98.40416		98.54429		55.08877		53.00921		52.80698		73.51942		35.28874		35.3		98.11027		48.50165		48.51		52.72128
12		3.786047		3.78675		39.3078		11.92732		11.93585		55.30431		23.04326		23.0245		79.53258		53.89799		54		11.93585		39.9954		40		23.0245		98.24583		97.95741		54.95587		52.94316		52.84134		65.17625		35.2939		35.3		98.18328		48.50682		48.51		52.77298
13		3.78754		3.78675		40.09176		11.94578		11.93585		55.30354		23.04471		23.0245		79.518		53.92335		54		11.93585		39.98189		40		23.0245		98.29835		98.05983		54.97347		52.84494		52.92605		49.51082		35.30857		35.3		98.39505		48.51599		48.51		52.8647
14		3.785706		3.78675		39.16838		11.9492		11.93585		55.27057		23.00369		23.0245		79.54538		54.01154		54		11.93585		39.93315		40		23.0245		98.37909		98.46004		55.04053		52.87905		53.04126		42.48157		35.28224		35.3		98.01627		48.50526		48.51		52.75753
15		3.788897		3.78675		40.77081		11.93115		11.93585		55.28323		22.98732		23.0245		79.58908		54.01876		54		11.93585		39.95645		40		23.0245		98.15241		98.10519		54.98564		52.83459		52.87358		53.06108		35.30885		35.3		98.39896		48.53527		48.51		53.05769
16		3.789126		3.78675		40.92945		11.9276		11.93585		55.29403		22.97025		23.0245		79.60362		53.95997		54		11.93585		40.01313		40		23.0245		98.35672		98.79756		55.12578		52.88094		52.70239		71.92504		35.32959		35.3		98.69971		48.51979		48.51		52.90285
17		3.788519		3.78675		40.65811		11.89291		11.93585		55.31144		23.063		23.0245		79.53288		53.99605		54		11.93585		39.99412		40		23.0245		98.42334		98.44702		55.06837		52.98476		52.72576		79.14881		35.2886		35.3		98.11015		48.53095		48.51		53.0145
18		3.786186		3.78675		39.47176		11.88573		11.93585		55.32475		22.99847		23.0245		79.57024		54.00378		54		11.93585		40.01318		40		23.0245		98.21258		98.56073		55.12673		53.0501		52.72916		84.79876		35.28413		35.3		98.04616		48.50803		48.51		52.78523
19		3.789961		3.78675		41.39956		11.95057		11.93585		55.29947		23.05168		23.0245		79.5204		53.9623		54		11.93585		39.97347		40		23.0245		98.2747		98.34862		55.0853		52.96834		52.83059		69.44159		35.29189		35.3		98.15835		48.52628		48.51		52.96782
20		3.785932		3.78675		39.4081		11.94521		11.93585		55.30024		23.02766		23.0245		79.53803		54.01081		54		11.93585		39.97791		40		23.0245		98.36659		98.37684		55.09399		52.9588		52.97554		56.1971		35.30502		35.3		98.34862		48.51594		48.51		52.86442
21		3.785751		3.78675		39.30769		11.92007		11.93585		55.31255		23.03043		23.0245		79.53402		53.92553		54		11.93585		39.97872		40		23.0245		98.36392		98.21759		55.05978		52.88442		52.95243		51.98401		35.28891		35.3		98.1167		48.48978		48.51		52.60283
22		3.78715		3.78675		40.00584		11.92992		11.93585		55.31697		23.02449		23.0245		79.5302		53.8732		54		11.93585		40.04827		40		23.0245		98.30452		98.39679		55.08863		52.84075		52.86542		55.88899		35.2994		35.3		98.26772		48.52807		48.51		52.9858
23		3.787808		3.78675		40.36423		11.94934		11.93585		55.31181		23.07867		23.0245		79.47368		53.9454		54		11.93585		39.98111		40		23.0245		98.39487		98.2531		55.04327		52.78432		52.9435		44.14235		35.30172		35.3		98.30158		48.49998		48.51		52.70486
24		3.786088		3.78675		39.48784		11.94868		11.93585		55.3065		23.01299		23.0245		79.54066		54.01916		54		11.93585		40.02813		40		23.0245		98.35674		97.96627		54.96422		52.79427		52.74274		62.24618		35.28883		35.3		98.11516		48.50904		48.51		52.79556
25		3.786433		3.78675		39.66325		11.96384		11.93585		55.30015		23.04367		23.0245		79.52199		53.93562		54		11.93585		40.03717		40		23.0245		98.21606		98.2575		55.02747		52.82702		52.95888		46.33942		35.30566		35.3		98.35736		48.48694		48.51		52.57449
26		3.787446		3.78675		40.15652		11.88888		11.93585		55.34737		23.06602		23.0245		79.49764		54.00112		54		11.93585		40.00698		40		23.0245		98.35298		98.39833		55.03888		52.75055		52.77477		55.59301		35.30609		35.3		98.36399		48.50973		48.51		52.80239
27		3.786119		3.78675		39.52828		11.9601		11.93585		55.32949		23.02163		23.0245		79.53307		54.03044		54		11.93585		39.98303		40		23.0245		98.35067		98.38941		55.03347		52.74026		52.91619		42.27191		35.28868		35.3		98.11323		48.52179		48.51		52.92304
28		3.788428		3.78675		40.67361		11.92861		11.93585		55.31223		23.06414		23.0245		79.47839		53.87835		54		11.93585		40.00336		40		23.0245		98.21244		98.21664		55.0173		52.83972		52.80605		60.24887		35.28322		35.3		98.03433		48.49641		48.51		52.66929
29		3.790061		3.78675		41.55942		11.97793		11.93585		55.28889		23.00962		23.0245		79.54045		54.00314		54		11.93585		39.96989		40		23.0245		98.2653		98.56445		55.10471		52.79288		52.84116		53.29507		35.31918		35.3		98.55365		48.54214		48.51		53.12663
30		3.785684		3.78675		39.38484		11.89416		11.93585		55.32401		23.06552		23.0245		79.46762		54.00423		54		11.93585		39.97713		40		23.0245		98.50789		98.3372		55.05975		52.85129		52.78863		62.70166		35.31836		35.3		98.5439		48.5		48.51		52.70518
31		3.788079		3.78675		40.57506		11.96612		11.93585		55.30119		22.98875		23.0245		79.55667		53.90958		54		11.93585		39.98147		40		23.0245		98.35903		98.37205		55.09955		52.87055		52.74927		67.99249		35.30912		35.3		98.41159		48.50631		48.51		52.76834
32		3.789758		3.78675		41.48415		11.92483		11.93585		55.3023		23.05542		23.0245		79.4904		53.93003		54		11.93585		39.99208		40		23.0245		98.36119		98.49777		55.14855		52.84091		53.07547		37.32544		35.31775		35.3		98.53729		48.51384		48.51		52.84368
33		3.784262		3.78675		38.76047		11.92054		11.93585		55.3056		23.04476		23.0245		79.49657		54.0001		54		11.93585		39.95941		40		23.0245		98.47452		98.33502		55.09684		52.8858		52.69284		74.14317		35.27411		35.3		97.90896		48.51377		48.51		52.843
34		3.787781		3.78675		40.51916		11.93578		11.93585		55.30619		22.98439		23.0245		79.55587		53.97108		54		11.93585		39.96508		40		23.0245		98.21787		98.51443		55.15966		52.91641		52.77431		69.88199		35.29793		35.3		98.25249		48.5182		48.51		52.88725
35		3.789481		3.78675		41.40474		11.97446		11.93585		55.28939		23.00349		23.0245		79.55249		53.98768		54		11.93585		39.93831		40		30		98.42545		98.46164		55.10271		52.9179		52.83376		64.8265		35.29693		35.3		98.2379		48.50742		48.51		52.77953
36		3.786164		3.78675		39.77996		11.91756		11.93585		55.31263		26.59617		30		88.47448		53.9947		54		11.93585		40.04063		40		30		98.37232		98.6062		55.15436		52.8725		52.90495		54.76399		35.30037		35.3		98.28868		48.51111		48.51		52.8165
37		3.786729		3.78675		40.04009		11.949		11.93585		55.28535		26.39405		30		92.37159		53.98971		54		11.93585		40.02231		40		30		98.38563		98.08838		55.0312		52.88055		52.87185		58.35857		35.29998		35.3		98.28276		48.53759		48.51		53.08137
38		3.78644		3.78675		39.88492		11.93119		11.93585		55.29843		28.15002		30		93.54505		54.02023		54		11.93585		39.98189		40		30		98.32743		98.29092		55.05696		52.96265		52.89185		63.74303		35.29753		35.3		98.24719		48.52659		48.51		52.9714
39		3.787568		3.78675		40.4652		11.9047		11.93585		55.31656		28.42153		30		95.09517		53.99728		54		11.93585		40.01928		40		30		98.35135		98.14427		55.01891		53.00055		52.68987		84.64699		35.30584		35.3		98.36714		48.51964		48.51		52.90192
40		3.785596		3.78675		39.4742		11.95986		11.93585		55.28631		29.06893		30		95.82424		53.9271		54		11.93585		39.95215		40		30		98.418		97.855		54.91034		52.94806		52.79101		71.64143		35.30427		35.3		98.34368		48.50241		48.51		52.72969
41		3.784411		3.78675		38.83134		11.94379		11.93585		55.28403		29.20056		30		96.5873		54.03726		54		11.93585		40.00228		40		30		98.22757		97.9298		54.93192		52.89385		52.84516		62.75309		35.29851		35.3		98.25995		48.506		48.51		52.76551
42		3.789263		3.78675		41.30659		11.98441		11.93585		55.26322		29.49855		30		96.94505		53.97685		54		11.93585		39.93194		40		30		98.22454		98.43131		55.03866		52.88234		52.95234		52.6127		35.32704		35.3		98.6715		48.50301		48.51		52.73567
43		3.784825		3.78675		39.10795		11.94568		11.93585		55.2907		29.58116		30		97.32017		53.93404		54		11.93585		39.9631		40		30		98.47611		98.30035		54.99716		52.77418		52.97207		41.70556		35.29553		35.3		98.2184		48.52358		48.51		52.94134
