Trend data for Model:	
Model time base:		1
Plot duration (secs):		716

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.788591		3.78675		40.26914		11.98095		11.93585		54		23.03056		23.0245		79.52148		53.98228		54		11.93585		40.0258		40		23.0245		98.22828		98.40504		54.93191		52.80363		52.90595		62.65106		35.31006		35.3		98.40504		48.52017		48.51		52.90595
1		3.790786		3.78675		41.39248		11.35795		11.35141		53.99131		23.00155		23.00366		79.47093		53.91174		54		11.35141		39.963		40		22.8681		98.61621		98.63577		54.97335		52.89794		52.89341		54.85551		35.30736		35.3		98.36694		48.51349		48.51		52.8392
2		3.786525		3.78675		39.32663		11.48318		12.00344		54.8283		22.89259		23.04854		79.61808		53.99049		54		12.00344		40.01496		40		22.99753		98.58183		98.44374		54.91509		52.92666		53.00383		47.98422		35.31189		35.3		98.4336		48.5267		48.51		52.97139
3		3.787604		3.78675		39.84602		11.87302		12.11583		55.07923		23.04211		22.97286		79.40412		54.00406		54		12.11583		40.03733		40		23.05326		98.3316		98.55226		54.95996		52.99415		52.93062		60.07022		35.28986		35.3		98.11698		48.51026		48.51		52.80702
4		3.790527		3.78675		41.35376		11.92285		11.22049		54.798		22.95786		22.9731		79.46574		53.89595		54		11.22049		40.03913		40		23.05775		98.15702		98.3546		54.95728		52.99439		52.84139		68.81503		35.31636		35.3		98.4989		48.50336		48.51		52.73805
5		3.786128		3.78675		39.2274		11.75205		12.27467		55.09751		23.04316		22.92651		79.35044		54.0233		54		12.27467		40.04468		40		23.07165		98.52204		98.41127		54.95504		52.93345		52.71865		75.42643		35.31288		35.3		98.45066		48.50238		48.51		52.72826
6		3.783439		3.78675		37.84457		11.76995		12.0852		55.2687		23.02084		22.8749		79.25779		54.00043		54		12.0852		39.97623		40		22.90119		98.44317		98.13081		54.88477		52.85789		52.83135		59.86193		35.27779		35.3		97.9449		48.51449		48.51		52.84941
7		3.791686		3.78675		41.98971		11.80777		11.30447		54.88686		22.90544		22.91185		79.39497		53.90618		54		11.30447		40.00149		40		22.96408		98.18068		98.61213		55.01447		52.85826		52.88031		54.94115		35.28811		35.3		98.09392		48.4962		48.51		52.66654
8		3.78844		3.78675		40.44656		11.69976		11.88986		55.07018		23.01052		22.84096		79.27931		53.97693		54		11.88986		40.00888		40		22.98253		98.42549		98.54256		54.97401		52.78547		52.78872		56.66778		35.33976		35.3		98.83935		48.51024		48.51		52.80696
9		3.788014		3.78675		40.24312		11.88578		11.96077		55.10538		23.00064		23.09225		79.5357		53.98552		54		11.96077		39.99259		40		22.94197		98.46363		98.21326		54.89927		52.81547		52.90959		47.58363		35.30762		35.3		98.37694		48.53077		48.51		53.01236
10		3.789979		3.78675		41.25232		11.88051		11.81922		54.96929		22.94828		23.04891		79.53964		53.96845		54		11.81922		40.00345		40		22.96904		98.16326		98.81948		55.08665		52.86318		52.93318		48.98323		35.32978		35.3		98.69761		48.52358		48.51		52.94046
11		3.786978		3.78675		39.83281		11.865		11.15658		54.58008		22.96559		22.94051		79.39462		53.88847		54		11.15658		40.04675		40		23.07685		98.5385		98.37158		54.97807		52.96665		53.01486		51.19219		35.3208		35.3		98.56996		48.51863		48.51		52.89103
12		3.78855		3.78675		40.62661		11.73808		11.45618		54.77544		23.06557		22.89406		79.23331		53.92469		54		11.45618		40.04946		40		23.08363		98.40983		98.53621		55.04537		52.97606		52.89572		63.37181		35.30985		35.3		98.41395		48.53662		48.51		53.07102
13		3.78947		3.78675		41.13528		11.87584		11.85332		54.89473		22.99419		22.99289		79.37525		53.97268		54		11.85332		39.9952		40		22.94853		98.38941		98.19956		54.97971		53.11302		52.82657		82.72465		35.31554		35.3		98.49666		48.51819		48.51		52.88677
14		3.786114		3.78675		39.49017		11.73114		11.73713		54.98985		22.96737		22.83002		79.15695		53.95867		54		11.73713		39.99566		40		22.94961		98.55972		98.31615		54.96813		53.02599		52.9287		68.12847		35.30154		35.3		98.29582		48.50913		48.51		52.79624
15		3.787552		3.78675		40.17589		11.90215		11.822		54.98649		22.95256		22.88242		79.2752		53.96895		54		11.822		39.97631		40		22.90146		98.25037		98.13106		54.94773		52.92895		52.84855		67.28823		35.29059		35.3		98.1375		48.53396		48.51		53.04462
16		3.786683		3.78675		39.80981		11.93928		11.61173		54.86892		22.93699		22.99134		79.41445		53.94358		54		11.61173		39.96266		40		22.86747		98.29842		98.28098		54.963		52.90538		52.82426		67.49838		35.31016		35.3		98.41969		48.51332		48.51		52.83819
17		3.786264		3.78675		39.58246		11.79746		11.46483		54.94228		22.93679		22.90287		79.30936		53.92586		54		11.46483		39.97758		40		22.90457		98.43009		98.1486		54.91352		52.85888		52.83567		63.15605		35.30734		35.3		98.37952		48.50366		48.51		52.74158
18		3.788555		3.78675		40.75235		11.80065		11.36834		54.94927		22.97845		23.01798		79.4075		53.91423		54		11.36834		39.99489		40		22.94768		98.30703		98.39882		54.97717		52.79219		52.88217		53.53064		35.30342		35.3		98.32363		48.51418		48.51		52.84687
19		3.786481		3.78675		39.73441		11.83824		11.74586		55.01438		23.00479		23.03007		79.44848		53.95987		54		11.74586		40.00843		40		22.98147		98.40954		98.65163		55.01612		52.80521		52.9193		50.27763		35.3103		35.3		98.42375		48.50332		48.51		52.73834
20		3.787103		3.78675		40.05489		11.90648		10.89258		54.82181		22.97376		22.98542		79.36575		53.85683		54		10.89258		39.95918		40		22.85877		98.35175		98.38456		54.97625		52.73922		53.00793		36.26665		35.29275		35.3		98.17139		48.50557		48.51		52.76081
21		3.78669		3.78675		39.86327		11.91839		11.41232		55.02528		22.87375		22.86472		79.31817		53.91961		54		11.41232		40.01783		40		23.00478		98.26843		98.40982		54.98869		52.75852		52.6639		67.39019		35.32199		35.3		98.59277		48.51987		48.51		52.90386
22		3.7884		3.78675		40.74568		11.70363		11.66353		54.90339		23.04726		23.01687		79.33587		53.95002		54		11.66353		40.00972		40		22.98461		98.51372		98.56742		54.97808		52.86129		52.80575		63.43854		35.32741		35.3		98.67155		48.50219		48.51		52.7271
23		3.785687		3.78675		39.44403		11.84808		12.1001		55.16136		22.85439		22.9478		79.48183		54.00276		54		12.1001		40.01963		40		23.00934		98.49005		98.39671		54.96847		52.79886		52.74078		63.72986		35.3027		35.3		98.31715		48.53197		48.51		53.02496
24		3.785703		3.78675		39.40837		11.83774		12.66227		55.58695		22.98893		23.00269		79.44789		54.07066		54		12.66227		40.00272		40		22.96725		98.28758		98.38757		54.9745		52.92611		52.55839		90.89102		35.27553		35.3		97.9251		48.51478		48.51		52.85294
25		3.789824		3.78675		41.48986		11.95802		12.27784		55.76953		22.93161		22.9987		79.4593		54.0242		54		12.27784		40.02595		40		23.02507		98.13322		98.26833		54.9706		52.9118		52.92145		58.73997		35.31051		35.3		98.42878		48.52347		48.51		52.93999
26		3.787157		3.78675		40.19293		12.12157		11.98419		55.43124		22.97629		22.96261		79.34735		53.98876		54		11.98419		39.97755		40		22.90451		98.22062		98.36374		55.00984		52.97031		52.91577		65.13723		35.30467		35.3		98.34535		48.50722		48.51		52.7774
27		3.789642		3.78675		41.43379		11.91818		13.05946		55.99174		22.92817		22.91373		79.35049		54.11861		54		13.05946		40.03198		40		23.04009		98.23493		98.40699		55.01213		52.89747		52.9208		59.42535		35.31188		35.3		98.44898		48.51253		48.51		52.8306
28		3.787501		3.78675		40.40267		12.0635		11.8516		55.29573		23.00391		22.86963		79.23285		53.97278		54		11.8516		39.98454		40		22.92192		98.22556		98.3715		55.02501		52.84502		52.82981		62.8695		35.31796		35.3		98.53713		48.52895		48.51		52.9948
29		3.784579		3.78675		38.92067		11.92224		12.58161		55.76893		22.93287		22.92647		79.36133		54.06093		54		12.58161		39.95832		40		22.85665		98.41322		98.04451		54.92244		52.8665		52.86237		61.26876		35.28885		35.3		98.11718		48.50351		48.51		52.74047
30		3.787913		3.78675		40.56666		12.04636		12.52051		55.63024		22.9906		23.02298		79.39401		54.05357		54		12.52051		39.9892		40		22.93351		98.08881		98.29205		55.01642		52.85352		52.73762		72.05717		35.2962		35.3		98.22271		48.51948		48.51		52.90012
31		3.789652		3.78675		41.48752		12.1327		12.35449		55.45569		22.96558		23.03232		79.41494		54.03354		54		12.35449		40.02923		40		23.03318		98.22298		98.58783		55.11146		52.82909		52.81593		63.13939		35.31271		35.3		98.46217		48.51301		48.51		52.83538
32		3.785649		3.78675		39.50532		11.95379		11.71839		55.37751		22.98646		23.06213		79.43618		53.95671		54		11.71839		40.02316		40		23.01809		98.40788		98.27513		55.04368		52.81721		53.02838		43.78771		35.30981		35.3		98.42118		48.5045		48.51		52.75032
33		3.786398		3.78675		39.87945		11.99248		11.92229		55.26908		22.92872		22.88463		79.30831		53.98137		54		11.92229		40.03651		40		23.05134		98.33946		98.25196		55.05056		52.76337		52.71082		66.92601		35.29323		35.3		98.18269		48.52443		48.51		52.94964
34		3.789607		3.78675		41.47811		11.92456		11.71569		55.13937		22.98876		23.00985		79.38773		53.95644		54		11.71569		39.97558		40		22.89961		98.26823		98.33592		55.05629		52.80088		52.72736		68.65525		35.30107		35.3		98.29518		48.50769		48.51		52.78222
35		3.785046		3.78675		39.24803		11.98736		11.32972		54.89191		22.81881		22.95682		79.4909		53.90986		54		11.32972		39.9621		40		22.86603		98.33179		98.3131		55.06272		52.78996		52.91596		51.65091		35.30457		35.3		98.3465		48.52825		48.51		52.98786
36		3.787221		3.78675		40.28839		11.81964		11.93401		55.09858		22.97393		22.97667		79.40872		53.98287		54		11.93401		39.99723		40		22.95354		98.36698		98.10722		54.98997		52.83469		52.93223		53.82094		35.29882		35.3		98.26319		48.48593		48.51		52.56459
37		3.789153		3.78675		41.33371		11.75944		11.76304		55.15737		22.98775		22.8935		79.33785		53.96224		54		11.76304		39.96736		40		22.87917		98.39514		98.32494		55.01909		52.75911		52.99298		41.82073		35.31736		35.3		98.5308		48.50963		48.51		52.80172
38		3.78503		3.78675		39.26433		11.75608		11.93584		55.48562		22.98492		22.94537		79.41672		53.98312		54		11.93584		39.97948		40		22.90939		98.55385		98.31775		54.96922		52.73042		52.81646		53.26738		35.28157		35.3		98.01564		48.5096		48.51		52.80139
39		3.787594		3.78675		40.51172		12.0311		12.0695		55.68128		22.92338		22.91691		79.44165		53.99925		54		12.0695		40.04774		40		23.07938		98.07807		98.19192		54.98132		52.73261		52.8719		48.34299		35.30693		35.3		98.37997		48.49952		48.51		52.70055
40		3.788085		3.78675		40.78824		12.0785		12.23088		55.55849		23.0699		22.92729		79.31031		54.01876		54		12.23088		40.0162		40		23.00086		98.27679		98.45826		55.03702		52.73061		52.67556		64.74732		35.31766		35.3		98.53542		48.50695		48.51		52.77481
41		3.782883		3.78675		38.19131		12.07577		12.65758		55.82576		22.97696		23.00705		79.47248		54.07028		54		12.65758		39.96379		40		22.87036		98.29046		98.54215		55.07659		52.7902		52.84907		53.88785		35.28872		35.3		98.11901		48.50814		48.51		52.78673
42		3.786869		3.78675		40.11924		11.94682		11.44288		55.39853		22.95958		22.90546		79.37969		53.92359		54		11.44288		40.02114		40		23.01319		98.18455		98.29725		55.03221		52.80908		52.83422		57.12171		35.28321		35.3		98.03874		48.50785		48.51		52.7838
