Trend data for Model:	
Model time base:		1
Plot duration (secs):		1697

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.788591		3.78675		40.26914		11.98095		11.93585		54		23.03056		23.0245		79.52148		53.98228		54		11.93585		40.0258		40		23.0245		98.22828		98.40504		54.93191		52.80363		52.90595		62.65106		35.31006		35.3		98.40504		48.52017		48.51		52.90595
1		3.788052		3.78675		40.01303		11.58089		11.33234		54.29309		23.07196		23.10879		79.5253		53.93199		54		11.33234		39.97189		40		22.86275		98.49228		98.45094		54.96564		52.83033		52.89014		48.63969		35.29701		35.3		98.21747		48.49471		48.51		52.65141
2		3.786883		3.78675		39.48671		11.76513		12.15981		54.65668		22.8849		23.0559		79.63924		54.00094		54		12.15981		40.02416		40		23.01958		98.33029		98.42418		54.97917		52.85062		52.89884		50.28539		35.30842		35.3		98.38291		48.49939		48.51		52.69821
3		3.78679		3.78675		39.46131		11.56463		11.70706		54.75489		23.06763		22.93673		79.31667		53.96321		54		11.70706		39.9507		40		22.79919		98.57166		98.52135		54.95464		52.83659		52.82014		55.85773		35.30549		35.3		98.34183		48.49045		48.51		52.60884
4		3.787347		3.78675		39.7775		11.76949		12.40308		55.15594		22.83185		22.96556		79.54173		54.02121		54		12.40308		40.00225		40		22.95385		98.36544		98.39094		54.94517		52.7975		53.10133		27.93218		35.2805		35.3		97.98211		48.50358		48.51		52.74014
5		3.786564		3.78675		39.43355		11.86625		11.69491		55.19896		23.07765		22.96918		79.32112		53.9622		54		11.69491		40.01893		40		23.00387		98.2523		98.43423		54.95728		52.77121		52.81518		49.24032		35.31204		35.3		98.43669		48.50955		48.51		52.79994
6		3.784824		3.78675		38.56376		12.13156		12.29794		55.4322		22.90934		22.9403		79.42672		54.01245		54		12.29794		39.99238		40		22.92423		98.21192		98.43806		54.99553		52.78269		52.72302		57.77371		35.3075		35.3		98.37223		48.50519		48.51		52.75637
7		3.787864		3.78675		40.08824		11.73519		11.69338		55.25881		22.90645		23.01714		79.47406		53.96207		54		11.69338		40.00578		40		22.96444		98.40206		98.37688		54.96061		52.76809		52.91976		39.48216		35.30679		35.3		98.3624		48.51838		48.51		52.88829
8		3.788084		3.78675		40.22857		11.92839		12.44011		55.54334		22.98461		22.88963		79.24972		54.0243		54		12.44011		39.90009		40		22.64737		98.25048		98.35639		54.97542		52.9425		52.77067		67.33777		35.30231		35.3		98.29797		48.52314		48.51		52.93593
9		3.788622		3.78675		40.5506		12.09667		11.4334		55.15833		22.77051		23.12637		79.65372		53.94041		54		11.4334		39.98349		40		22.89756		98.21555		98.54625		55.04959		52.96476		52.78651		68.63752		35.30263		35.3		98.30348		48.5159		48.51		52.86353
10		3.788578		3.78675		40.52743		11.86808		11.61396		55.27546		23.0208		22.97515		79.31547		53.95546		54		11.61396		39.98547		40		22.9035		98.31556		98.2448		54.98023		53.0025		52.71401		80.08467		35.32738		35.3		98.66045		48.5229		48.51		52.93354
11		3.786345		3.78675		39.46432		11.88894		12.92157		55.87937		22.88072		22.97519		79.39058		54.06442		54		12.92157		39.96392		40		22.83884		98.41663		98.47856		55.02199		53.00461		52.80905		73.67478		35.32384		35.3		98.61065		48.53838		48.51		53.08837
12		3.787062		3.78675		39.78905		12.02907		13.2255		55.66816		22.90425		22.86019		79.26211		54.08975		54		13.2255		40.01657		40		22.99679		98.28085		98.31924		55.01076		53.07163		52.85421		76.47846		35.30637		35.3		98.3592		48.50032		48.51		52.70776
13		3.791148		3.78675		41.88118		12.07536		11.2352		54.59573		22.98232		22.94123		79.28321		53.92389		54		11.2352		40.02202		40		23.01315		98.14388		98.52745		55.09268		52.97478		52.88417		67.62683		35.30833		35.3		98.38759		48.51088		48.51		52.81342
14		3.788133		3.78675		40.45636		11.77107		11.64322		54.50147		22.925		22.75336		79.11503		53.9579		54		11.64322		39.95418		40		22.80964		98.50581		98.53644		55.07126		52.81777		52.90682		51.96418		35.32788		35.3		98.67114		48.50391		48.51		52.74374
15		3.786564		3.78675		39.66985		11.48471		11.64447		54.57058		22.8742		22.79367		79.16719		53.958		54		11.64447		39.98876		40		22.91338		98.71358		98.26937		54.94233		52.78629		52.8352		54.81331		35.30703		35.3		98.37112		48.52039		48.51		52.9086
16		3.788369		3.78675		40.59013		11.41036		11.47875		54.50708		22.93254		22.99614		79.40067		53.94419		54		11.47875		39.99075		40		22.91933		98.55228		98.21811		54.89034		52.77904		52.80579		56.14052		35.30395		35.3		98.32677		48.51337		48.51		52.8384
17		3.788097		3.78675		40.4784		11.63612		12.28983		54.75247		22.93798		22.87724		79.25753		54.01178		54		12.28983		39.99292		40		22.92584		98.44627		98.76932		55.01566		52.85262		52.72154		69.06869		35.32762		35.3		98.67018		48.51589		48.51		52.8636
18		3.78788		3.78675		40.42318		11.69461		11.78808		54.95954		22.93856		23.00415		79.3533		53.96997		54		11.78808		40.01408		40		22.98933		98.60489		98.37362		54.90292		52.91605		52.83653		64.65101		35.2982		35.3		98.24726		48.52568		48.51		52.96158
19		3.785189		3.78675		39.08036		11.8168		12.85098		55.7823		22.98963		22.92013		79.24302		54.05854		54		12.85098		39.98889		40		22.91375		98.24289		98.20308		54.90322		52.90342		52.77757		69.00548		35.29269		35.3		98.16765		48.51823		48.51		52.8871
20		3.788743		3.78675		40.87596		11.99348		12.44113		55.35761		22.9117		22.965		79.40956		54.02439		54		12.44113		39.95009		40		22.79735		98.1873		98.56546		55.00226		52.98267		52.81752		73.36396		35.31366		35.3		98.47055		48.49867		48.51		52.69157
21		3.785542		3.78675		39.30835		11.78244		11.94033		54.78929		22.85536		22.96358		79.47727		53.98266		54		11.94033		39.99643		40		22.93639		98.46752		98.22363		54.89762		52.87979		52.82904		64.87524		35.29663		35.3		98.22541		48.5181		48.51		52.88583
22		3.788642		3.78675		40.8561		11.78411		12.34201		54.95427		23.02782		23.07519		79.41624		54.01613		54		12.34201		40.03899		40		23.06407		98.29173		98.26664		54.92496		52.84358		52.91022		54.39392		35.30442		35.3		98.33819		48.52547		48.51		52.95965
23		3.786682		3.78675		39.90008		11.74636		12.50738		55.45553		23.0018		22.92699		79.26338		54.02991		54		12.50738		39.93417		40		22.74962		98.49879		98.28981		54.87268		52.86591		52.88574		58.26298		35.30336		35.3		98.32293		48.50508		48.51		52.75571
24		3.786866		3.78675		39.98954		11.81113		11.38828		54.8871		22.78457		23.00764		79.57465		53.93665		54		11.38828		39.99099		40		22.92005		98.29714		98.24958		54.8648		52.87139		52.94587		53.43857		35.30009		35.3		98.27504		48.50633		48.51		52.76828
25		3.784369		3.78675		38.77009		11.60155		12.16306		55.46664		23.06161		22.92517		79.2759		54.00122		54		12.16306		40.01784		40		23.00063		98.50406		98.4533		54.85641		52.77206		52.83377		54.8742		35.29668		35.3		98.22629		48.51402		48.51		52.84516
26		3.785489		3.78675		39.2955		12.36683		11.89001		55.22478		22.88782		22.98377		79.51894		53.97846		54		11.89001		40.01072		40		22.97926		97.88558		98.19074		54.9161		52.83552		52.82055		61.91219		35.31854		35.3		98.54127		48.51378		48.51		52.84275
27		3.788196		3.78675		40.69618		11.93561		11.28621		55.07136		23.02051		22.86546		79.19838		53.92815		54		11.28621		40.0114		40		22.9813		98.31879		98.39833		54.93885		52.81545		52.79724		61.93887		35.30512		35.3		98.34834		48.51448		48.51		52.84974
28		3.785796		3.78675		39.5177		11.799		11.88097		55.34714		22.95103		23.15257		79.59199		53.97771		54		11.88097		40.02375		40		23.01833		98.33344		98.14665		54.89726		52.85177		52.75217		68.69242		35.3096		35.3		98.41349		48.515		48.51		52.85504
29		3.78727		3.78675		40.21958		12.18617		12.32411		55.55664		23.03756		22.89308		79.23633		54.01464		54		12.32411		40.04032		40		23.06804		98.04825		98.12543		54.91297		52.81342		52.67403		72.06699		35.30824		35.3		98.39259		48.51792		48.51		52.8842
30		3.789186		3.78675		41.23737		11.79756		12.28696		55.46793		22.93405		22.86485		79.28276		54.01154		54		12.28696		40.00236		40		22.95418		98.36407		98.52212		54.98074		52.85084		53.03535		43.29373		35.31648		35.3		98.51247		48.48631		48.51		52.56813
31		3.785118		3.78675		39.21454		11.75107		11.97679		55.43253		22.92973		23.14615		79.66907		53.9857		54		11.97679		40.04119		40		23.07066		98.52186		98.56427		54.96175		52.86151		52.9069		55.33394		35.309		35.3		98.40557		48.50035		48.51		52.70867
32		3.787382		3.78675		40.31538		11.95994		12.01543		55.34981		23.09556		22.86508		79.20018		53.98892		54		12.01543		39.97167		40		22.8621		98.19128		98.23107		54.92917		52.68302		52.75272		52.38468		35.29752		35.3		98.23961		48.53086		48.51		53.01372
33		3.788543		3.78675		40.95084		11.97453		12.42802		55.37613		22.86181		22.73425		79.19749		54.0233		54		12.42802		40.02043		40		23.00838		98.20711		98.48829		55.01324		52.70615		52.64364		62.77893		35.30808		35.3		98.39277		48.50868		48.51		52.79186
34		3.785956		3.78675		39.66822		11.81386		11.80658		55.48952		23.03714		22.9508		79.29235		53.97151		54		11.80658		40.06066		40		23.12907		98.47913		98.50385		54.97665		52.8718		53.05173		41.40309		35.30071		35.3		98.28726		48.52149		48.51		52.92008
35		3.785315		3.78675		39.35		11.90577		12.30474		55.7456		22.92862		23.07439		79.56397		54.01303		54		12.30474		39.96837		40		22.85221		98.25212		98.2312		54.95716		52.88166		52.77576		65.56783		35.30433		35.3		98.33972		48.51288		48.51		52.83401
36		3.789011		3.78675		41.21415		12.11963		11.29202		55.3069		22.94961		22.95565		79.41942		53.92863		54		11.29202		40.03389		40		23.04876		98.14085		98.305		55.00087		52.90213		52.80732		65.46769		35.30662		35.3		98.37286		48.49928		48.51		52.69799
37		3.786867		3.78675		40.13774		12.17785		11.78321		55.59725		23.09431		22.92877		79.25102		53.96957		54		11.78321		39.9948		40		22.93149		98.14471		98.4268		55.0718		52.92906		52.90791		60.45011		35.29321		35.3		98.18045		48.51427		48.51		52.8479
38		3.784957		3.78675		39.16212		12.0878		11.39015		55.01804		22.9443		23.03392		79.50243		53.93681		54		11.39015		39.97441		40		22.87033		98.24079		98.09543		55.00353		52.87863		52.92391		54.62355		35.28588		35.3		98.07448		48.50095		48.51		52.71478
39		3.789874		3.78675		41.61851		11.9566		11.57691		55.35656		22.9616		22.9808		79.50147		53.95237		54		11.57691		39.95234		40		22.80412		98.17188		98.2666		55.04675		52.7688		52.76702		58.2172		35.29015		35.3		98.13534		48.51389		48.51		52.84423
40		3.78829		3.78675		40.87172		11.922		11.91223		55.19007		22.96878		22.95255		79.4197		53.98032		54		11.91223		40.02581		40		23.02453		98.30975		98.46843		55.08313		52.81301		52.76494		62.11458		35.33059		35.3		98.71919		48.50913		48.51		52.79663
41		3.785625		3.78675		39.53176		11.87703		12.15641		55.49031		22.97531		22.9733		79.40213		54.00067		54		12.15641		39.9813		40		22.89099		98.54486		98.21526		55.00128		52.80428		52.9071		48.42302		35.2993		35.3		98.26894		48.5075		48.51		52.78034
42		3.786418		3.78675		39.89989		12.02954		11.49584		54.78059		22.90378		22.96789		79.45633		53.94562		54		11.49584		39.97661		40		22.87693		98.13993		98.31514		55.06844		52.88186		52.91317		54.44493		35.30198		35.3		98.30738		48.50638		48.51		52.76919
