Trend data for Model:	
Model time base:		1
Plot duration (secs):		60

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.787479		3.78675		39.81969		11.64751		12		54.82756		22.96868		23.01809		79.47578		54.01227		54		12.18378		40.02071		40		23.01182		98.49891		98.28295		54.90372		52.90231		52.84323		59.56135		35.31663		35.3		98.50175		48.5185		48.51		52.88932
1		3.7852		3.78675		38.66206		11.79203		12		55.0412		23.01305		22.95967		79.34754		54.01143		54		12.17677		39.99706		40		22.95293		98.42474		98.40214		54.92469		52.97798		52.83604		66.93738		35.29578		35.3		98.20206		48.48943		48.51		52.59853
2		3.790268		3.78675		41.24758		11.86793		12		55.184		22.95196		23.0195		79.47028		54.0093		54		12.15885		39.99779		40		22.95475		98.2399		98.54149		54.98842		52.90871		52.90471		55.52811		35.30054		35.3		98.27133		48.52382		48.51		52.94255
3		3.789703		3.78675		41.04125		11.90365		12		55.28634		22.93231		22.8985		79.33753		53.99086		54		12.00612		39.97544		40		22.89904		98.29883		98.49452		55.0299		52.9305		52.68596		76.27571		35.3125		35.3		98.44586		48.50178		48.51		52.7221
4		3.783888		3.78675		38.15375		11.95473		12		55.34654		22.85465		22.91653		79.45532		54.00003		54		12.08176		40.01523		40		22.99814		98.44881		98.35939		55.01193		52.82339		52.94166		45.0952		35.28163		35.3		98.0026		48.50471		48.51		52.75141
5		3.787168		3.78675		39.7554		11.97304		12		55.38552		23.03322		22.94833		79.32301		53.976		54		11.8825		39.99555		40		22.94913		98.16184		98.43356		55.05895		52.82768		52.75745		61.18609		35.28306		35.3		98.02274		48.51714		48.51		52.87582
6		3.78821		3.78675		40.33861		11.94037		12		55.43371		22.93111		22.90544		79.33411		54.00385		54		12.11283		40.04828		40		23.08041		98.26876		98.29469		55.04824		52.88341		52.85884		57.12864		35.31787		35.3		98.52548		48.52298		48.51		52.93423
7		3.784556		3.78675		38.53305		11.96625		12		55.44796		23.05398		23.00707		79.3224		53.90168		54		11.26653		39.98454		40		22.92169		98.45024		98.25019		55.03482		52.88144		52.88947		54.3495		35.29767		35.3		98.23563		48.53125		48.51		53.01704
8		3.789017		3.78675		40.75812		11.97843		12		55.44444		22.85114		23.06847		79.5509		53.96258		54		11.77057		40.04465		40		23.07139		98.21082		98.31732		55.06542		53.04095		52.89127		68.07441		35.29844		35.3		98.24634		48.50356		48.51		52.74021
9		3.790286		3.78675		41.47898		11.98969		12		55.44841		23.07146		22.9663		79.29906		53.99415		54		12.03154		40.03997		40		23.05981		98.26958		98.50312		55.11054		52.99832		52.75314		76.8852		35.32645		35.3		98.65079		48.50884		48.51		52.793
10		3.784694		3.78675		38.69384		11.99001		12		55.46346		22.9538		22.98801		79.38948		53.99115		54		12.00686		39.98805		40		22.93051		98.45268		98.26912		55.03948		52.8581		52.87452		54.5677		35.31852		35.3		98.53721		48.51767		48.51		52.88131
11		3.787681		3.78675		40.13691		11.98653		12		55.47271		22.9508		22.90138		79.30946		54.00882		54		12.15305		39.99298		40		22.94279		98.22563		97.94177		54.98355		52.92927		52.82983		64.63216		35.28942		35.3		98.11696		48.51189		48.51		52.82353
12		3.792266		3.78675		42.53507		11.9835		12		55.47715		22.96401		22.9775		79.36641		54.02368		54		12.27557		39.94822		40		22.8313		98.15879		98.57287		55.13974		52.87353		52.91884		52.34057		35.32295		35.3		98.60099		48.51323		48.51		52.83688
13		3.78568		3.78675		39.28309		12.00422		12		55.47019		22.88886		23.04647		79.54141		54.02902		54		12.31983		40.03842		40		23.05595		98.44564		98.5159		55.12721		52.84589		52.82281		58.18421		35.30956		35.3		98.40975		48.50103		48.51		52.71491
14		3.786137		3.78675		39.47896		11.98973		12		55.46584		23.04421		23.01298		79.42004		53.98894		54		11.98784		40.02031		40		23.0109		98.24884		97.98856		55.05046		52.79811		52.94262		43.65416		35.29296		35.3		98.17057		48.5343		48.51		53.04771
15		3.790729		3.78675		41.82409		11.99933		12		55.46136		22.92561		22.91547		79.38979		53.90857		54		11.32182		40.00642		40		22.97631		98.25993		98.40536		55.13508		52.80742		52.80226		56.34074		35.31401		35.3		98.4743		48.51544		48.51		52.85918
16		3.786975		3.78675		39.98714		11.96887		12		55.48841		22.96639		22.8943		79.35014		53.95112		54		11.67405		39.97046		40		22.88676		98.37872		98.34042		55.14946		52.9114		52.80182		65.55251		35.33051		35.3		98.71416		48.5415		48.51		53.11982
17		3.78428		3.78675		38.62005		12.0248		12		55.47443		22.884		22.96405		79.45808		53.9581		54		11.73143		40.04465		40		23.07149		98.5249		98.3521		55.13201		53.01887		52.9029		66.21795		35.29405		35.3		98.18986		48.50316		48.51		52.73639
18		3.786652		3.78675		39.75071		11.99413		12		55.48763		23.09768		22.92568		79.20877		53.95714		54		11.7233		40.03276		40		23.0419		98.17387		98.15442		55.10222		52.92859		52.85996		62.53603		35.27428		35.3		97.90345		48.51663		48.51		52.87116
19		3.789471		3.78675		41.23463		12.08979		12		55.43321		22.94991		23.06424		79.48052		54.00856		54		12.14904		39.99112		40		22.93821		98.18697		98.31877		55.14718		52.9532		52.87767		63.28906		35.31821		35.3		98.53694		48.53173		48.51		53.02227
20		3.78319		3.78675		38.12084		12.01466		12		55.45296		22.96698		22.99879		79.43278		54.02637		54		12.29621		39.91684		40		22.75326		98.60123		98.11897		55.04175		52.9792		52.88016		65.33758		35.29693		35.3		98.23103		48.52355		48.51		52.94054
21		3.787251		3.78675		40.06124		12.0299		12		55.45801		22.95351		22.96228		79.40015		53.98693		54		11.96939		40.02635		40		23.02594		98.22117		98.22663		55.05696		53.00215		52.65637		87.00922		35.28572		35.3		98.06774		48.50527		48.51		52.75762
22		3.79087		3.78675		41.9563		12.00754		12		55.44693		23.02327		22.94149		79.33678		53.95824		54		11.73143		40.01387		40		22.99488		98.12632		98.79343		55.21927		52.91885		52.83849		64.60995		35.31326		35.3		98.46562		48.49131		48.51		52.61801
23		3.785472		3.78675		39.32037		11.98936		12		55.45728		22.91014		22.96287		79.43486		53.94327		54		11.60704		39.98587		40		22.92516		98.50656		98.19583		55.09204		52.78097		52.84817		51.90194		35.32718		35.3		98.66826		48.51055		48.51		52.8105
24		3.784499		3.78675		38.76326		12.04386		12		55.43564		22.93608		22.97282		79.46867		53.94499		54		11.62103		39.98651		40		22.92679		98.30312		98.15304		55.10316		52.73289		52.7978		51.80903		35.29165		35.3		98.15645		48.5056		48.51		52.76098
25		3.790291		3.78675		41.74615		11.96837		12		55.46606		22.96388		23.1024		79.56695		53.9537		54		11.69254		39.97709		40		22.90335		98.17885		98.6731		55.24973		52.78786		52.90486		47.20158		35.31386		35.3		98.4776		48.52212		48.51		52.92627
26		3.786046		3.78675		39.65897		11.98253		12		55.46201		22.96231		22.91475		79.33487		53.97998		54		11.91003		39.98317		40		22.91847		98.51083		98.18628		55.11786		52.79164		52.78395		57.78076		35.31822		35.3		98.54152		48.53301		48.51		53.03515
27		3.786157		3.78675		39.66779		11.97382		12		55.48713		22.99936		22.91304		79.30427		53.95146		54		11.67366		40.01743		40		23.0038		98.36547		98.22878		55.12696		52.9413		52.66403		81.25181		35.28095		35.3		98.0044		48.51834		48.51		52.88845
28		3.787409		3.78675		40.30092		12.03857		12		55.45921		22.98438		22.97738		79.41101		54.00509		54		12.11746		40.01569		40		22.9995		98.2104		98.27961		55.13571		53.00359		52.85737		70.32364		35.31371		35.3		98.47587		48.51405		48.51		52.84557
29		3.787222		3.78675		40.22191		12.03314		12		55.44696		23.00876		22.84387		79.20504		53.97739		54		11.88792		39.98987		40		22.93518		98.39241		98.49435		55.17309		53.06821		52.90268		72.38712		35.32434		35.3		98.63033		48.49372		48.51		52.64228
30		3.786793		3.78675		40.02712		11.99912		12		55.45854		22.94147		22.95976		79.39012		54.03985		54		12.40485		39.9741		40		22.89588		98.40663		98.42246		55.15286		52.91929		52.88624		61.36965		35.30639		35.3		98.37208		48.51846		48.51		52.88968
31		3.78457		3.78675		38.88604		12.24521		13		56.5134		22.95936		22.93597		79.3356		54.03616		54		12.37412		40.01684		40		23.00231		98.20839		98.22916		55.15104		52.82113		53.07257		36.55372		35.29281		35.3		98.17657		48.54388		48.51		53.14398
32		3.786946		3.78675		40.04919		12.51891		13		56.98191		22.98278		23.01039		79.37474		53.98968		54		11.98891		40.04066		40		23.06164		97.95291		98.25077		55.2144		52.8105		52.76278		62.05688		35.28785		35.3		98.10437		48.49563		48.51		52.66146
33		3.787999		3.78675		40.61696		12.73431		13		57.23475		22.95634		23.04168		79.45777		54.04116		54		12.41496		39.99504		40		22.94808		97.88203		98.29269		55.29644		52.81467		52.64254		73.01815		35.3223		35.3		98.60043		48.51127		48.51		52.81787
34		3.787736		3.78675		40.47315		12.79711		13		57.43203		22.95852		23.07867		79.51952		53.93676		54		11.55035		39.99648		40		22.95169		97.95686		98.4424		55.40542		52.82555		52.93371		48.71845		35.28327		35.3		98.03843		48.50118		48.51		52.71703
35		3.786512		3.78675		39.84752		12.89116		13		57.5258		22.99403		22.92911		79.33053		54.01856		54		12.22729		40.02777		40		23.02961		97.67744		98.32389		55.52478		52.81396		52.75257		63.33945		35.31939		35.3		98.55932		48.53109		48.51		53.01616
36		3.78648		3.78675		39.83779		12.94201		13		57.56702		22.99622		22.98063		79.37877		53.89306		54		11.18762		39.98011		40		22.91093		98.01214		98.3678		55.5562		52.83063		52.69487		69.64195		35.3087		35.3		98.40515		48.53522		48.51		53.05747
37		3.787499		3.78675		40.35798		12.94272		13		57.62817		22.93844		22.98355		79.40602		53.94596		54		11.62533		39.98013		40		22.91096		97.81248		98.37781		55.67198		53.01033		52.72046		83.04264		35.30195		35.3		98.30802		48.51948		48.51		52.90009
38		3.78596		3.78675		39.57959		12.95712		13		57.67323		22.96049		22.95306		79.42777		53.97121		54		11.8343		40.01541		40		22.99889		97.98264		98.29835		55.70116		52.95434		52.75887		75.28619		35.29388		35.3		98.19167		48.50528		48.51		52.75807
39		3.787383		3.78675		40.29958		12.98219		13		57.7025		23.00443		22.9461		79.37724		54.04591		54		12.45247		39.99748		40		22.95424		97.88487		98.48546		55.82522		52.93048		52.7171		77.20931		35.30512		35.3		98.35365		48.52603		48.51		52.96557
40		3.786975		3.78675		40.11178		12.97763		13		57.7034		22.9722		22.87341		79.39911		53.95289		54		11.68209		39.95407		40		22.84619		98.04603		98.51177		55.8898		52.86616		52.83208		61.92077		35.28426		35.3		98.05365		48.49268		48.51		52.63201
41		3.789731		3.78675		41.50697		12.99212		13		57.69795		22.9544		23.00604		79.48995		53.97956		54		11.90267		40.00641		40		22.97649		97.96189		98.07807		55.86244		52.83882		52.8646		56.88179		35.29602		35.3		98.22257		48.50366		48.51		52.74192
42		3.785286		3.78675		39.30739		12.98235		13		57.70933		23.02065		22.9057		79.31003		54.05642		54		12.53865		39.98804		40		22.93074		98.0647		98.18342		55.93127		52.78198		52.89651		49.02449		35.29942		35.3		98.27198		48.51841		48.51		52.88947
43		3.786397		3.78675		39.84284		12.99336		13		57.7191		22.91348		23.07948		79.58871		53.95416		54		11.69158		40.01428		40		22.9961		97.97701		98.36041		56.00204		52.76243		52.78892		56.39014		35.28867		35.3		98.11622		48.50511		48.51		52.75652
