Trend data for Model:	
Model time base:		1
Plot duration (secs):		7200

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.787422		3.78675		39.74534		11.92594		12.45175		55.35092		22.86061		22.70851		79.28533		54.0253		54		12.45175		39.93126		40		22.56035		98.13388		97.9874		54.71202		52.80167		52.70587		67.24001		35.31641		35.3		97.9874		48.52618		48.51		52.70587
1		3.788052		3.78675		40.06428		11.81646		12.33138		55.57115		22.81798		22.60751		79.10412		54.01527		54		12.33138		40.03826		40		23.09637		98.15578		97.9874		54.67673		52.72807		52.70587		53.78361		35.3176		35.3		97.9874		48.5075		48.51		52.70587
2		3.787559		3.78675		39.86754		12.1324		11.90782		55.00182		23.02722		22.95029		79.30909		53.98002		54		11.90782		39.97854		40		22.79722		97.94202		97.9874		54.70277		52.7301		52.70587		54.94623		35.30792		35.3		97.9874		48.51754		48.51		52.70587
3		3.788523		3.78675		40.35607		11.64612		12.53668		55.03769		22.80983		23.13599		79.63476		54.03247		54		12.53668		40.04477		40		23.12905		98.24133		97.9874		54.63053		52.7422		52.70587		58.54163		35.29466		35.3		97.9874		48.5106		48.51		52.70587
4		3.788452		3.78675		40.35895		11.91458		11.58228		54.77969		23.0972		22.86161		79.1878		53.95296		54		11.58228		40.00442		40		22.9269		98.06716		97.9874		54.62629		52.75683		52.70587		62.36048		35.29397		35.3		97.9874		48.51173		48.51		52.70587
5		3.78684		3.78675		39.55692		11.71549		11.69765		54.95298		22.86774		23.32248		79.95275		53.96259		54		11.69765		40.01662		40		22.98803		98.26851		97.9874		54.559		52.75376		52.70587		62.4041		35.28688		35.3		97.9874		48.50196		48.51		52.70587
6		3.788656		3.78675		40.46782		11.85942		12.17657		55.13735		23.11452		22.80307		79.09765		54.00253		54		12.17657		40.01911		40		23.00054		98.06335		97.9874		54.56251		52.82923		52.70587		78.58538		35.30415		35.3		97.9874		48.5272		48.51		52.70587
7		3.785606		3.78675		39.01466		11.6887		12.00366		54.83812		22.87363		22.92633		79.4221		53.98818		54		12.00366		39.99307		40		22.87007		98.27568		97.9874		54.50168		52.7615		52.70587		66.49343		35.3098		35.3		97.9874		48.50357		48.51		52.70587
8		3.784786		3.78675		38.54489		11.61594		11.51404		54.849		22.91129		22.98129		79.40034		53.9474		54		11.51404		39.9932		40		22.87074		98.11632		97.9874		54.4846		52.72551		52.70587		59.42435		35.29311		35.3		97.9874		48.51065		48.51		52.70587
9		3.788596		3.78675		40.48175		11.79005		12.33384		55.40549		22.90646		22.96297		79.3992		54.01572		54		12.33384		39.98761		40		22.84273		98.05802		97.9874		54.47572		52.70199		52.70587		54.95417		35.32061		35.3		97.9874		48.50005		48.51		52.70587
10		3.789278		3.78675		40.89696		11.91038		13.02317		55.86748		22.94652		23.17394		79.59481		54.07317		54		13.02317		40.03646		40		23.08746		97.99131		97.9874		54.4855		52.69118		52.70587		53.10919		35.32048		35.3		97.9874		48.51637		48.51		52.70587
11		3.788191		3.78675		40.38658		11.924		12.03659		55.54714		23.02752		22.86019		79.20069		53.99097		54		12.03659		40.01327		40		22.9713		97.98702		97.9874		54.48396		52.69875		52.70587		53.79595		35.30121		35.3		97.9874		48.51703		48.51		52.70587
12		3.787833		3.78675		40.21226		12.04501		11.14832		55.14659		22.90833		23.07497		79.4216		53.91697		54		11.14832		39.99953		40		22.90248		97.87997		97.9874		54.50915		52.79654		52.70587		74.42907		35.29712		35.3		97.9874		48.50049		48.51		52.70587
13		3.790707		3.78675		41.68829		12.01026		13.16169		56.05146		22.88849		22.74146		79.0544		54.08474		54		13.16169		39.99109		40		22.86014		97.91611		97.9874		54.52004		52.76938		52.70587		70.60223		35.32257		35.3		97.9874		48.51382		48.51		52.70587
14		3.787379		3.78675		40.07886		12.15132		11.01498		54.81365		22.95376		22.84425		79.05571		53.90589		54		11.01498		39.98385		40		22.82388		97.87558		97.9874		54.55075		52.7527		52.70587		67.80951		35.31819		35.3		97.9874		48.5273		48.51		52.70587
15		3.786972		3.78675		39.87899		11.93398		12.89866		55.75826		22.88288		22.97681		79.34826		54.06285		54		12.89866		39.98931		40		22.85124		98.01786		97.9874		54.54177		52.73964		52.70587		64.5587		35.30705		35.3		97.9874		48.5103		48.51		52.70587
16		3.788618		3.78675		40.75225		12.11731		11.89134		54.94429		22.92437		22.79889		79.05398		53.97896		54		11.89134		40.03071		40		23.05865		97.87169		97.9874		54.57618		52.73847		52.70587		65.74425		35.30022		35.3		97.9874		48.52863		48.51		52.70587
17		3.786687		3.78675		39.79413		11.74456		13.09941		56.01423		22.95788		22.91023		79.20785		54.07959		54		13.09941		40.03606		40		23.08549		98.13434		97.9874		54.52897		52.67115		52.70587		52.0451		35.29514		35.3		97.9874		48.50549		48.51		52.70587
18		3.785001		3.78675		38.96552		12.06105		12.0036		55.48838		22.95193		22.61804		78.79464		53.9883		54		12.0036		40.00984		40		22.95411		97.94921		97.9874		54.55309		52.67659		52.70587		51.70134		35.28506		35.3		97.9874		48.5127		48.51		52.70587
19		3.788283		3.78675		40.62436		11.99717		12.5872		55.68519		22.84737		22.81202		79.09838		54.03694		54		12.5872		39.93918		40		22.60008		97.96363		97.9874		54.56032		52.67076		52.70587		50.4799		35.31691		35.3		97.9874		48.51598		48.51		52.70587
20		3.78845		3.78675		40.7746		11.93817		11.58048		55.28923		22.77625		22.82964		79.18372		53.95307		54		11.58048		40.03225		40		23.06634		97.99254		97.9874		54.55934		52.74586		52.70587		65.88629		35.31947		35.3		97.9874		48.51296		48.51		52.70587
21		3.784672		3.78675		38.89281		11.9876		12.67168		55.28382		23.05084		22.79794		78.92633		54.04405		54		12.67168		39.9896		40		22.85266		98.01937		97.9874		54.5499		52.76453		52.70587		70.47365		35.29882		35.3		97.9874		48.52483		48.51		52.70587
22		3.786487		3.78675		39.7829		11.85181		12.24571		55.45654		22.74445		23.25114		79.68137		54.00855		54		12.24571		39.96738		40		22.74136		98.05666		97.9874		54.53041		52.74741		52.70587		67.0442		35.29974		35.3		97.9874		48.5319		48.51		52.70587
23		3.786235		3.78675		39.67381		12.05537		11.91433		55.29859		22.91404		22.6438		78.87334		53.98095		54		11.91433		40.02287		40		23.01936		97.9464		97.9874		54.54472		52.71021		52.70587		60.40531		35.29129		35.3		97.9874		48.50866		48.51		52.70587
24		3.788599		3.78675		40.89031		11.94958		12.14759		55.50129		22.90447		22.74766		78.95215		54.00039		54		12.14759		39.99884		40		22.89894		97.9612		97.9874		54.54947		52.7017		52.70587		58.53067		35.31263		35.3		97.9874		48.51809		48.51		52.70587
25		3.786434		3.78675		39.83398		12.01423		11.62365		55.44904		22.81804		22.74226		78.96609		53.95673		54		11.62365		39.98467		40		22.82794		97.94945		97.9874		54.55623		52.70761		52.70587		60.20191		35.31389		35.3		97.9874		48.50793		48.51		52.70587
26		3.784679		3.78675		38.91683		12.38626		12.09984		55.63791		22.82545		22.83797		79.0831		53.99639		54		12.09984		39.96688		40		22.73879		97.77918		97.9874		54.60759		52.63811		52.70587		45.62356		35.26803		35.3		97.9874		48.50135		48.51		52.70587
27		3.786484		3.78675		39.82087		12.11404		12.0795		55.44011		22.76522		22.74644		79.17798		53.99472		54		12.0795		39.93856		40		22.59689		97.91507		97.9874		54.61803		52.66859		52.70587		50.55477		35.28475		35.3		97.9874		48.52334		48.51		52.70587
28		3.788847		3.78675		41.03671		11.98914		12.1606		55.60579		22.84174		23.00757		79.4551		54.00147		54		12.1606		39.96745		40		22.74165		98.0428		97.9874		54.60187		52.81131		52.70587		79.73771		35.31503		35.3		97.9874		48.51231		48.51		52.70587
29		3.784769		3.78675		38.97581		12.25856		12.32416		55.73883		22.93597		23.0663		79.59082		54.01509		54		12.32416		39.99401		40		22.87475		97.78061		97.9874		54.6622		52.67899		52.70587		54.30595		35.3138		35.3		97.9874		48.5295		48.51		52.70587
30		3.785992		3.78675		39.60301		12.10517		11.9644		55.65952		22.98799		23.15413		79.58881		53.9851		54		11.9644		40.02733		40		23.04166		97.93154		97.9874		54.66675		52.75165		52.70587		69.11016		35.30737		35.3		97.9874		48.52643		48.51		52.70587
31		3.786304		3.78675		39.79032		12.1192		11.31049		55.17924		23.04528		22.8928		79.20666		53.93064		54		11.31049		39.98707		40		22.83999		97.92535		97.9874		54.68075		52.71806		52.70587		63.30931		35.31358		35.3		97.9874		48.51108		48.51		52.70587
32		3.786442		3.78675		39.84672		12.2293		11.95181		55.59655		22.86977		22.84272		79.34162		53.98406		54		11.95181		39.98897		40		22.84951		97.87082		97.9874		54.70029		52.66897		52.70587		53.67173		35.30829		35.3		97.9874		48.51419		48.51		52.70587
33		3.789014		3.78675		41.18705		11.91462		12.03356		55.52775		22.97691		22.93483		79.41189		53.99089		54		12.03356		40.00101		40		22.90986		98.09074		97.9874		54.66963		52.64706		52.70587		48.66058		35.31262		35.3		97.9874		48.51733		48.51		52.70587
34		3.78906		3.78675		41.23544		12.11817		12.20857		55.71722		23.01233		22.60761		79.03839		54.00547		54		12.20857		40.02121		40		23.01104		97.98014		97.9874		54.68297		52.69072		52.70587		57.40724		35.31403		35.3		97.9874		48.50388		48.51		52.70587
35		3.78442		3.78675		38.90639		12.12509		12.59531		55.81541		22.97533		23.03162		79.50539		54.0377		54		12.59531		40.01298		40		22.96983		98.01872		97.9874		54.675		52.64881		52.70587		49.2236		35.30323		35.3		97.9874		48.53155		48.51		52.70587
36		3.787845		3.78675		40.60171		12.13484		12.22103		55.50262		22.95395		22.86226		79.26491		54.00653		54		12.22103		40.0048		40		22.92885		97.81571		97.9874		54.71759		52.67956		52.70587		54.41903		35.31294		35.3		97.9874		48.4925		48.51		52.70587
37		3.787494		3.78675		40.46494		11.93024		12.1603		55.75987		22.88095		22.88309		79.25896		54.00146		54		12.1603		39.98286		40		22.8189		98.08048		97.9874		54.67296		52.67023		52.70587		52.03507		35.30972		35.3		97.9874		48.51196		48.51		52.70587
38		3.785944		3.78675		39.67993		12.27181		12.77383		56.31396		22.86153		22.80547		79.19899		54.05255		54		12.77383		40.04038		40		23.10712		97.82967		97.9874		54.71499		52.74062		52.70587		65.85912		35.3014		35.3		97.9874		48.51981		48.51		52.70587
39		3.786707		3.78675		40.05843		12.28099		12.2216		55.80504		23.07032		22.8346		79.01649		54.00654		54		12.2216		40.00036		40		22.90663		97.83018		97.9874		54.74515		52.69732		52.70587		57.92502		35.29369		35.3		97.9874		48.52231		48.51		52.70587
40		3.788496		3.78675		40.95816		12.34374		11.99213		55.87884		22.85353		23.01699		79.32633		53.98739		54		11.99213		40.02534		40		23.03177		97.76488		97.9874		54.78958		52.71003		52.70587		60.28621		35.30978		35.3		97.9874		48.51433		48.51		52.70587
41		3.785838		3.78675		39.64966		12.28269		12.95927		56.07472		22.94721		22.71468		78.94909		54.06799		54		12.95927		40.04474		40		23.12895		97.9226		97.9874		54.78747		52.61406		52.70587		41.17598		35.30776		35.3		97.9874		48.51661		48.51		52.70587
42		3.788103		3.78675		40.76519		12.25495		12.47263		56.04237		22.97548		23.05254		79.27113		54.02741		54		12.47263		40.05397		40		23.17519		97.82034		97.9874		54.8218		52.686		52.70587		54.29889		35.30694		35.3		97.9874		48.52361		48.51		52.70587
