Trend data for Model:	
Model time base:		1
Plot duration (secs):		7200

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.784768		3.78675		45.65361		50.33169		119.4615		100		0.08087968		0.1138848		3.901441		63.77002		54		119.4615		13.38245		40		0		70.73105		100		100		44.99915		45		61.77253		40.48687		35.3		100		49.51364		48.51		45
1		3.790427		3.78675		48.51475		50.34173		117.9715		100		0.07503722		0.3259637		4.257915		63.65388		54		117.9715		13.32215		40		0.02693579		70.66187		100		100		45.03929		45		70.41523		40.51968		35.3		100		49.52985		48.51		45
2		3.78459		3.78675		45.65568		50.32138		119.5467		100		0.09629496		0.238716		4.264055		63.78385		54		119.5467		13.34758		40		0.1276889		70.85098		100		100		45.07079		45		78.3686		40.54172		35.3		100		49.52306		48.51		45
3		3.787612		3.78675		47.12305		50.32998		118.8629		100		0.09094569		0.1262013		4.149478		63.7602		54		118.8629		13.18046		40		0		70.6592		100		100		44.91991		45		47.97185		40.52558		35.3		100		49.52795		48.51		45
4		3.788877		3.78675		47.80393		50.32377		119.7436		100		0.09244743		0.02097814		4.051913		63.85933		54		119.7436		13.16561		40		0		70.71593		100		100		44.98091		45		59.64361		40.57129		35.3		100		49.54175		48.51		45
5		3.784518		3.78675		45.63405		50.31032		119.7913		100		0.0576142		0		4.035533		63.85348		54		119.7913		13.10735		40		0.08154879		70.89792		100		100		45.00995		45		65.75946		40.55406		35.3		100		49.54058		48.51		45
6		3.789283		3.78675		47.99608		50.31852		119.4201		100		0.05448604		0.1616357		4.216414		63.88517		54		119.4201		12.98545		40		0		70.71609		100		100		44.98585		45		61.67421		40.57437		35.3		100		49.52737		48.51		45
7		3.789278		3.78675		48.05377		50.33969		118.574		100		0.04482154		0.292725		4.543676		63.80478		54		118.574		12.96433		40		0.01462507		70.77405		100		100		44.93197		45		50.35746		40.58264		35.3		100		49.50868		48.51		45
8		3.786337		3.78675		46.56569		50.31717		119.7876		100		0.02734564		0		4.237452		63.95112		54		119.7876		12.93867		40		0.1382856		70.77618		100		100		44.957		45		54.09687		40.59306		35.3		100		49.51933		48.51		45
9		3.787122		3.78675		46.96309		50.31746		119.2288		100		0.1110421		0		4.169355		63.93748		54		119.2288		12.91113		40		0.4179886		70.75497		100		100		44.98024		45		58.89713		40.6088		35.3		100		49.52541		48.51		45
10		3.786272		3.78675		46.54905		50.29187		119.6507		100		0.1362241		0		4.1867		63.96269		54		119.6507		12.80547		40		0.1576986		70.79322		100		100		44.95409		45		53.93311		40.62794		35.3		100		49.52836		48.51		45
11		3.787281		3.78675		47.07259		50.3566		120		100		0.1174579		0.02864536		4.148094		64.06561		54		120		12.71754		40		0		70.73781		100		100		45.02766		45		68.95011		40.65993		35.3		100		49.54155		48.51		45
12		3.787657		3.78675		47.28538		50.37784		118.349		100		0.09896257		0		4.108183		63.91808		54		118.349		12.64032		40		0.02716995		70.73325		100		100		44.97379		45		58.45197		40.64074		35.3		100		49.53101		48.51		45
13		3.788818		3.78675		47.89021		50.33834		118.0056		100		0.08734856		0.3171602		4.541282		63.92747		54		118.0056		12.59348		40		0.07290205		70.72413		100		100		44.9525		45		53.17791		40.65742		35.3		100		49.54533		48.51		45
14		3.784151		3.78675		45.56915		50.28764		119.0715		100		0.06341073		0		4.212465		64.0189		54		119.0715		12.57094		40		0.1236139		70.81564		100		100		44.97294		45		56.5882		40.67525		35.3		100		49.54927		48.51		45
15		3.786595		3.78675		46.77343		50.29893		119.1701		100		0.09448843		0.1406044		4.320357		64.02854		54		119.1701		12.49766		40		0.09006026		70.74804		100		100		45.07764		45		78.48982		40.71536		35.3		100		49.52481		48.51		45
16		3.791028		3.78675		49.03438		50.37771		120		100		0.1038063		0.003852335		4.114869		64.1033		54		120		12.34682		40		0		70.57938		100		100		44.96893		45		57.23191		40.71292		35.3		100		49.54167		48.51		45
17		3.784275		3.78675		45.69529		50.32945		120		100		0.07547441		0		4.197259		64.10623		54		120		12.30577		40		0		70.8419		100		100		44.87938		45		37.7005		40.72286		35.3		100		49.5395		48.51		45
18		3.787186		3.78675		47.092		50.28325		118.4039		100		0.0534906		0		4.234317		64.10215		54		118.4039		12.29577		40		0.131523		70.68141		100		100		44.89208		45		37.9968		40.70151		35.3		100		49.54911		48.51		45
19		3.789575		3.78675		48.33118		50.34737		120		100		0.05605391		0.06337914		4.248942		64.24845		54		120		12.23215		40		0		70.67306		100		100		45.10508		45		81.06144		40.75409		35.3		100		49.51852		48.51		45
20		3.786915		3.78675		47.04354		50.33104		118.8676		100		0.01346101		0.03088328		4.183121		64.14394		54		118.8676		12.16784		40		0		70.84682		100		100		44.96861		45		55.05188		40.77328		35.3		100		49.54081		48.51		45
21		3.78732		3.78675		47.20073		50.33522		118.0303		100		0.0608373		0.0886571		4.1707		64.18063		54		118.0303		12.09441		40		0.002775441		70.74314		100		100		44.95659		45		52.53895		40.78904		35.3		100		49.5465		48.51		45
22		3.788517		3.78675		47.8313		50.32943		118.2301		100		0.08950353		0		4.00263		64.18707		54		118.2301		12.04885		40		0.08554447		70.80623		100		100		45.01935		45		64.94966		40.7935		35.3		100		49.5515		48.51		45
23		3.787054		3.78675		47.1135		50.34127		119.0704		100		0.09717692		0		4.023234		64.24686		54		119.0704		12.00116		40		0.2347049		70.7862		100		100		45.09286		45		80.45274		40.78752		35.3		100		49.55662		48.51		45
24		3.789433		3.78675		48.31762		50.3264		119.8445		100		0.1037093		0		4.037564		64.30111		54		119.8445		11.95017		40		0.2611211		70.75974		100		100		45.03619		45		70.30439		40.81975		35.3		100		49.54328		48.51		45
25		3.787953		3.78675		47.63247		50.35579		118.6507		100		0.08862628		0		4.026022		64.20071		54		118.6507		11.90656		40		0.2855524		70.8201		100		100		44.91809		45		45.55193		40.83656		35.3		100		49.54859		48.51		45
26		3.786324		3.78675		46.81431		50.32036		119.2192		100		0.1110047		0.07161369		4.069723		64.26881		54		119.2192		11.80929		40		0.08219447		70.79829		100		100		44.96012		45		52.75122		40.8271		35.3		100		49.54143		48.51		45
27		3.788626		3.78675		47.98492		50.35226		120		100		0.09710012		0		3.967177		64.36043		54		120		11.67612		40		0		70.71324		100		100		45.04397		45		70.47864		40.83218		35.3		100		49.56071		48.51		45
28		3.785708		3.78675		46.57476		50.34509		120		100		0.07261133		0		4.035344		64.36433		54		120		11.67296		40		0.06559533		70.8679		100		100		45.03208		45		69.55557		40.86204		35.3		100		49.56079		48.51		45
29		3.785583		3.78675		46.44037		50.29819		119.297		100		0.06442517		0.1841408		4.284443		64.35147		54		119.297		11.61341		40		0.1546145		70.77889		100		100		44.94579		45		51.32563		40.86763		35.3		100		49.56692		48.51		45
30		3.787185		3.78675		47.25271		50.33483		118.9388		100		0.05296636		0		4.092379		64.32773		54		118.9388		11.53239		40		0		70.70388		100		100		44.95461		45		52.07585		40.88034		35.3		100		49.5661		48.51		45
31		3.786409		3.78675		46.89295		50.31819		118.8987		100		0.04503348		0		4.033414		64.35542		54		118.8987		11.43138		40		0		70.82921		100		100		45.05412		45		72.88629		40.88699		35.3		100		49.55672		48.51		45
32		3.786188		3.78675		46.74235		50.30345		120		100		7.805385e-005		0.05155508		4.148365		64.45171		54		120		11.46595		40		0.2125795		70.81169		100		100		45.00161		45		62.84822		40.90188		35.3		100		49.56425		48.51		45
33		3.788143		3.78675		47.74194		50.35685		120		100		0.09544784		0		3.969798		64.47194		54		120		11.3593		40		0		70.73105		100		100		44.98506		45		59.83507		40.90331		35.3		100		49.56637		48.51		45
34		3.78478		3.78675		46.08484		50.37424		119.4821		100		0		0		4.036977		64.44859		54		119.4821		11.29556		40		0		70.86962		100		100		44.97596		45		57.19188		40.92356		35.3		100		49.55825		48.51		45
35		3.787664		3.78675		47.51012		50.35543		119.1723		100		0.0826732		0.1424223		4.050385		64.50944		54		119.1723		11.19645		40		0		70.74974		100		100		44.95097		45		52.11568		40.93813		35.3		100		49.56782		48.51		45
36		3.786583		3.78675		46.99215		50.32598		119.7319		100		0.06381693		0		3.886082		64.54558		54		119.7319		11.13462		40		0.01378287		70.74918		100		100		44.97022		45		55.39395		40.94192		35.3		100		49.56689		48.51		45
37		3.785245		3.78675		46.32709		50.31943		119.5758		100		0.06392346		0		3.871201		64.53448		54		119.5758		11.10456		40		0.009413707		70.8652		100		100		45.06999		45		76.40688		40.93243		35.3		100		49.54366		48.51		45
38		3.786538		3.78675		46.92822		50.34465		120		100		0.06633994		0		3.817288		64.6077		54		120		11.02329		40		0		70.74094		100		100		45.11402		45		86.72572		40.96686		35.3		100		49.56948		48.51		45
39		3.78634		3.78675		46.85524		50.35024		119.1354		100		0.04430786		0.04538389		3.918601		64.56999		54		119.1354		10.95654		40		0		70.80427		100		100		45.00243		45		66.25891		40.97187		35.3		100		49.5742		48.51		45
40		3.782963		3.78675		45.13704		50.33903		119.3763		100		0.09870054		0		3.846692		64.59499		54		119.3763		10.94099		40		0.07454031		70.92652		100		100		44.95193		45		54.94694		40.97221		35.3		100		49.58585		48.51		45
41		3.786942		3.78675		47.07713		50.33746		120		100		0.09720124		0.04755313		3.874326		64.6728		54		120		10.85885		40		0		70.70386		100		100		44.96054		45		55.81042		40.99501		35.3		100		49.58015		48.51		45
42		3.788656		3.78675		48.01357		50.38967		119.2899		100		0.1193093		0		3.729733		64.62732		54		119.2899		10.80708		40		0.08937323		70.8213		100		100		45.03865		45		71.09672		41.01889		35.3		100		49.60426		48.51		45
43		3.784893		3.78675		46.12261		50.34057		119.2749		100		0.06505924		0.1321275		3.936132		64.61544		54		119.2749		10.7452		40		0		70.89299		100		100		45.00503		45		65.09312		41.0229		35.3		100		49.57588		48.51		45
44		3.789229		3.78675		48.26669		50.33713		119.5706		100		0.03288444		0		3.776638		64.69802		54		119.5706		10.67594		40		0		70.73475		100		100		45.07575		45		79.72606		41.04803		35.3		100		49.56801		48.51		45
45		3.791353		3.78675		49.41023		50.3573		119.4651		100		0.09865876		0.00781908		3.669511		64.67857		54		119.4651		10.59843		40		0		70.80571		100		100		45.06369		45		78.51599		41.07191		35.3		100		49.57928		48.51		45
46		3.784873		3.78675		46.20238		50.32836		120		100		0.04254606		0.2755247		3.973621		64.76094		54		120		10.52214		40		0		71.02349		100		100		44.94896		45		54.73057		41.04688		35.3		100		49.59609		48.51		45
47		3.787019		3.78675		47.24171		50.32535		118.7793		100		0.06659587		0.1269213		3.815114		64.73407		54		118.7793		10.44742		40		0		70.78616		100		100		45.05075		45		74.92806		41.07336		35.3		100		49.5843		48.51		45
48		3.789404		3.78675		48.48341		50.37919		118.7574		100		0.06113794		0		3.700015		64.72153		54		118.7574		10.39412		40		0.03776634		70.8761		100		100		44.95266		45		55.65895		41.07774		35.3		100		49.57644		48.51		45
49		3.784231		3.78675		45.90454		50.34946		118.7863		100		0.07721244		0		3.710163		64.71321		54		118.7863		10.33589		40		0		70.95051		100		100		45.00823		45		66.52026		41.08742		35.3		100		49.54625		48.51		45
50		3.786922		3.78675		47.20965		50.34572		120		100		0.03291462		0		3.72163		64.86881		54		120		10.31653		40		0.004609546		70.82506		100		100		44.97357		45		59.68121		41.10625		35.3		100		49.58557		48.51		45
