Trend data for Model:	
Model time base:		12
Plot duration (secs):		7068

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.788591		3.78675		40.26914		11.98095		11.93585		54		23.03056		23.0245		79.52148		53.98228		54		11.93585		40.0258		40		23.0245		98.22828		98.40504		54.93191		52.80363		52.90595		62.65106		35.31006		35.3		98.40504		48.52017		48.51		52.90595
12		3.788619		3.78675		40.61077		11.6257		11.7448		54.69551		23.04156		22.87523		79.09019		53.96669		54		11.7448		39.99513		40		22.87081		98.54588		98.40504		54.93795		52.89884		52.90595		53.92764		35.30271		35.3		98.40504		48.50767		48.51		52.90595
24		3.785762		3.78675		39.45615		11.71441		11.76885		55.11974		22.77065		22.80353		79.10427		53.96904		54		11.76885		39.98123		40		22.8011		98.38087		98.40504		54.95196		52.86517		52.90595		49.86082		35.28769		35.3		98.40504		48.50002		48.51		52.90595
36		3.78758		3.78675		40.49959		11.98002		11.26695		55.15673		23.00639		23.13213		79.44741		53.92743		54		11.26695		40.00622		40		22.92631		98.25245		98.40504		55.1185		52.91664		52.90595		61.37097		35.30054		35.3		98.40504		48.5067		48.51		52.90595
48		3.786479		3.78675		39.95188		12.11271		11.62294		55.30795		22.8957		22.90256		79.34694		53.95728		54		11.62294		39.98601		40		22.82526		98.28543		98.40504		55.18264		52.87911		52.90595		56.97853		35.29458		35.3		98.40504		48.52265		48.51		52.90595
60		3.789019		3.78675		41.214		11.85158		12.1417		55.3721		23.07074		23.12024		79.46117		54.00069		54		12.1417		39.98543		40		22.82251		98.42568		98.40504		55.19865		52.90133		52.90595		59.71011		35.30703		35.3		98.40504		48.50152		48.51		52.90595
72		3.787554		3.78675		40.56242		12.0615		11.64337		55.43457		23.02993		22.87568		79.36273		53.95942		54		11.64337		40.04704		40		23.13147		98.33587		98.40504		55.11749		52.91242		52.90595		59.77746		35.32451		35.3		98.40504		48.52047		48.51		52.90595
84		3.786538		3.78675		40.12452		11.54333		12.18955		55.14329		22.95914		23.05671		79.54532		54.00514		54		12.18955		40.10497		40		23.42196		98.73255		98.40504		55.13785		52.9535		52.90595		68.93778		35.29274		35.3		98.40504		48.50914		48.51		52.90595
96		3.786555		3.78675		40.17508		11.81767		11.67826		55.12153		22.99977		23.25394		79.85101		53.96283		54		11.67826		40.04385		40		23.11597		98.50916		98.40504		55.04966		52.92228		52.90595		63.2202		35.30971		35.3		98.40504		48.5156		48.51		52.90595
108		3.780022		3.78675		36.83869		11.63336		11.76986		54.81881		22.94633		22.9477		79.35252		53.97085		54		11.76986		40.04391		40		23.11652		98.63711		98.40504		54.96734		52.90052		52.90595		58.18097		35.27542		35.3		98.40504		48.52311		48.51		52.90595
120		3.788439		3.78675		41.05038		11.58177		10.74309		53.99829		23.03698		22.80295		79.26071		53.88577		54		10.74309		39.97721		40		22.78257		98.35822		98.40504		54.8853		52.90887		52.90595		60.63786		35.30779		35.3		98.40504		48.49869		48.51		52.90595
132		3.786512		3.78675		40.02525		11.54749		12.62988		55.2001		23.02836		23.13256		79.66645		54.04337		54		12.62988		40.05697		40		23.18242		98.43902		98.40504		54.88925		52.8711		52.90595		52.25805		35.29254		35.3		98.40504		48.52192		48.51		52.90595
144		3.786642		3.78675		40.06562		11.80578		10.12661		54.5938		23.06738		22.8418		79.23314		53.83504		54		10.12661		39.9914		40		22.85419		98.38384		98.40504		54.98984		52.93309		52.90595		64.16817		35.30488		35.3		98.40504		48.50955		48.51		52.90595
156		3.788711		3.78675		41.20436		11.70178		11.91757		54.76297		22.93596		23.20566		79.77328		53.98465		54		11.91757		40.0298		40		23.04684		98.38453		98.40504		54.95948		52.8955		52.90595		58.68306		35.30694		35.3		98.40504		48.51003		48.51		52.90595
168		3.787223		3.78675		40.53165		11.72055		12.17461		55.33708		22.95281		22.96538		79.75928		54.00637		54		12.17461		40.04435		40		23.12009		98.39959		98.40504		54.93771		52.90632		52.90595		58.84111		35.30627		35.3		98.40504		48.51932		48.51		52.90595
180		3.788007		3.78675		40.84234		11.89289		12.18054		55.22463		23.15872		22.88858		79.3553		54.00718		54		12.18054		40.0067		40		22.93182		98.26993		98.40504		54.96661		53.16291		54		40.42991		35.29005		35.3		98.40504		48.50113		48.51		54
192		3.788498		3.78675		41.02502		11.69577		12.4854		54.98148		23.27082		22.87966		79.43335		54.03302		54		12.4854		40.04137		40		23.10602		98.4505		98.40504		54.84957		53.76655		54		55.98732		35.30499		35.3		98.40504		48.50415		48.51		54
204		3.788997		3.78675		41.08691		11.56821		11.34849		54.66831		23.30074		23.5274		80.52837		53.93856		54		11.34849		40.08964		40		23.3486		98.31673		98.40504		55.00276		53.86046		54		42.74898		35.28565		35.3		98.40504		48.50065		48.51		54
216		3.786085		3.78675		39.65544		11.39836		10.99285		54.19967		23.37331		23.55556		80.8316		53.90938		54		10.99285		40.12987		40		23.55122		98.53228		98.40504		54.83755		53.96866		54		56.1835		35.29762		35.3		98.40504		48.51124		48.51		54
228		3.786839		3.78675		39.95685		11.0207		12.06839		53.83763		23.50342		23.4784		80.77446		53.99981		54		12.06839		40.17833		40		23.79535		98.71841		98.40504		54.48396		53.94892		54		48.21409		35.29959		35.3		98.40504		48.50345		48.51		54
240		3.786		3.78675		39.60992		11.09527		10.87409		53.13109		23.58495		23.64047		81.28776		53.90135		54		10.87409		40.14788		40		23.64434		98.43524		98.40504		54.16538		53.93493		54		42.59695		35.28886		35.3		98.40504		48.49425		48.51		54
252		3.784692		3.78675		38.97812		10.74277		10.31163		51.91807		23.75411		23.90748		81.54592		53.85573		54		10.31163		40.23111		40		24.06331		98.5062		98.40504		53.94609		53.99733		54		59.61914		35.29743		35.3		98.40504		48.48685		48.51		54
264		3.783445		3.78675		38.29822		10.40556		10.45419		52.03282		23.86712		23.8201		81.91354		53.86899		54		10.45419		40.21878		40		24.00384		98.68736		98.40504		53.64526		53.98088		54		56.57077		35.28615		35.3		98.40504		48.4689		48.51		54
276		3.787468		3.78675		40.19668		10.45719		10.42081		51.61984		24.11614		24.24481		82.58169		53.86761		54		10.42081		40.20317		40		23.92831		98.53982		98.40504		53.66101		54.01968		54		64.75599		35.28832		35.3		98.40504		48.47221		48.51		54
288		3.790048		3.78675		41.54602		9.776927		10.31603		50.56942		24.06073		24.34154		82.89154		53.86076		54		10.31603		40.25985		40		24.21519		99.95631		100		54.95484		54.001		54		59.24749		35.29531		35.3		100		48.48999		48.51		54
300		3.783892		3.78675		38.46802		9.63194		10.28892		49.78521		24.27182		24.27111		82.99558		53.8608		54		10.28892		40.30661		40		24.45267		100.1195		100		54.84799		53.9812		54		58.19323		35.28877		35.3		100		48.46934		48.51		54
312		3.787101		3.78675		39.92703		9.008425		8.13746		47.81277		24.5075		24.23855		83.17937		53.6842		54		8.13746		40.26311		40		24.23817		100.3281		100		54.45473		54.04927		54		70.87746		35.27316		35.3		100		48.48216		48.51		54
324		3.786942		3.78675		39.81518		8.530831		9.121347		47.15602		24.3907		24.7131		84.0112		53.76934		54		9.121347		40.3267		40		24.56049		100.3126		100		53.95334		54.03674		54		66.18626		35.25112		35.3		100		48.45341		48.51		54
336		3.785834		3.78675		39.2908		8.356567		7.779909		46.19942		24.54756		24.53443		83.67455		53.661		54		7.779909		40.31511		40		24.50625		100.142		100		53.53918		54.07192		54		73.32576		35.27458		35.3		100		48.47494		48.51		54
348		3.789186		3.78675		40.85382		8.073521		8.816753		45.80233		24.68617		24.80919		84.22826		53.75105		54		8.816753		40.3428		40		24.64903		100.0937		100		53.28824		54.10556		54		81.09305		35.27105		35.3		100		48.45338		48.51		54
360		3.786107		3.78675		39.42415		8.120828		7.858484		44.95623		24.7915		24.51997		84.23871		53.67502		54		7.858484		40.4078		40		24.97903		100.0116		100		53.05888		54.05629		54		70.06697		35.26724		35.3		100		48.46065		48.51		54
372		3.784705		3.78675		38.82393		7.905259		8.239517		44.89244		24.66823		24.93255		84.88221		53.71064		54		8.239517		40.42709		40		25.08007		100.0321		100		52.90868		53.89927		54		40.53766		35.24378		35.3		100		48.4806		48.51		54
384		3.787412		3.78675		40.10203		7.819323		8.772464		45.33648		24.78522		24.76308		84.69193		53.75887		54		8.772464		40.33829		40		24.63975		99.979		100		52.87585		52.50775		52		53.70253		35.24345		35.3		100		48.44732		48.51		52
396		3.786506		3.78675		39.6469		7.875774		8.234048		45.46255		24.66824		24.96688		84.39484		53.7177		54		8.234048		40.32002		40		24.55234		100.0818		100		52.92744		52.1644		52		62.5383		35.23011		35.3		100		48.46575		48.51		52
408		3.78686		3.78675		39.9543		8.526325		8.861687		46.50857		24.46226		24.62669		83.86959		53.7733		54		8.861687		40.3057		40		24.48442		99.71504		100		53.23682		52.07656		52		67.60347		35.26899		35.3		100		48.46975		48.51		52
420		3.783327		3.78675		38.25037		8.895963		8.900517		47.73661		24.22086		24.22984		83.18323		53.77939		54		8.900517		40.29163		40		24.41747		99.84127		100		53.5628		51.98567		52		56.42826		35.23754		35.3		100		48.47203		48.51		52
432		3.784905		3.78675		39.16347		9.051369		8.904533		48.33844		24.26352		24.4956		83.2434		53.78217		54		8.904533		40.28791		40		24.40209		100.057		100		53.98158		51.90481		52		40.51638		35.25846		35.3		100		48.46211		48.51		52
444		3.78879		3.78675		41.11583		9.511677		9.872214		49.85284		24.17524		24.54566		83.13135		53.86491		54		9.872214		40.26255		40		24.27818		99.73059		100		54.34193		52.00113		52		63.73884		35.24416		35.3		100		48.47355		48.51		52
456		3.786813		3.78675		40.24687		9.87542		10.0135		50.73494		24.28991		24.45871		82.85901		53.87848		54		10.0135		40.26436		40		24.29027		99.7234		100		54.66012		51.98117		52		59.38281		35.2494		35.3		100		48.47374		48.51		52
468		3.786397		3.78675		40.07898		9.918405		10.20038		50.78154		24.21413		24.31201		82.93013		53.89557		54		10.20038		40.27859		40		24.36468		99.9762		100		54.98277		51.95259		52		52.3282		35.23522		35.3		100		48.46528		48.51		52
480		3.786038		3.78675		39.94519		10.26109		10.27291		51.66663		24.42533		24.42047		83.06282		53.90277		54		10.27291		40.27431		40		24.34656		99.97581		100		55.3279		52.01043		52		65.13187		35.24466		35.3		100		48.46209		48.51		52
492		3.79037		3.78675		42.13642		10.83721		11.93699		52.88133		24.21145		24.26358		82.8482		54.04231		54		11.93699		40.26785		40		24.31739		95.86506		95		51.02251		52.06846		52		77.11532		35.25203		35.3		95		48.45557		48.51		52
504		3.789179		3.78675		41.57988		12.33511		12.68166		55.536		24.41818		24.45146		82.89344		54.10403		54		12.68166		40.28116		40		24.38733		94.65499		95		50.75005		52.05051		52		69.32294		35.27523		35.3		95		48.45628		48.51		52
516		3.786029		3.78675		40.1647		13.85597		13.5796		58.37163		24.30652		24.46132		82.99551		54.17712		54		13.5796		40.2146		40		24.05699		94.43625		95		51.69394		51.97335		52		55.63391		35.27347		35.3		95		48.46886		48.51		52
528		3.78743		3.78675		40.87003		14.83662		15.41902		61.52788		24.29136		24.04925		82.36649		54.32741		54		15.41902		40.23865		40		24.18051		94.36624		95		52.80505		51.98855		52		59.90485		35.25475		35.3		95		48.46204		48.51		52
540		3.79014		3.78675		42.33635		15.74759		16.00685		63.0688		24.3133		23.98931		82.2238		54.37245		54		16.00685		40.225		40		24.115		94.46394		95		53.93578		51.99809		52		61.27219		35.2693		35.3		95		48.47477		48.51		52
