Trend data for Model:	
Model time base:		1
Plot duration (secs):		94

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.788591		3.78675		40.26914		11.98095		11.93585		54		23.03056		23.0245		79.52148		53.98228		54		11.93585		40.0258		40		23.0245		98.22828		98.40504		54.93191		52.80363		52.90595		62.65106		35.31006		35.3		98.40504		48.52017		48.51		52.90595
1		3.789026		3.78675		40.52387		11.2463		12.01284		54.34377		22.98428		23.06708		79.58666		53.99162		54		12.01284		39.99		40		22.93537		98.61018		98		54.78923		52.90029		52.81261		61.83264		35.31916		35.3		98.53688		48.51573		48.51		52.86161
2		3.785767		3.78675		38.95222		11.5635		12.22792		54.7952		22.99492		22.97209		79.50656		54.01761		54		12.22792		40.02869		40		23.03179		98.43434		98		54.716		52.98198		52.90216		61.33414		35.30619		35.3		98.35124		48.51321		48.51		52.83637
3		3.785374		3.78675		38.74688		11.75704		12.04779		55.07073		23.01931		23.06452		79.56802		53.99586		54		12.04779		39.96634		40		22.87654		98.21522		98		54.68569		52.98131		52.79011		71.23203		35.29833		35.3		98.23809		48.51447		48.51		52.84907
4		3.789111		3.78675		40.65935		11.7595		12.29822		55.48401		22.87714		23.01879		79.61145		54.02609		54		12.29822		39.97529		40		22.89881		98.16426		98		54.6589		52.96631		52.94386		56.95894		35.31463		35.3		98.47394		48.51828		48.51		52.88717
5		3.786767		3.78675		39.53831		11.82248		11.63583		55.00295		23.02496		22.94572		79.37633		53.94616		54		11.63583		40.04306		40		23.06757		98.14534		98		54.63578		52.97865		52.88393		63.44449		35.33398		35.3		98.75495		48.54728		48.51		53.17724
6		3.786815		3.78675		39.57277		12.08114		11.46049		54.8518		22.99959		22.884		79.27513		53.925		54		11.46049		40.03308		40		23.04272		97.98398		98		54.64895		53.11781		52.80549		82.39497		35.30621		35.3		98.35541		48.51865		48.51		52.89094
7		3.788793		3.78675		40.60252		11.79224		10.97504		54.54237		23.0487		23.00661		79.27035		53.86642		54		10.97504		40.01178		40		22.98963		98.13784		98		54.61819		53.08511		52.77247		82.83606		35.32892		35.3		98.68407		48.50144		48.51		52.71894
8		3.784497		3.78675		38.49313		11.8063		12.02322		54.94419		22.95195		22.79639		79.1336		53.99304		54		12.02322		39.97684		40		22.9026		98.24414		98		54.57081		52.98481		52.85577		67.29715		35.31712		35.3		98.51556		48.53276		48.51		53.03219
9		3.786821		3.78675		39.60835		11.83121		12.04241		55.12842		22.8637		23.00661		79.48376		53.99537		54		12.04241		40.0109		40		22.98741		98.09182		98		54.56321		52.92145		52.78776		67.79698		35.29276		35.3		98.16413		48.50529		48.51		52.75749
10		3.791461		3.78675		42.02713		11.75583		11.61067		54.95763		22.99897		22.98054		79.40224		53.94327		54		11.61067		40.02126		40		23.01326		98.1165		98		54.54692		52.89323		52.76977		67.22041		35.30843		35.3		98.3905		48.52286		48.51		52.93325
11		3.787		3.78675		39.82996		12.00289		11.28443		54.76487		22.98291		22.84571		79.23079		53.90389		54		11.28443		39.99812		40		22.9556		97.96128		98		54.55872		52.86981		52.83832		59.37632		35.31378		35.3		98.46839		48.50409		48.51		52.74548
12		3.784605		3.78675		38.62902		11.81653		11.65762		54.9745		22.94955		22.99486		79.46173		53.94898		54		11.65762		40.00092		40		22.96263		98.11536		98		54.52705		52.85897		52.66713		73.32963		35.31297		35.3		98.45676		48.51922		48.51		52.89685
13		3.790288		3.78675		41.4774		11.87381		12.90944		55.55029		22.98422		23.01206		79.47692		54.10017		54		12.90944		39.9641		40		22.87095		97.92136		98		54.55054		52.88689		52.71964		71.29865		35.31202		35.3		98.44263		48.50407		48.51		52.74534
14		3.787971		3.78675		40.40668		11.84975		12.19189		54.97908		22.90415		22.87418		79.39132		54.01358		54		12.19189		40.01727		40		23.00334		98.11889		98		54.52031		52.8737		52.73056		69.44569		35.31883		35.3		98.54213		48.50521		48.51		52.75671
15		3.786678		3.78675		39.73378		11.82973		12.10847		55.07789		23.03416		23.03697		79.47152		54.00352		54		12.10847		39.95723		40		22.85386		98.06373		98		54.51063		52.82066		52.79994		58.91523		35.29774		35.3		98.23857		48.51039		48.51		52.80856
16		3.789494		3.78675		41.16757		11.88069		11.35487		54.94827		22.94031		22.86637		79.35684		53.91251		54		11.35487		40.03496		40		23.04741		97.99509		98		54.51594		52.88728		52.7549		68.64172		35.31318		35.3		98.46108		48.52385		48.51		52.94318
17		3.788205		3.78675		40.59416		11.98878		11.88284		55.36043		23.04186		22.86413		79.26861		53.97625		54		11.88284		39.98193		40		22.91535		97.97844		98		54.52742		52.89544		52.87719		58.81004		35.29828		35.3		98.24799		48.50819		48.51		52.78664
18		3.783266		3.78675		38.09247		11.90506		12.09043		55.26436		22.88267		22.93281		79.45016		54.00137		54		12.09043		40.01969		40		23.00937		98.04946		98		54.51302		52.90395		52.93747		54.45768		35.27739		35.3		97.94738		48.49762		48.51		52.68089
19		3.789125		3.78675		41.0215		12.03257		11.96288		55.1828		23.07215		22.94036		79.29043		53.98598		54		11.96288		40.01342		40		22.99378		97.922		98		54.53804		52.86197		52.80159		62.72116		35.29786		35.3		98.24139		48.4876		48.51		52.58068
20		3.787794		3.78675		40.38825		11.96385		11.78349		55.07674		22.94068		22.81513		79.2986		53.96433		54		11.78349		39.95348		40		22.84453		98.01169		98		54.53036		52.71736		52.69865		59.23145		35.29976		35.3		98.26954		48.50783		48.51		52.78301
21		3.786621		3.78675		39.80126		11.86881		11.61467		55.00276		22.88341		23.06578		79.60594		53.94397		54		11.61467		39.96584		40		22.87531		98.02973		98		54.52017		52.7935		52.68257		66.93793		35.29883		35.3		98.25659		48.50803		48.51		52.78506
22		3.787732		3.78675		40.38918		12.01357		11.91		55.22611		22.95795		22.969		79.45264		53.97963		54		11.91		40.02808		40		23.03028		97.91958		98		54.5447		52.77322		52.9111		45.38629		35.30694		35.3		98.3741		48.5231		48.51		52.9358
23		3.787736		3.78675		40.42262		11.72814		12.10698		55.26525		23.03461		23.08732		79.4888		54.00346		54		12.10698		39.97638		40		22.90156		98.0968		98		54.51398		52.84873		52.75192		65.59326		35.3247		35.3		98.63089		48.5162		48.51		52.86678
24		3.783306		3.78675		38.22128		11.88059		12.19923		55.25429		22.91358		22.9828		79.44135		54.01463		54		12.19923		40.00811		40		22.98055		98.05187		98		54.50238		52.89701		52.7899		66.57945		35.2807		35.3		97.9974		48.52082		48.51		52.91304
25		3.789412		3.78675		41.24524		11.86803		11.12101		54.73999		22.98224		23.19014		79.64892		53.88446		54		11.12101		40.04036		40		23.06093		97.93864		98		54.51515		52.98859		52.90473		64.80668		35.29115		35.3		98.14677		48.5202		48.51		52.90685
26		3.789432		3.78675		41.32708		11.81188		11.35104		54.55321		23.05389		23.09904		79.53487		53.9123		54		11.35104		40.00438		40		22.9714		98.11136		98		54.48735		53.02527		53.01308		58.72743		35.30567		35.3		98.35646		48.51116		48.51		52.81653
27		3.783831		3.78675		38.53389		11.58552		11.49583		54.91061		23.00691		23.02379		79.47827		53.9298		54		11.49583		39.98741		40		22.92916		98.26883		98		54.42972		52.97232		52.8295		70.29223		35.29291		35.3		98.17397		48.52948		48.51		52.99976
28		3.78823		3.78675		40.67576		11.9445		12.38458		55.39807		22.97426		22.98089		79.44114		54.03714		54		12.38458		40.0324		40		23.0412		97.83727		98		54.48814		52.93993		52.90685		61.03314		35.29155		35.3		98.15269		48.50431		48.51		52.7481
29		3.788233		3.78675		40.75453		11.82756		12.08191		55.36785		23.04054		22.99945		79.40575		54.0006		54		12.08191		40.00354		40		22.96936		98.09201		98		54.45153		52.92319		52.82106		67.17396		35.32168		35.3		98.58714		48.51583		48.51		52.86333
30		3.78498		3.78675		39.10259		11.89304		11.93363		55.36147		22.96526		23.00293		79.47875		53.98271		54		11.93363		39.99163		40		22.93973		97.97205		98		54.46168		52.8498		52.77051		65.33054		35.30217		35.3		98.30589		48.49224		48.51		52.62738
31		3.78841		3.78675		40.8269		12.05589		12.32809		55.51967		22.98078		22.95966		79.40792		54.03035		54		12.32809		40.04951		40		23.08386		97.86169		98		54.49408		52.80794		52.64873		72.29949		35.3121		35.3		98.44842		48.51295		48.51		52.83451
32		3.787361		3.78675		40.31231		12.09687		13.16285		56.04991		23.02819		22.96643		79.34918		54.13113		54		13.16285		40.05573		40		23.09938		97.86981		98		54.51814		52.77009		52.79946		55.87068		35.29486		35.3		98.19963		48.51062		48.51		52.81121
33		3.78492		3.78675		39.06787		12.18451		12.23677		55.50528		22.98521		22.8621		79.25972		54.0193		54		12.23677		40.0061		40		22.97582		98.39647		100		55.14126		52.79851		52.91267		48.34902		35.29829		35.3		98.24846		48.51023		48.51		52.80739
34		3.788056		3.78675		40.64182		11.91191		11.02423		54.87354		22.9527		23.02258		79.43409		53.8729		54		11.02423		40.00475		40		22.97246		98.51729		100		55.42565		52.79318		52.8184		55.91901		35.30174		35.3		98.29718		48.51787		48.51		52.88375
35		3.790161		3.78675		41.75081		12.14346		11.09455		55.05687		22.91592		23.05219		79.57615		53.88138		54		11.09455		40.07918		40		23.1579		98.6141		100		55.68235		52.87796		52.69896		73.58383		35.30327		35.3		98.32009		48.50989		48.51		52.80396
36		3.784026		3.78675		38.70949		11.8427		11.89734		55.38537		23.07157		23.07889		79.47805		53.97835		54		11.89734		40.01688		40		23.0028		99.04638		100		55.83779		52.86213		52.76618		66.55133		35.29623		35.3		98.21947		48.50721		48.51		52.77719
37		3.789445		3.78675		41.37879		11.97231		12.03209		55.77681		22.96993		22.91278		79.35704		53.99459		54		12.03209		40.0586		40		23.10672		98.79422		100		56.08094		52.89616		52.79127		67.54951		35.31937		35.3		98.55358		48.51051		48.51		52.81016
38		3.788075		3.78675		40.77443		12.03396		11.7923		55.50596		23.01531		22.92977		79.3253		53.96566		54		11.7923		39.98864		40		22.93251		99.02658		100		56.24657		52.91244		52.8266		66.04618		35.32682		35.3		98.66299		48.51339		48.51		52.83897
39		3.783632		3.78675		38.51141		11.97406		12.49862		55.93885		22.85805		22.80616		79.27731		54.05095		54		12.49862		40.01044		40		22.98676		99.15775		100		56.39627		52.83166		52.73192		67.32956		35.28345		35.3		98.03858		48.5151		48.51		52.85612
40		3.788254		3.78675		40.8257		12.18538		12.55653		56.03196		22.99481		22.98185		79.37657		54.05792		54		12.55653		40.02403		40		23.02064		99.04568		100		56.58404		52.87484		52.83086		62.54149		35.32203		35.3		98.59444		48.52536		48.51		52.95873
41		3.791472		3.78675		42.51472		12.15677		11.92865		55.69731		22.94942		22.95846		79.37188		53.9821		54		11.92865		39.96241		40		22.86717		99.20304		100		56.73282		52.87453		52.9022		56.35994		35.30961		35.3		98.41708		48.53087		48.51		53.01395
42		3.785823		3.78675		39.69844		12.06514		11.86117		55.33463		22.88161		22.93399		79.41958		53.97399		54		11.86117		40.054		40		23.09526		99.33524		100		56.84762		52.98744		52.7533		78.90805		35.28767		35.3		98.10205		48.52009		48.51		52.90626
43		3.78955		3.78675		41.56569		11.95324		12.23805		55.6969		23.0664		22.90569		79.22723		54.01949		54		12.23805		40.03293		40		23.04282		99.37535		100		56.96005		52.99243		52.89847		67.18221		35.31278		35.3		98.46394		48.52144		48.51		52.9197
