Trend data for Model:	
Model time base:		12
Plot duration (secs):		5184

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.788591		3.78675		40.26914		11.98095		11.93585		54		23.03056		23.0245		79.52148		53.98228		54		11.93585		40.0258		40		23.0245		98.22828		98.40504		54.93191		52.80363		52.90595		62.65106		35.31006		35.3		98.40504		48.52017		48.51		52.90595
12		3.787544		3.78675		40.0081		11.7566		12.14926		55.28824		23.01533		22.87916		79.23379		54.00832		54		12.14926		40.01148		40		22.98896		98.39201		98.22608		54.94574		52.78187		52.88271		49.66561		35.31233		35.3		98.44648		48.50535		48.51		52.75821
24		3.789577		3.78675		41.38295		12.08501		11.94177		55.41948		22.92575		22.95876		79.40057		53.98355		54		11.94177		40.05541		40		23.09837		98.31531		98.4592		55.05029		52.75136		52.87308		49.27551		35.31678		35.3		98.51856		48.50427		48.51		52.74784
36		3.785571		3.78675		39.57064		11.69924		12.38049		55.19836		22.94774		23.16686		79.6817		54.03685		54		12.38049		40.00414		40		22.97083		98.72605		98.48567		55.01116		52.85158		52.8445		59.96988		35.30197		35.3		98.31098		48.50954		48.51		52.80084
48		3.785551		3.78675		39.51098		11.77468		12.08058		55.0809		22.98567		23.02009		79.44587		54.00088		54		12.08058		40.03267		40		23.04196		98.34137		98.38717		54.96192		52.83029		52.67173		72.95009		35.30738		35.3		98.38962		48.50307		48.51		52.73628
60		3.787018		3.78675		40.24775		11.95364		11.94038		55.38359		22.97453		22.94991		79.43931		53.98413		54		11.94038		40.00338		40		22.969		98.22899		98.39479		54.97058		52.94627		52.98016		57.12538		35.31472		35.3		98.49456		48.49565		48.51		52.66207
72		3.785938		3.78675		39.74378		11.98436		12.19472		55.47635		23.01422		22.86202		79.26801		54.01495		54		12.19472		40.04437		40		23.07124		98.39375		98.40265		55.07995		52.80802		52.93161		50.45708		35.31778		35.3		98.54083		48.51716		48.51		52.87728
84		3.784138		3.78675		38.86822		12.11591		12.07265		55.63301		22.93154		22.96751		79.36692		54.0003		54		12.07265		39.96472		40		22.87268		98.08572		98.08184		55.067		52.83836		52.79126		65.20255		35.30264		35.3		98.32494		48.51533		48.51		52.85899
96		3.785157		3.78675		39.38992		11.90496		12.11855		55.59926		22.95612		22.91578		79.21458		54.00587		54		12.11855		39.92701		40		22.77854		98.5003		98.10929		55.05955		52.95277		52.77328		77.56877		35.29688		35.3		98.24185		48.51296		48.51		52.83566
108		3.78735		3.78675		40.3598		12.10548		12.92279		56.27241		22.90885		22.99299		79.40973		54.1029		54		12.92279		39.99388		40		22.94492		98.26698		98.10308		55.18572		52.75213		52.88139		51.94601		35.29378		35.3		98.19866		48.49557		48.51		52.66186
120		3.788234		3.78675		40.95261		11.91647		12.08427		55.44181		18.00454		17.88943		67.94498		54.00175		54		12.08427		39.96594		42		17.84554		98.44859		98.74165		55.34758		52.85338		52.78675		67.72026		35.31426		35.3		98.50313		48.50027		48.51		52.70901
132		3.787128		3.78675		40.3888		12.21777		11.70176		55.26069		18.26098		18.13464		68.12988		53.95547		54		11.70176		40.17512		42		18.30904		98.20071		98.53939		55.35595		52.86118		52.80017		68.46704		35.29024		35.3		98.15857		48.52661		48.51		52.97281
144		3.78832		3.78675		41.02217		11.9977		12.2344		55.85192		18.36647		18.42081		68.72274		54.01976		54		12.2344		40.22307		42		18.37414		98.35944		98.7601		55.31919		52.96011		52.68648		84.25669		35.30788		35.3		98.41604		48.51288		48.51		52.83578
156		3.788192		3.78675		40.99021		12.22558		11.4521		55.72811		18.59798		18.63532		69.23116		53.92502		54		11.4521		40.36866		42		18.68585		98.47292		98.3437		55.42424		52.97685		52.99563		57.30242		35.33096		35.3		98.75293		48.50323		48.51		52.73984
168		3.786164		3.78675		39.94765		12.12985		12.36889		55.8491		18.79242		18.84415		69.62213		54.03556		54		12.36889		40.40601		42		18.73082		98.43488		98.12475		55.38422		52.88792		52.82024		64.88864		35.32831		35.3		98.71802		48.5094		48.51		52.80208
180		3.785584		3.78675		39.75566		12.39648		11.99179		55.9363		19.04111		19.00839		70.00752		53.98966		54		11.99179		40.57219		42		19.09942		98.29995		98.35081		55.54794		52.95714		52.73849		82.7213		35.30071		35.3		98.32346		48.51252		48.51		52.83373
192		3.786272		3.78675		40.07021		12.30383		12.99		56.3131		19.10137		19.25762		70.61982		54.1101		54		12.99		40.60935		42		19.14969		98.25441		98.12611		55.38915		52.83975		52.9746		50.94427		35.29185		35.3		98.20061		48.50901		48.51		52.79934
204		3.788254		3.78675		41.06103		12.18378		12.22223		55.84251		19.40534		19.38307		70.85824		54.01725		54		12.22223		40.75654		42		19.47681		98.28935		98.27147		55.39633		52.80443		52.87895		54.5736		35.28734		35.3		98.13681		48.50176		48.51		52.72712
216		3.788765		3.78675		41.2421		12.27898		12.92361		56.31271		19.50553		19.48818		71.24762		54.1018		54		12.92361		40.82035		42		19.59886		98.26258		98.14904		55.32936		52.86686		52.94869		51.05247		35.2996		35.3		98.31374		48.51194		48.51		52.82935
228		3.788521		3.78675		41.14395		12.26423		11.79355		55.64177		19.60362		19.66887		71.66781		53.96518		54		11.79355		40.88524		42		19.72586		98.31083		98.58115		55.53121		52.88055		52.87395		60.2002		35.33693		35.3		98.85642		48.52718		48.51		52.98227
240		3.784359		3.78675		39.03808		12.23622		12.28524		56.04299		19.90165		19.78441		71.78222		54.02452		54		12.28524		40.96589		42		19.89434		98.29829		98.17616		55.28481		52.89238		52.80307		67.65051		35.30933		35.3		98.46161		48.50602		48.51		52.7712
252		3.790282		3.78675		42.02069		12.06406		12.19917		55.98348		19.96331		20.05002		72.29751		54.01404		54		12.19917		41.02251		42		20.00511		98.41645		98.5722		55.45765		52.89835		52.95729		55.70696		35.30828		35.3		98.4544		48.52933		48.51		53.00495
264		3.789169		3.78675		41.55037		12.17019		12.33787		55.99183		20.04		20.18029		72.68442		54.03074		54		12.33787		41.05636		42		20.06101		98.2284		98.58191		55.48709		52.70353		52.97065		38.95655		35.31827		35.3		98.60376		48.5262		48.51		52.97443
276		3.78634		3.78675		40.20292		12.13913		12.88742		56.31723		20.21036		20.42351		73.03362		54.09698		54		12.88742		41.08599		42		20.10863		98.35947		98.49385		55.4805		52.92604		52.931		57.4905		35.31681		35.3		98.58808		48.51367		48.51		52.84971
288		3.785986		3.78675		39.90827		12.15744		11.60254		55.36205		20.34209		20.45848		73.33016		53.94182		54		11.60254		41.23713		42		20.46079		98.38203		98.66263		55.42775		52.82468		52.82896		57.8812		35.32344		35.3		98.68449		48.52081		48.51		52.92147
300		3.783328		3.78675		38.42124		11.9253		12.21373		55.69719		20.61526		20.50912		73.3611		54.01565		54		12.21373		41.27074		42		20.52219		98.46394		98.49323		55.29965		52.89632		52.92216		57.62919		35.30406		35.3		98.40525		48.50127		48.51		52.72667
312		3.786116		3.78675		39.7422		12.18304		11.47254		55.30857		20.58363		20.66995		73.81514		53.92609		54		11.47254		41.33042		42		20.65034		98.3402		98.62901		55.37361		52.82971		53.01311		41.69624		35.3075		35.3		98.45514		48.53735		48.51		53.08805
324		3.785746		3.78675		39.68683		11.86474		11.32363		55.00565		20.77483		20.79487		74.06665		53.90837		54		11.32363		41.34192		42		20.66033		98.48198		98.33293		55.20978		52.85796		52.81832		66.9741		35.30518		35.3		98.42833		48.52898		48.51		53.0052
336		3.783018		3.78675		38.36104		12.04432		11.61697		55.30373		20.90971		21.05677		74.5089		53.94398		54		11.61697		41.4572		42		20.93036		98.38852		98.16646		55.15011		52.82476		52.70436		72.61361		35.28433		35.3		98.13337		48.53574		48.51		53.07343
348		3.787046		3.78675		40.3227		11.98436		11.74573		55.38003		21.09397		20.99041		74.5611		53.95966		54		11.74573		41.52966		42		21.09547		98.43866		98.24749		55.13522		52.98368		52.79554		78.40145		35.29525		35.3		98.29126		48.52101		48.51		52.92659
360		3.786119		3.78675		39.82874		11.80379		11.91721		55.51806		21.08282		21.16729		74.98391		53.98049		54		11.91721		41.51615		42		21.04797		98.55446		98.00834		55.12791		52.89509		52.83103		65.97822		35.30147		35.3		98.38549		48.52551		48.51		52.97221
372		3.789576		3.78675		41.61888		12.07676		11.82525		55.27634		21.14662		21.3945		75.3158		53.96941		54		11.82525		41.58991		42		21.21892		98.29157		98.63911		55.3774		52.89307		53.05773		48.02229		35.32738		35.3		98.75911		48.50632		48.51		52.78068
384		3.788487		3.78675		41.07023		12.01189		11.71794		55.41513		21.40133		21.36944		75.24416		53.95666		54		11.71794		41.68784		42		21.45157		98.33711		98.36726		55.23153		52.98184		53.00061		58.40575		35.30463		35.3		98.43536		48.5216		48.51		52.93421
396		3.78482		3.78675		39.24967		11.96693		12.09923		55.33222		21.45693		21.31471		75.39266		54.0029		54		12.09923		41.63843		42		21.31846		98.45822		98.37554		55.23026		52.93057		52.96302		56.97062		35.29496		35.3		98.30179		48.52293		48.51		52.94836
408		3.787282		3.78675		40.53283		12.19481		11.85448		55.44353		21.6055		21.44391		75.614		53.97344		54		11.85448		41.72451		42		21.52405		98.20002		98.62216		55.31481		52.88714		52.86615		60.12387		35.31722		35.3		98.62454		48.5285		48.51		53.00479
420		3.788958		3.78675		41.32284		11.89797		11.48677		55.34763		21.64484		21.53814		75.81543		53.92913		54		11.48677		41.77878		42		21.65142		98.3946		98.43788		55.26447		52.89659		52.68434		75.58351		35.31613		35.3		98.609		48.52866		48.51		53.00689
432		3.782106		3.78675		37.96025		11.66025		11.67815		54.86539		21.75369		21.53226		75.95265		53.95258		54		11.67815		41.76568		42		21.61246		98.75508		98.30056		55.13908		52.93531		52.89827		65.69049		35.26173		35.3		97.83121		48.51947		48.51		52.91571
444		3.783239		3.78675		38.49971		11.89306		12.17031		55.43759		21.79544		21.6393		76.17628		54.01226		54		12.17031		41.84476		42		21.80401		98.45139		98.54375		55.15562		52.78468		52.89858		49.88395		35.30464		35.3		98.45175		48.52666		48.51		52.98823
456		3.785597		3.78675		39.67056		11.8186		12.09626		55.51004		21.91493		21.83566		76.37418		54.00344		54		12.09626		41.90385		42		21.94654		98.51032		97.99007		55.1121		52.9941		52.92847		65.34315		35.30033		35.3		98.39325		48.51941		48.51		52.91646
468		3.787037		3.78675		40.28817		12.00604		12.2331		55.7886		21.98714		21.98066		76.68085		54.01997		54		12.2331		41.9227		42		21.99007		98.20568		98.25058		55.17925		52.9502		52.74572		79.65572		35.29008		35.3		98.24137		48.5161		48.51		52.88399
480		3.785333		3.78675		39.45464		11.98924		12.31262		55.62965		22.08865		21.8581		76.55172		54.0298		54		12.31262		41.90412		42		21.94133		98.31652		98.36072		55.19693		52.85962		52.76272		71.97388		35.29752		35.3		98.3529		48.51006		48.51		52.82389
492		3.787134		3.78675		40.40079		12.046		11.94501		55.57625		22.0358		22.08402		76.98249		53.98545		54		11.94501		41.99283		42		22.16005		98.309		98.15102		55.2283		52.86965		52.80675		67.48362		35.2898		35.3		98.24443		48.51934		48.51		52.91739
504		3.786787		3.78675		40.26608		11.89712		11.56466		55.2758		22.10244		22.18931		77.16551		53.93962		54		11.56466		42.01322		42		22.20992		98.39075		98.47013		55.30948		52.9512		52.79365		73.88197		35.30836		35.3		98.5159		48.52211		48.51		52.94581
