Trend data for Model:	
Model time base:		12
Plot duration (secs):		2472

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.788591		3.78675		40.26914		11.98095		11.93585		54		23.03056		23.0245		79.52148		53.98228		54		11.93585		40.0258		40		23.0245		98.22828		98.40504		54.93191		52.80363		52.90595		62.65106		35.31006		35.3		98.40504		48.52017		48.51		52.90595
12		3.786002		3.78675		39.33386		11.83268		12.03636		55.19117		22.93148		23.01488		79.51142		53.99481		54		12.03636		39.95556		40		22.84976		98.49106		98.61059		54.98356		52.99773		52.87053		66.60175		35.31753		35.3		98.52514		48.50796		48.51		52.78423
24		3.785362		3.78675		39.31206		11.68862		11.6385		55.23555		22.89313		22.90856		79.29446		53.94707		54		11.6385		39.99954		40		22.9593		98.59709		98.25631		54.9969		53.0158		52.88145		69.67109		35.3046		35.3		98.3499		48.5278		48.51		52.98324
36		3.78588		3.78675		39.73339		11.77138		11.83921		55.15389		22.87895		22.89742		79.39039		53.97158		54		11.83921		39.99089		40		22.93776		98.54461		98.41894		55.07078		52.80104		52.95439		46.10584		35.30754		35.3		98.39948		48.52847		48.51		52.99031
48		3.787553		3.78675		40.61106		12.05135		12.08225		55.36711		22.96093		22.98081		79.37413		54.00113		54		12.08225		39.99501		40		22.94803		98.31637		98.40305		55.06685		52.8658		52.71472		72.28037		35.32843		35.3		98.70213		48.51109		48.51		52.81673
60		3.7855		3.78675		39.53321		12.02529		12.42003		55.46288		22.89809		23.01565		79.52557		54.04205		54		12.42003		40.02224		40		23.01613		98.31513		98.30166		55.04803		52.72888		52.95312		40.88897		35.29525		35.3		98.22362		48.49925		48.51		52.69861
72		3.790077		3.78675		41.8059		12.06124		11.99653		55.28877		23.03611		23.03591		79.38489		53.99115		54		11.99653		39.96877		40		22.88296		98.09085		98.57857		55.03813		52.76529		52.79118		57.22632		35.29917		35.3		98.27666		48.51617		48.51		52.86772
84		3.790777		3.78675		42.28039		12.04334		11.59623		55.14512		22.90354		22.98347		79.48317		53.943		54		11.59623		40.00735		40		22.97884		98.16548		98.28958		55.06343		52.88906		52.82181		66.16724		35.30593		35.3		98.38069		48.52333		48.51		52.93974
96		3.787394		3.78675		40.5425		11.91997		12.33003		55.8087		22.91205		22.94773		79.37367		54.03159		54		12.33003		40.00252		40		22.96681		98.35405		98.14565		55.05708		52.94528		52.76561		75.5245		35.29978		35.3		98.28961		48.49948		48.51		52.70133
108		3.786825		3.78675		40.31129		12.2193		11.61717		55.26262		22.94745		22.94863		79.29487		53.94545		54		11.61717		39.95557		40		22.84952		98.35418		98.30435		55.25698		52.82381		52.93307		49.34433		35.30324		35.3		98.34252		48.50828		48.51		52.78957
120		3.786669		3.78675		40.21673		12.26476		12.44123		56.20506		22.8446		22.95376		79.44282		54.04483		54		12.44123		39.98764		40		22.929		98.19682		98.08056		55.21217		52.83059		52.88618		54.30525		35.31127		35.3		98.45833		48.52157		48.51		52.92281
132		3.786664		3.78675		40.12777		12.04815		12.37265		56.08584		22.89332		22.87855		79.26771		54.03643		54		12.37265		39.95833		40		22.85557		98.42231		98.45894		55.28554		52.91344		52.86958		63.13267		35.29019		35.3		98.15392		48.50654		48.51		52.77271
144		3.786546		3.78675		39.99358		12.30488		12.25416		56.10056		22.86432		22.89181		79.30764		54.02193		54		12.25416		39.91666		40		22.75111		98.10545		98.3255		55.31267		52.88479		52.6893		76.53932		35.30145		35.3		98.31533		48.50375		48.51		52.74475
156		3.78413		3.78675		38.92568		12.18137		12.19867		55.79146		22.79119		22.94191		79.29672		54.01503		54		12.19867		39.96055		40		22.85956		98.61		98.42707		55.41789		52.83873		52.75932		65.77097		35.30758		35.3		98.40865		48.52204		48.51		52.92776
168		3.784525		3.78675		39.11455		12.29041		11.58201		55.54765		22.89034		22.88506		79.15318		53.94033		54		11.58201		39.97293		40		22.88937		98.54098		98.29905		55.45696		52.80017		52.81649		58.20812		35.32266		35.3		98.63039		48.49902		48.51		52.69786
180		3.785648		3.78675		39.69066		12.44917		12.02174		55.74741		22.95758		22.7565		78.96854		53.99326		54		12.02174		40.00483		40		22.96769		98.16317		98.35099		55.52571		52.84393		52.95447		49.06773		35.30056		35.3		98.31806		48.52342		48.51		52.94225
192		3.785985		3.78675		39.90705		12.19661		12.19527		55.81594		22.83391		22.81828		79.10474		54.01409		54		12.19527		39.96331		40		22.86324		98.44581		98.30254		55.38955		52.80694		52.86613		52.11855		35.30803		35.3		98.42735		48.51355		48.51		52.84395
204		3.784902		3.78675		39.3176		12.36454		11.99013		55.9128		22.89053		22.86775		79.13612		53.9891		54		11.99013		39.98633		40		22.91959		98.3166		98.34175		55.38121		52.96581		52.89652		64.42208		35.29577		35.3		98.25108		48.50529		48.51		52.76177
216		3.787874		3.78675		40.75548		12.16012		12.93259		56.04077		22.76745		22.77279		79.19109		54.10279		54		12.93259		39.98725		40		22.92074		98.24015		98.48008		55.40945		52.86478		52.8487		60.97332		35.29718		35.3		98.27129		48.50839		48.51		52.7929
228		3.787602		3.78675		40.65919		12.31455		12.05166		55.92653		22.91034		15.32431		68.55412		53.99622		54		12.05166		39.99999		43		15.47676		98.30859		98.32921		55.38657		52.81793		52.81582		59.10521		35.31798		35.3		98.57299		48.51109		48.51		52.82044
240		3.787641		3.78675		40.70758		12.14974		11.35222		55.52003		15.64346		15.4488		62.355		53.9116		54		11.35222		40.04971		43		15.51109		98.30364		98.25781		55.43049		52.91101		52.78735		70.19806		35.30448		35.3		98.38372		48.50844		48.51		52.79424
252		3.788889		3.78675		41.24146		12.32307		11.61252		55.54122		15.82191		15.84864		63.01931		53.94294		54		11.61252		40.30633		43		16.06485		98.17932		98.33538		55.4275		52.89713		52.914		58.21319		35.29913		35.3		98.31106		48.51129		48.51		52.8236
264		3.785342		3.78675		39.50397		12.0699		12.26947		55.5795		16.13714		16.27017		63.88634		54.02232		54		12.26947		40.34952		43		16.09199		98.5058		98.42677		55.34417		52.77948		53.0113		38.61136		35.31026		35.3		98.47649		48.50912		48.51		52.8025
276		3.788735		3.78675		41.24188		12.18902		12.87606		56.2628		16.4872		16.43379		64.35144		54.09554		54		12.87606		40.48738		43		16.35947		98.21573		98.24058		55.27737		52.88233		52.7916		66.31668		35.29422		35.3		98.24767		48.53889		48.51		53.10092
288		3.788971		3.78675		41.3777		12.18823		11.77324		55.68441		16.77413		16.70525		65.05895		53.96221		54		11.77324		40.71407		43		16.85278		98.2754		98.52866		55.51809		52.89939		52.89686		60.04631		35.31308		35.3		98.5252		48.5314		48.51		53.0266
300		3.79006		3.78675		41.80201		12.42099		12.44028		56.49696		17.07937		17.20499		65.90469		54.04254		54		12.44028		40.8134		43		17.03341		98.16795		98.58776		55.49205		53.01356		52.92276		67.97562		35.30192		35.3		98.36695		48.5149		48.51		52.8623
312		3.786322		3.78675		40.01253		12.25646		11.88213		55.7392		17.44077		17.39451		66.38257		53.97497		54		11.88213		41.01846		43		17.48158		98.46325		98.61498		55.52825		52.88843		52.88667		61.09694		35.30047		35.3		98.34893		48.52722		48.51		52.98611
324		3.78634		3.78675		40.074		12.44617		11.8544		55.83747		17.50636		17.60128		67.09989		53.97158		54		11.8544		41.05092		43		17.50397		98.21325		98.62485		55.54307		53.00182		53.03216		58.01536		35.31346		35.3		98.54145		48.53516		48.51		53.06624
336		3.784467		3.78675		39.0978		12.17732		11.65822		55.62176		17.88321		17.85918		67.5687		53.94782		54		11.65822		41.22323		43		17.87839		98.41661		98.30077		55.38387		52.90532		52.85644		66.26705		35.30529		35.3		98.42484		48.51338		48.51		52.84927
348		3.788778		3.78675		41.16754		12.14526		12.17844		55.74558		18.16095		18.13327		68.03247		54.01063		54		12.17844		41.36882		43		18.19003		98.21344		98.28737		55.32069		52.78451		52.83409		57.09211		35.30864		35.3		98.47362		48.50989		48.51		52.81485
360		3.790136		3.78675		41.89931		12.12408		12.10557		55.82084		18.40014		18.32938		68.53782		54.00182		54		12.10557		41.47736		43		18.41283		98.15573		98.14062		55.2292		52.88881		52.76546		72.15671		35.2853		35.3		98.13807		48.50882		48.51		52.80468
372		3.788754		3.78675		41.13826		12.18721		11.89064		55.68867		18.4788		18.64209		69.2705		53.97581		54		11.89064		41.58766		43		18.64326		98.23579		98.56046		55.39507		52.95828		52.87142		68.46831		35.28861		35.3		98.18673		48.52907		48.51		53.00762
384		3.788002		3.78675		40.74274		12.08223		12.05966		55.34824		18.79065		18.72017		69.40267		53.99626		54		12.05966		41.67764		43		18.82641		98.32809		98.47167		55.39404		52.80232		53.0694		38.66001		35.28594		35.3		98.15425		48.52365		48.51		52.95404
396		3.786068		3.78675		39.85742		12.29943		11.83546		55.44898		19.00333		19.0058		69.91801		53.96914		54		11.83546		41.77243		43		19.02459		98.28827		98.55712		55.49579		52.96825		53.04379		54.89271		35.32079		35.3		98.66237		48.51393		48.51		52.85777
408		3.787838		3.78675		40.7606		12.16643		11.58613		55.32507		19.18541		19.30262		70.56418		53.93913		54		11.58613		41.84737		43		19.1763		98.49103		98.3194		55.33629		52.88893		53.03261		48.5198		35.31486		35.3		98.58262		48.51927		48.51		52.91191
420		3.787229		3.78675		40.35836		12.32289		12.24154		55.81815		19.38699		19.52602		71.00378		54.01825		54		12.24154		41.97695		43		19.46692		98.28936		98.53765		55.40584		52.81617		52.75189		65.78272		35.30308		35.3		98.41352		48.51509		48.51		52.8708
432		3.785486		3.78675		39.51583		11.85232		12.31335		55.38235		19.58379		19.54702		71.31075		54.02707		54		12.31335		42.04429		43		19.60527		98.57316		98.54782		55.31668		52.9492		52.96807		59.21748		35.29805		35.3		98.34423		48.50444		48.51		52.76501
444		3.786831		3.78675		40.26614		11.86555		11.89857		55.36258		19.83957		19.82094		71.72446		53.97716		54		11.89857		42.1382		43		19.81238		98.57035		98.17801		55.23974		52.80118		52.90827		51.27858		35.3028		35.3		98.42038		48.50506		48.51		52.77221
456		3.785703		3.78675		39.75194		11.71843		11.85004		55.11112		19.83326		20.04903		72.28884		53.9715		54		11.85004		42.17394		43		19.87685		98.58227		98.52887		55.26113		52.93519		52.85128		67.28025		35.30578		35.3		98.46668		48.53251		48.51		53.04765
468		3.784307		3.78675		39.05453		11.90299		12.27612		55.69443		20.11772		20.16817		72.52676		54.02316		54		12.27612		42.27898		43		20.11641		98.59152		98.36878		55.21516		52.90342		53.0554		47.80929		35.31474		35.3		98.60365		48.51571		48.51		52.88074
480		3.783214		3.78675		38.48614		12.07453		12.13138		55.52339		20.38506		20.36852		72.78098		54.00585		54		12.13138		42.32939		43		20.22208		98.48686		98.51024		55.2766		52.99251		53.00966		58.90323		35.29873		35.3		98.37554		48.51826		48.51		52.907
492		3.788263		3.78675		40.88766		11.95731		11.57956		55.30437		20.46648		20.59826		73.36823		53.93935		54		11.57956		42.43304		43		20.46243		98.31903		98.42082		55.27724		52.81891		52.93743		49.31679		35.27445		35.3		98.02792		48.50942		48.51		52.81927
504		3.791042		3.78675		42.28863		11.89729		12.10624		55.0721		20.56629		20.65098		73.60535		54.00317		54		12.10624		42.46922		43		20.53669		98.42937		98.67127		55.34083		52.93786		52.93434		59.67039		35.3178		35.3		98.65517		48.51235		48.51		52.84916
