Trend data for Model:	
Model time base:		1
Plot duration (secs):		1782

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.788591		3.78675		40.26914		11.98095		11.93585		54		23.03056		23.03401		79.52148		53.98228		54		11.93585		40.0258		40		23.03401		98.22828		97.9874		54.93191		52.80363		52.70587		62.65106		35.31006		35.3		97.9874		48.52017		48.51		52.70587
1		3.786201		3.78675		39.08748		11.36353		11.66282		54.29552		23.03577		22.91758		79.42617		53.95953		54		11.66282		40.00993		40		22.95452		98.56323		98.09517		54.82087		52.7438		52.93088		5.524125		35.31186		35.3		98.01443		48.53103		48.51		53.01464
2		3.785802		3.78675		38.92311		11.51463		11.3034		54.13898		22.94163		22.90004		79.43087		53.92959		54		11.3034		39.98685		40		22.83889		98.46598		97.94333		54.71463		52.84638		52.76756		66.82459		35.29855		35.3		97.8237		48.50767		48.51		52.78101
3		3.78772		3.78675		39.87532		11.69952		11.67121		54.55787		22.87258		22.84737		79.33176		53.96025		54		11.67121		39.97213		40		22.76512		98.21597		97.99758		54.69331		52.93795		52.75709		87.4537		35.31404		35.3		98.04784		48.50672		48.51		52.77147
4		3.790965		3.78675		41.57501		11.63642		11.70171		54.78444		22.79781		22.85891		79.41389		53.96279		54		11.70171		39.97901		40		22.79956		98.28638		97.92138		54.60445		52.87527		53.1644		0		35.30219		35.3		97.87744		48.52353		48.51		52.93972
5		3.786673		3.78675		39.46783		11.69814		11.79873		55.19275		22.98241		22.66355		78.93568		53.97088		54		11.79873		40.03156		40		23.06282		98.12925		98.00202		54.62863		52.89715		52.81406		74.28005		35.30536		35.3		97.92504		48.5135		48.51		52.83938
6		3.787978		3.78675		40.10949		11.98199		11.6788		55.20795		22.97837		23.06504		79.44163		53.96089		54		11.6788		40.02243		40		23.01713		98.03477		97.86686		54.59062		52.90626		52.83112		61.96151		35.30727		35.3		97.95328		48.53023		48.51		53.00668
7		3.789917		3.78675		41.1547		11.85365		10.97974		54.60497		22.97141		22.79918		79.08817		53.90264		54		10.97974		40.01579		40		22.98385		98.04957		98.01447		54.61441		52.9229		53.06092		17.49082		35.31804		35.3		98.10946		48.51268		48.51		52.83127
8		3.78283		3.78675		37.64695		11.96772		12.77335		55.68913		22.84646		23.00106		79.50146		54.0521		54		12.77335		40.05518		40		23.18121		98.14905		97.54129		54.51973		52.96518		52.64485		100		35.28541		35.3		97.64081		48.51163		48.51		52.8208
9		3.787962		3.78675		40.13493		12.17151		12.37212		55.62236		23.19092		23.06933		79.26322		54.01867		54		12.37212		40.00259		40		22.91778		97.70219		97.79225		54.57732		53.01822		52.80741		81.07032		35.27757		35.3		97.52623		48.51266		48.51		52.83111
10		3.79241		3.78675		42.44282		11.67679		11.97378		55.38421		22.74951		22.94076		79.39491		53.98548		54		11.97378		40.01593		40		22.9846		97.95238		98.40277		54.66448		52.99534		52.72402		97.11553		35.33121		35.3		98.30001		48.51928		48.51		52.89731
11		3.785401		3.78675		38.99892		12.04451		11.32485		55.19428		22.99746		22.91962		79.11361		53.9314		54		11.32485		39.98447		40		22.82694		98.18691		98.07959		54.59274		52.9064		52.72989		79.08968		35.32496		35.3		98.21235		48.51556		48.51		52.8601
12		3.783918		3.78675		38.17291		12.07164		12.25551		55.1675		22.80416		22.85382		79.19142		54.00897		54		12.25551		40.03526		40		23.08144		97.92845		97.69271		54.53124		52.90187		52.90208		45.87896		35.27216		35.3		97.45087		48.49669		48.51		52.67141
13		3.792202		3.78675		42.37723		11.75984		11.63159		54.71021		23.05006		23.06043		79.24802		53.95698		54		11.63159		40.04428		40		23.12663		97.83694		98.18813		54.63159		52.63785		52.97181		0		35.3438		35.3		98.48379		48.51165		48.51		52.82105
14		3.783273		3.78675		38.00869		11.62676		12.34221		55.1171		22.88165		22.78163		79.09107		54.01621		54		12.34221		39.95892		40		22.69897		98.56418		98.37333		54.5883		52.5551		52.94191		2.445565		35.31073		35.3		98.01098		48.51609		48.51		52.86557
15		3.785939		3.78675		39.25657		11.74714		11.8452		54.58824		22.77064		22.8361		79.27955		53.9748		54		11.8452		40.03456		40		23.07794		98.01195		97.58924		54.45726		52.60444		52.87706		37.75185		35.29464		35.3		97.77899		48.5102		48.51		52.80667
16		3.792592		3.78675		42.67552		11.52093		11.6413		54.3313		23.07911		22.97064		79.16771		53.95782		54		11.6413		39.98045		40		22.80683		98.13989		97.96549		54.46778		52.68437		52.72984		78.84065		35.32112		35.3		98.161		48.53793		48.51		53.08406
17		3.785798		3.78675		39.35147		11.44346		12.48715		55.21684		22.7407		22.69871		79.13715		54.02831		54		12.48715		40.01004		40		22.95506		98.46666		98.14802		54.43845		52.80152		53.11923		20.82388		35.33188		35.3		98.31886		48.51436		48.51		52.84849
18		3.787254		3.78675		40.0208		11.83097		11.30201		54.44524		23.01293		22.78126		78.93909		53.92956		54		11.30201		39.99525		40		22.88095		98.03642		97.88996		54.39532		52.96199		52.89474		94.59743		35.29288		35.3		97.75693		48.52277		48.51		52.93265
19		3.788618		3.78675		40.77511		11.73306		12.15348		54.74871		22.80259		22.92154		79.28193		54.00052		54		12.15348		40.01857		40		22.99781		97.95896		98.24724		54.4804		52.93092		52.86232		37.73529		35.30415		35.3		97.9205		48.50834		48.51		52.78826
20		3.784681		3.78675		38.8134		11.59559		12.48693		55.51294		22.97595		22.8405		79.02498		54.02831		54		12.48693		39.96591		40		22.73395		98.29009		97.83652		54.32172		53.05851		53.08639		19.60531		35.29439		35.3		97.78067		48.52921		48.51		52.99712
21		3.787213		3.78675		40.04511		11.93909		12.40971		55.55592		22.7636		23.00507		79.40884		54.02188		54		12.40971		39.98166		40		22.81285		97.72606		98.00421		54.41522		53.10989		52.72714		100		35.31064		35.3		98.01479		48.52031		48.51		52.90815
22		3.791991		3.78675		42.53446		11.83395		12.37433		55.319		22.87552		23.00633		79.37293		54.01894		54		12.37433		39.98532		40		22.83119		98.00675		98.12693		54.40604		53.25016		52.85165		83.66015		35.33748		35.3		98.40263		48.51251		48.51		52.83011
23		3.784525		3.78675		38.82433		11.95856		11.81309		55.19202		22.85087		22.92662		79.39162		53.97217		54		11.81309		40.01155		40		22.96265		98.1073		98.013		54.40449		53.10105		52.97577		11.32253		35.30947		35.3		98.0012		48.53307		48.51		53.03577
24		3.786307		3.78675		39.66355		12.02596		11.41231		55.05203		23.0201		22.97333		79.28592		53.93877		54		11.41231		40.0399		40		23.10466		97.77265		97.86227		54.39852		53.1232		52.93027		32.30236		35.30265		35.3		97.90198		48.50422		48.51		52.74725
25		3.788441		3.78675		40.79067		12.00712		12.25588		55.37907		22.95227		23.06065		79.44171		54.00907		54		12.25588		40.00954		40		22.95259		97.81752		98.0625		54.45952		53.17052		52.94314		44.29338		35.32292		35.3		98.19488		48.52436		48.51		52.94879
26		3.785148		3.78675		39.18484		12.01052		11.03541		54.86916		22.95503		22.93584		79.28868		53.90737		54		11.03541		39.98766		40		22.84297		98.07703		97.78035		54.37809		53.18677		52.72419		96.53233		35.29591		35.3		97.80632		48.50464		48.51		52.75159
27		3.788492		3.78675		40.828		11.79993		11.98421		55.43307		22.8517		23.03812		79.43994		53.98644		54		11.98421		40.01207		40		22.96527		97.82441		97.75144		54.40128		53.10177		52.94481		42.16122		35.28421		35.3		97.63753		48.50109		48.51		52.71614
28		3.788317		3.78675		40.80344		12.03555		12.61744		55.76523		22.97563		22.82476		79.1257		54.03921		54		12.61744		40.03429		40		23.07661		97.79304		98.1029		54.48944		52.80305		52.91493		0		35.31636		35.3		98.10153		48.51818		48.51		52.88697
29		3.786091		3.78675		39.68764		11.92543		11.43152		55.40079		22.997		23.0759		79.33175		53.94038		54		11.43152		39.99602		40		22.88486		98.06023		97.78783		54.41732		52.78819		52.92646		0		35.29804		35.3		97.83888		48.5401		48.51		53.10627
30		3.786067		3.78675		39.6486		12.14361		12.21861		55.91052		22.83553		23.1077		79.62394		54.00597		54		12.21861		39.9875		40		22.84219		97.67808		98.0372		54.53892		52.84561		52.7181		100		35.29855		35.3		97.84663		48.51505		48.51		52.85577
31		3.78827		3.78675		40.8042		12.17603		11.42759		55.46869		22.93577		23.1016		79.51054		53.94005		54		11.42759		40.05151		40		23.16289		97.82657		97.87669		54.50074		52.99798		53.05354		18.37648		35.3265		35.3		98.24962		48.50391		48.51		52.74437
32		3.784699		3.78675		39.01864		11.96357		12.54845		55.93751		23.01448		22.64958		78.95393		54.03346		54		12.54845		40.05241		40		23.16744		97.97486		97.72011		54.46222		53.04322		52.78447		79.65858		35.31288		35.3		98.05421		48.5327		48.51		53.03222
33		3.787296		3.78675		40.29553		12.35295		12.17598		55.66356		23.00275		22.732		78.98725		54.00242		54		12.17598		40.00852		40		22.94754		97.67861		98.028		54.58857		53.05404		52.8264		76.6915		35.32929		35.3		98.29138		48.50239		48.51		52.72911
34		3.790282		3.78675		41.84571		12.3266		11.39176		55.14348		22.8813		23.02761		79.4339		53.93707		54		11.39176		40.05158		40		23.1633		97.88819		97.9502		54.59945		53.11259		52.71982		100		35.3149		35.3		98.08514		48.50392		48.51		52.74448
35		3.788752		3.78675		41.08838		11.73542		12.16918		55.50711		23.0572		23.07752		79.39624		54.00186		54		12.16918		40.02426		40		23.02643		98.10765		97.90127		54.55799		53.01058		52.66992		95.292		35.30666		35.3		97.96714		48.50211		48.51		52.72635
36		3.78581		3.78675		39.62358		12.29372		12.2739		55.6124		22.9074		22.71986		79.07147		54.01058		54		12.2739		40.01223		40		22.96615		97.78682		97.86535		54.60436		52.71725		52.96278		4.801826		35.32731		35.3		98.26566		48.52288		48.51		52.93413
37		3.788919		3.78675		41.20063		12.04657		11.36761		55.42195		22.93945		23.08591		79.5031		53.93506		54		11.36761		40.06346		40		23.22285		98.04499		97.98204		54.60433		52.66888		52.84549		14.78718		35.30728		35.3		97.97764		48.50405		48.51		52.74577
38		3.786638		3.78675		40.07434		12.23026		12.97468		56.05668		23.16995		22.80022		78.94626		54.06898		54		12.97468		39.93524		40		22.58047		97.82797		97.97901		54.64787		52.78377		52.96828		14.63901		35.31619		35.3		98.10655		48.52332		48.51		52.93855
39		3.785343		3.78675		39.44773		12.15436		11.24586		55.12282		22.65787		22.92416		79.55022		53.92492		54		11.24586		40.01069		40		22.95849		97.99183		98.27758		54.70572		52.89867		52.9944		31.63341		35.30942		35.3		98.01028		48.51045		48.51		52.80991
40		3.785991		3.78675		39.7565		12.31845		12.00838		55.762		23.10746		23.10306		79.47285		53.98845		54		12.00838		40.04076		40		23.10915		97.76991		97.80391		54.6515		52.95758		52.71016		100		35.27209		35.3		97.47201		48.51853		48.51		52.89073
41		3.786765		3.78675		40.1574		12.24763		12.48433		56.04209		22.97712		22.89021		79.24537		54.02811		54		12.48433		40.0177		40		22.99364		97.71583		97.92121		54.69065		53.04188		52.95185		48.62982		35.28246		35.3		97.62105		48.49501		48.51		52.65563
42		3.787132		3.78675		40.37102		12.11254		11.23716		55.42461		22.9335		22.93027		79.36271		53.92418		54		11.23716		40.03343		40		23.07244		97.93201		98.02852		54.69169		52.90589		52.83823		40.17658		35.29825		35.3		97.84907		48.52165		48.51		52.92201
