Trend data for Model:	
Model time base:		1
Plot duration (secs):		1800

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.789196		3.78675		40.58943		11.39442		12.26566		54.41274		22.99194		23.05712		79.65018		54.02214		54		12.26566		40.02483		40		23.02692		98.63817		98.34004		54.90403		52.85288		52.68458		68.74854		35.31382		35.3		98.45972		48.50475		48.51		52.75175
1		3.787008		3.78675		39.54121		11.44632		12.18905		54.91837		22.99409		23.10278		79.75456		54.01289		54		12.18905		40.00316		40		23.08087		98.65748		98.46209		54.88057		52.93613		52.83654		63.01212		35.30439		35.3		98.32473		48.49336		48.51		52.63784
2		3.78906		3.78675		40.58515		11.90992		12.08828		55.1237		23.05818		22.944		79.51295		54.00073		54		12.08828		39.97682		40		23.14641		98.23975		98.50796		54.94723		52.87192		52.86513		55.20141		35.3143		35.3		98.46842		48.5047		48.51		52.75135
3		3.78995		3.78675		41.07444		11.77756		11.40773		54.83997		23.0915		23.12747		79.70199		53.91858		54		11.40773		39.99767		40		23.0945		98.41346		98.78269		55.00079		52.88243		52.76645		64.81274		35.31234		35.3		98.4417		48.52227		48.51		52.92701
4		3.789227		3.78675		40.76146		11.70213		12.45032		55.41737		23.09388		22.94617		79.51553		54.04451		54		12.45032		39.98394		40		23.1287		98.4095		98.51988		54.9855		52.94304		52.78086		68.85254		35.31166		35.3		98.43412		48.51691		48.51		52.8734
5		3.788596		3.78675		40.49819		12.02289		12.03483		55.18585		23.15012		23.05624		79.57872		53.99435		54		12.03483		39.97925		40		23.14041		98.32617		98.3752		55.00733		52.95703		53.00438		50.93171		35.31677		35.3		98.50969		48.52509		48.51		52.95528
6		3.78821		3.78675		40.32718		11.88603		12.21881		55.3664		23.05823		23.01945		79.58737		54.01658		54		12.21881		39.99174		40		23.10926		98.40427		98.35734		55.00762		53.01019		52.82347		71.31701		35.32485		35.3		98.62729		48.52174		48.51		52.92183
7		3.790065		3.78675		41.31025		11.97688		11.51717		55.04289		23.09151		23.03088		79.57184		53.93186		54		11.51717		40.00892		40		23.06648		98.23966		98.6003		55.12757		52.98459		52.8862		63.91009		35.32865		35.3		98.68383		48.50727		48.51		52.77721
8		3.787777		3.78675		40.23568		11.8975		10.911		54.77134		23.02728		23.01115		79.63756		53.85869		54		10.911		39.98114		40		23.13563		98.50601		98.67974		55.16023		52.99049		53.07682		48.21479		35.31938		35.3		98.55326		48.51306		48.51		52.83513
9		3.787052		3.78675		39.87663		11.8988		11.45123		54.91506		23.09971		23.08735		79.72228		53.92396		54		11.45123		39.96988		40		23.16373		98.45016		98.33899		55.10716		52.87591		52.88867		54.58338		35.31507		35.3		98.49231		48.521		48.51		52.91465
10		3.79029		3.78675		41.51659		11.89707		11.04445		54.57178		23.16525		23.17197		79.72979		53.87488		54		11.04445		40.01168		40		23.05965		98.37432		98.53539		55.16399		52.9237		52.79719		66.67264		35.29528		35.3		98.20815		48.49853		48.51		52.68994
11		3.787203		3.78675		40.04931		11.78157		11.23787		54.44752		23.0265		23.11151		79.85176		53.8983		54		11.23787		40.012		40		23.05891		98.49327		98.72142		55.19832		52.85527		52.80459		60.40803		35.31349		35.3		98.47248		48.50687		48.51		52.77339
12		3.783439		3.78675		38.14543		11.62291		12.48294		55.09058		23.15967		23.06247		79.6644		54.0487		54		12.48294		39.95946		40		23.18975		98.70328		98.32741		55.05334		52.80678		52.858		51.63353		35.30417		35.3		98.33901		48.50692		48.51		52.77385
13		3.788956		3.78675		40.93229		11.72868		11.85015		54.92711		23.14488		23.1232		79.75708		53.97231		54		11.85015		40.04313		40		22.98143		98.44753		98.36183		55.06479		52.81139		53.00189		39.53092		35.30891		35.3		98.40783		48.51261		48.51		52.83086
14		3.78476		3.78675		38.83644		11.70518		11.49538		54.82563		23.01338		23.00271		79.75591		53.92951		54		11.49538		39.97624		40		23.14803		98.63595		98.29688		54.9995		52.78031		52.83169		51.30674		35.2864		35.3		98.08424		48.51044		48.51		52.80918
15		3.790014		3.78675		41.41471		11.84477		12.1269		55.17751		23.23915		23.01446		79.51879		54.00579		54		12.1269		39.97568		40		23.14941		98.19966		98.23743		54.99721		52.91672		52.92037		55.53522		35.3123		35.3		98.45655		48.50382		48.51		52.74296
16		3.790056		3.78675		41.55233		12.01837		12.00631		55.19335		23.06999		23.16313		79.80749		53.99124		54		12.00631		39.99806		40		23.0937		98.27937		98.56153		55.09499		52.87698		52.89139		54.64907		35.33565		35.3		98.79485		48.52493		48.51		52.9541
17		3.783437		3.78675		38.25355		11.71884		12.14104		55.31372		23.12238		23.10335		79.66757		54.00753		54		12.14104		40.00252		40		23.08256		98.72066		98.37522		54.99344		52.96525		52.97393		55.0127		35.28569		35.3		98.0763		48.52521		48.51		52.95701
18		3.788813		3.78675		40.85913		11.97723		11.57029		54.88165		23.01748		23.22405		79.87772		53.93865		54		11.57029		39.9811		40		23.13592		98.10669		98.03979		54.97964		53.06631		52.94745		66.22428		35.29335		35.3		98.18533		48.50967		48.51		52.80167
19		3.789841		3.78675		41.48731		11.80977		11.56351		54.80736		23.05117		23.10415		79.77621		53.93787		54		11.56351		40.01747		40		23.04538		98.3718		98.97291		55.16201		52.9764		52.80841		70.89307		35.34195		35.3		98.88771		48.5248		48.51		52.95293
20		3.78317		3.78675		38.17322		11.70847		11.9587		54.97097		23.06164		23.07913		79.76318		53.98564		54		11.9587		39.98917		40		23.11589		98.74192		98.46097		55.03622		52.96588		52.96051		56.98293		35.30421		35.3		98.3465		48.52394		48.51		52.94444
21		3.785201		3.78675		39.09226		11.73509		12.09541		55.2678		23.16241		23.20195		79.88878		54.00216		54		12.09541		39.97957		40		23.13991		98.35763		98.14102		54.96607		52.97857		52.937		60.34836		35.28431		35.3		98.05874		48.50321		48.51		52.73718
22		3.789222		3.78675		41.17881		11.84502		12.07043		55.18886		23.1335		23.10725		79.8378		53.99918		54		12.07043		39.99972		40		23.08978		98.20189		98.54225		55.05105		52.9495		52.74284		74.91961		35.30976		35.3		98.42526		48.50939		48.51		52.7989
23		3.785314		3.78675		39.25914		11.78398		12.41007		55.48337		23.10423		23.137		79.8806		54.04021		54		12.41007		39.99771		40		23.09482		98.54606		98.20004		54.92277		52.80035		52.97414		42.31661		35.29518		35.3		98.21551		48.52557		48.51		52.96076
24		3.787968		3.78675		40.54107		11.96727		12.15656		55.38451		23.14238		23.05048		79.69186		54.00961		54		12.15656		40.02929		40		23.01613		98.13757		97.89955		54.8941		52.81663		52.61206		74.92604		35.29873		35.3		98.26555		48.49997		48.51		52.70468
25		3.789077		3.78675		41.17478		11.82873		12.0034		55.39332		23.08989		23.12862		79.76424		53.99114		54		12.0034		40.01278		40		23.05722		98.38416		98.2991		54.94609		52.81687		52.82399		56.82205		35.30425		35.3		98.34558		48.51563		48.51		52.86136
26		3.787376		3.78675		40.32074		11.91027		11.76241		55.29069		23.14422		23.21072		79.77887		53.96206		54		11.76241		39.98399		40		23.12891		98.31447		98.55904		55.01286		52.85109		52.78864		62.68806		35.29663		35.3		98.23655		48.52936		48.51		52.99866
27		3.787586		3.78675		40.44748		11.94931		12.01152		55.38806		23.11396		23.19851		79.79186		53.99215		54		12.01152		39.92726		40		23.27023		98.26256		98.33802		55.0064		53.00801		52.80466		74.91464		35.30125		35.3		98.30392		48.51987		48.51		52.90388
28		3.785727		3.78675		39.53319		11.88803		12.27858		55.33186		23.18656		23.03083		79.4959		54.02445		54		12.27858		39.9931		40		23.10624		98.31455		98.79384		55.11753		52.94697		52.89974		61.80683		35.30217		35.3		98.31855		48.50445		48.51		52.74966
29		3.787132		3.78675		40.2687		11.88432		11.29035		54.98908		23.02595		23.06688		79.68711		53.90512		54		11.29035		40.0207		40		23.03751		98.40042		98.34612		55.01843		52.91458		52.77263		70.3467		35.30916		35.3		98.41991		48.49659		48.51		52.67103
30		3.788222		3.78675		40.80878		12.01462		11.54776		55.02632		23.08469		23.1108		79.68533		53.93623		54		11.54776		39.99177		40		23.10954		98.28443		98.65993		55.10199		52.7832		52.81774		55.32885		35.30709		35.3		98.39068		48.50653		48.51		52.77037
31		3.789495		3.78675		41.48419		12.0155		11.38692		54.85823		23.08343		23.15587		79.78073		53.91683		54		11.38692		40.00156		40		23.0852		98.32249		98.28433		55.04516		52.69379		52.85176		44.35367		35.30433		35.3		98.35157		48.52504		48.51		52.95561
32		3.787015		3.78675		40.26038		11.69082		12.28976		55.17751		23.12611		23.05692		79.66567		54.02591		54		12.28976		39.98489		40		23.12673		98.55199		98.46587		55.04357		52.81994		52.74168		64.4772		35.3033		35.3		98.33775		48.50468		48.51		52.75201
33		3.786577		3.78675		40.05439		11.78079		12.10017		55.35437		23.08727		23.08612		79.74856		54.00302		54		12.10017		40.00038		40		23.08819		98.3837		98.40823		55.03845		52.83029		52.85136		56.01399		35.3031		35.3		98.33518		48.51892		48.51		52.89433
34		3.787283		3.78675		40.42961		11.89845		11.5362		55.25348		23.14027		23.00255		79.57591		53.93492		54		11.5362		40.00376		40		23.07977		98.35537		98.4555		55.04434		52.90706		52.93853		55.22326		35.30963		35.3		98.42982		48.52765		48.51		52.98171
35		3.788154		3.78675		40.86635		11.92169		11.82338		55.13385		23.10956		23.23525		79.87153		53.96965		54		11.82338		40.00057		40		23.08776		98.32435		98.32726		55.02186		53.0329		53.05066		56.61293		35.30507		35.3		98.36426		48.50622		48.51		52.7675
36		3.787485		3.78675		40.54938		11.89737		11.96871		55.24594		23.09891		23.21		79.90437		53.98721		54		11.96871		39.99617		40		23.09877		98.33043		98.40176		55.04909		52.9671		52.66668		84.51459		35.29602		35.3		98.23453		48.52322		48.51		52.93741
37		3.786287		3.78675		39.95778		11.83472		11.75702		55.24447		23.09967		23.06642		79.79775		53.96167		54		11.75702		39.96921		40		23.16596		98.41591		98.22624		54.98734		52.97008		52.63951		87.39971		35.32134		35.3		98.59967		48.52643		48.51		52.96958
38		3.78669		3.78675		40.13149		12.05089		11.19938		55.16527		23.16897		23.04593		79.6643		53.89431		54		11.19938		40.02622		40		23.024		98.33442		98.1685		54.98016		52.97571		52.80482		73.80821		35.30039		35.3		98.29774		48.50979		48.51		52.80315
39		3.786668		3.78675		40.14313		11.94219		11.68001		55.14943		23.03429		23.07195		79.81078		53.9524		54		11.68001		39.99737		40		23.09584		98.2844		98.4456		55.05414		52.85951		52.73492		70.07968		35.31523		35.3		98.51192		48.51799		48.51		52.88522
40		3.784419		3.78675		38.99378		11.86825		11.71562		55.14337		23.12567		23.07711		79.72913		53.95673		54		11.71562		39.95312		40		23.20606		98.48185		97.9964		54.91941		52.87424		52.81338		64.69211		35.29032		35.3		98.1527		48.51647		48.51		52.87004
41		3.787617		3.78675		40.56343		12.04932		11.74942		55.13088		23.15264		23.28513		79.91146		53.96082		54		11.74942		39.96906		40		23.16643		98.07241		98.03546		54.97074		52.85714		52.67294		75.49883		35.30062		35.3		98.30001		48.51608		48.51		52.86608
42		3.787202		3.78675		40.41012		11.83388		11.65753		54.86502		23.12707		23.0167		79.60506		53.94978		54		11.65753		40.0095		40		23.06571		98.4589		98.61668		55.04772		52.92033		52.82456		67.97813		35.32069		35.3		98.59041		48.51269		48.51		52.83221
