Trend data for Model:	
Model time base:		1
Plot duration (secs):		896

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.788591		3.78675		40.26914		11.98095		11.93585		54		23.03056		23.0245		79.52148		53.98228		54		11.93585		40.0258		40		23.0245		98.22828		98.40504		54.93191		52.80363		52.90595		62.65106		35.31006		35.3		98.40504		48.52017		48.51		52.90595
1		3.789582		3.78675		40.7992		11.25916		11.86884		54.33587		22.97169		23.00342		79.54918		53.96612		54		11.86884		39.99813		40		22.95564		98.66164		98.52721		54.93321		52.88318		52.79862		61.59305		35.30576		35.3		98.34363		48.52647		48.51		52.96903
2		3.785386		3.78675		38.76845		11.48563		11.73787		54.65022		22.99876		22.84656		79.27295		53.9345		54		11.73787		40.07125		40		23.13769		98.61625		98.36263		54.87494		52.99449		52.89661		62.86175		35.30183		35.3		98.28839		48.51693		48.51		52.87366
3		3.785892		3.78675		38.99557		11.71742		12.03987		55.03016		23.00224		23.08382		79.52566		54.00745		54		12.03987		40.01311		40		22.99296		98.40056		98.17132		54.82717		53.01978		52.73507		79.31835		35.2916		35.3		98.14092		48.49686		48.51		52.67295
4		3.79006		3.78675		41.11976		11.86045		11.95802		55.04906		22.90489		23.05141		79.56733		53.9877		54		11.95802		39.96821		40		22.88113		98.18068		98.42639		54.91673		52.96094		52.78369		70.48033		35.31036		35.3		98.4115		48.50442		48.51		52.7485
5		3.785651		3.78675		38.9653		11.87661		12.29288		55.33078		22.98693		23.09739		79.55069		54.06858		54		12.29288		39.98642		40		22.92648		98.44604		98.2108		54.84637		52.85436		52.84718		55.95567		35.30139		35.3		98.28312		48.51761		48.51		52.88045
6		3.784997		3.78675		38.59605		12.00941		11.97077		55.32755		22.96412		22.9455		79.45291		53.99077		54		11.97077		39.99704		40		22.95296		98.17844		98.2731		54.89682		52.87431		52.81992		59.95921		35.3		35.3		98.26329		48.52106		48.51		52.91507
7		3.788531		3.78675		40.39935		12.02693		11.71185		55.14372		22.98939		22.89668		79.31489		53.92824		54		11.71185		40.01214		40		22.9905		98.1863		98.24519		54.91935		52.91833		52.88762		58.091		35.30897		35.3		98.39334		48.51212		48.51		52.82561
8		3.785448		3.78675		38.87401		11.84086		11.79217		55.12551		22.92458		23.00286		79.47837		53.94767		54		11.79217		39.96143		40		22.86422		98.4253		98.24163		54.88297		52.90829		52.90783		55.75674		35.31611		35.3		98.49678		48.51597		48.51		52.86409
9		3.787075		3.78675		39.67547		11.8662		11.93445		55.29254		22.92721		22.83703		79.28755		53.98204		54		11.93445		39.97479		40		22.89746		98.34038		98.11702		54.83219		52.93736		52.81535		66.4004		35.30664		35.3		98.35947		48.50889		48.51		52.79338
10		3.789173		3.78675		40.77129		11.97014		11.53503		55.09346		22.9667		22.95087		79.36722		53.88558		54		11.53503		40.01012		40		22.98541		98.13468		98.73682		55.01876		52.9365		52.74023		73.10182		35.32201		35.3		98.58219		48.52064		48.51		52.91085
11		3.787607		3.78675		40.04119		11.91456		12.15608		55.2965		23.00926		23.03308		79.3823		54.0356		54		12.15608		40.01087		40		22.98729		98.51086		98.41566		54.91729		52.91899		52.90595		57.43642		35.3109		35.3		98.42294		48.53389		48.51		53.04339
12		3.789827		3.78675		41.15033		11.90597		12.03154		55.337		22.92151		22.92275		79.37224		54.00552		54		12.03154		39.99924		40		22.95834		98.16702		98.41278		54.98522		52.96016		52.98331		54.46729		35.30545		35.3		98.3451		48.497		48.51		52.67449
13		3.787497		3.78675		40.05339		11.91588		11.59667		55.01913		23.0109		23.00228		79.3656		53.90051		54		11.59667		39.97076		40		22.8874		98.25699		98.71274		55.07674		52.89045		52.83495		61.50676		35.34641		35.3		98.9373		48.52437		48.51		52.9482
14		3.784441		3.78675		38.53266		11.90163		11.93091		55.1443		22.87016		22.91577		79.43784		53.98126		54		11.93091		39.97554		40		22.8993		98.61002		98.27225		54.96236		52.91705		52.76584		69.73537		35.3029		35.3		98.31206		48.5081		48.51		52.78558
15		3.7903		3.78675		41.4366		11.87824		11.9314		55.13186		23.01594		22.88556		79.27066		53.98139		54		11.9314		40.00443		40		22.97123		98.19923		98.16809		54.97165		52.88887		52.85463		59.71534		35.29078		35.3		98.1367		48.51229		48.51		52.82749
16		3.789135		3.78675		40.94519		11.92071		11.56534		54.91102		22.98943		22.93367		79.33424		53.893		54		11.56534		39.99193		40		22.94011		98.27029		98.36499		55.02572		52.91532		52.88068		59.81503		35.32534		35.3		98.6358		48.52251		48.51		52.92971
17		3.784141		3.78675		38.44918		11.76141		12.04683		55.08172		22.96069		22.83118		79.19979		54.00933		54		12.04683		39.99474		40		22.94705		98.62722		98.04775		54.91508		52.87886		53.0235		44.22257		35.3088		35.3		98.39887		48.51796		48.51		52.88433
18		3.789131		3.78675		40.90521		11.77964		11.95848		55.09442		22.93797		22.92992		79.30962		53.98801		54		11.95848		39.98077		40		22.91222		98.30606		98.16929		54.94465		52.97148		52.82276		69.61106		35.29905		35.3		98.25788		48.51408		48.51		52.84554
19		3.789262		3.78675		41.03741		11.86734		12.22038		55.2546		22.96339		22.99868		79.38737		54.05128		54		12.22038		40.00201		40		22.96512		98.25998		98.33151		55.00536		52.96313		52.82357		69.05425		35.31984		35.3		98.55876		48.50635		48.51		52.76828
20		3.783335		3.78675		38.09309		11.87931		11.94504		55.31679		22.9689		22.90386		79.30202		53.98477		54		11.94504		40.01339		40		22.99348		98.52818		98.49143		55.02234		52.85746		52.69118		71.63605		35.30855		35.3		98.39789		48.51965		48.51		52.9013
21		3.787999		3.78675		40.38129		11.92097		11.97639		55.39644		22.89619		22.91117		79.38978		53.99234		54		11.97639		39.94956		40		22.83453		98.24864		97.99153		54.92787		52.84014		52.75706		64.44704		35.28543		35.3		98.06342		48.49968		48.51		52.70165
22		3.789294		3.78675		41.10665		11.99501		11.85749		55.33216		22.87038		22.96207		79.43615		53.96363		54		11.85749		39.97948		40		22.90898		98.1321		98.50563		55.05747		52.77884		52.87706		48.81883		35.3148		35.3		98.48683		48.5256		48.51		52.96092
23		3.784964		3.78675		38.97678		11.96737		11.68112		55.1718		22.95099		22.9455		79.42794		53.92104		54		11.68112		39.96411		40		22.87075		98.4761		98.57578		55.07568		52.86269		53.01711		43.78087		35.30589		35.3		98.3607		48.52664		48.51		52.97137
24		3.786396		3.78675		39.63185		11.83979		11.77732		55.23231		22.93737		23.05478		79.54532		53.94429		54		11.77732		39.97041		40		22.88642		98.35262		98.168		54.95484		52.91249		52.97968		51.28184		35.29343		35.3		98.17956		48.51445		48.51		52.84955
25		3.792242		3.78675		42.66085		11.81475		12.06914		55.28429		22.96964		23.02294		79.54047		54.01481		54		12.06914		39.99892		40		22.95746		98.2718		98.49157		55.0296		52.96783		52.91305		61.91469		35.30225		35.3		98.30692		48.49561		48.51		52.66118
26		3.785651		3.78675		39.3989		11.88611		11.84569		55.1562		23.01622		22.89624		79.32746		53.96086		54		11.84569		40.00724		40		22.97817		98.43258		98.41992		55.0151		52.84448		52.88144		54.17496		35.31381		35.3		98.47493		48.52553		48.51		52.9604
27		3.785148		3.78675		39.11387		11.82683		11.74762		55.14023		23.01366		22.94981		79.28629		53.93718		54		11.74762		39.99761		40		22.95412		98.38065		98.1864		54.97108		52.90269		52.92316		55.71391		35.29842		35.3		98.25349		48.50443		48.51		52.74937
28		3.78676		3.78675		39.92768		11.91517		11.86943		55.02307		22.97576		23.07524		79.45347		53.96664		54		11.86943		39.98057		40		22.91171		98.28784		98.58286		55.04591		52.80205		52.70474		65.94401		35.30767		35.3		98.38693		48.52159		48.51		52.92103
29		3.787998		3.78675		40.55856		11.80338		11.90694		55.10487		22.93976		23.13678		79.57537		53.97571		54		11.90694		40.03999		40		23.05968		98.4762		98.40283		54.96924		52.89106		52.69647		74.32919		35.29473		35.3		98.20048		48.51395		48.51		52.84462
30		3.785741		3.78675		39.42254		11.86921		12.15718		55.31027		23.02569		23.03976		79.40017		54.03616		54		12.15718		39.98506		40		22.92292		98.26987		98.23258		54.96795		52.92057		52.77031		70.71126		35.29938		35.3		98.26787		48.50436		48.51		52.74875
31		3.786696		3.78675		39.9052		11.94747		11.5725		54.95463		22.88275		23.07674		79.59929		53.89496		54		11.5725		39.99829		40		22.9559		98.3698		98.22233		54.9395		52.84028		52.73022		67.3594		35.28694		35.3		98.08853		48.51892		48.51		52.89438
32		3.78901		3.78675		41.06784		11.76344		11.98177		55.26143		22.98611		23.0258		79.42769		53.99382		54		11.98177		39.98599		40		22.92524		98.28315		98.1937		54.92346		52.87224		52.78792		65.18673		35.28906		35.3		98.11844		48.52252		48.51		52.93035
33		3.786552		3.78675		39.85612		11.93558		11.87214		55.23193		22.91703		22.96074		79.43094		53.96735		54		11.87214		40.00913		40		22.98289		98.25515		98.27249		54.95149		52.87931		52.80315		64.42225		35.28644		35.3		98.08099		48.48479		48.51		52.55307
34		3.78821		3.78675		40.66879		11.89954		12.14854		55.41358		23.08434		22.94117		79.25249		54.03411		54		12.14854		40.01834		40		23.00583		98.25327		98.3395		54.9436		52.86475		52.94842		50.74693		35.29103		35.3		98.14638		48.51545		48.51		52.85982
35		3.787469		3.78675		40.3364		11.95201		12.01003		55.37534		22.92208		22.98803		79.43015		54.00066		54		12.01003		40.01458		40		22.99645		98.18574		98.09427		54.90637		52.74363		52.7177		60.13258		35.31304		35.3		98.46323		48.51738		48.51		52.87906
36		3.786596		3.78675		39.89544		11.93713		12.09566		55.3558		23.06993		22.9351		79.18937		54.02136		54		12.09566		40.03394		40		23.04466		98.3468		98.511		54.97754		52.80545		52.67719		68.991		35.31286		35.3		98.46155		48.51053		48.51		52.81052
37		3.787484		3.78675		40.32647		11.89012		11.85812		55.20688		22.92414		22.97718		79.41624		53.96401		54		11.85812		40.02607		40		23.0251		98.29507		98.40979		54.96754		52.89016		52.76945		68.38221		35.31622		35.3		98.5101		48.52016		48.51		52.90689
38		3.78961		3.78675		41.46205		11.99106		11.75399		55.19498		22.95145		22.97765		79.42281		53.93886		54		11.75399		40.01933		40		23.00838		98.29479		98.45392		55.01039		52.91155		52.83517		64.53007		35.31451		35.3		98.48674		48.51485		48.51		52.85384
39		3.786544		3.78675		39.93929		11.90825		12.08692		55.32685		22.98343		22.97033		79.36898		54.01929		54		12.08692		39.96979		40		22.88502		98.36848		98.26266		54.99401		52.92122		52.70241		76.97839		35.30486		35.3		98.34909		48.50827		48.51		52.78799
40		3.784761		3.78675		39.02302		11.7695		11.53792		55.13716		22.89563		22.98859		79.50682		53.8867		54		11.53792		40.05715		40		23.10261		98.40831		98.10645		54.94256		52.88726		52.86071		60.61841		35.28698		35.3		98.09138		48.53251		48.51		53.03048
41		3.787959		3.78675		40.6175		11.91355		11.88043		55.15494		23.151		22.84684		79.09683		53.96946		54		11.88043		40.04644		40		23.07596		98.20252		98.58395		55.05766		52.93411		52.79622		70.25097		35.31782		35.3		98.53616		48.52401		48.51		52.94549
42		3.788405		3.78675		40.8611		11.84736		11.90756		55.20169		22.89951		22.90775		79.40113		53.97603		54		11.90756		40.02146		40		23.01381		98.4229		98.32219		54.98166		53.00959		53.00143		59.14361		35.3139		35.3		98.4803		48.50652		48.51		52.77061
