Trend data for Model:	
Model time base:		1
Plot duration (secs):		1783

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.788591		3.78675		40.26914		11.98095		11.93585		54		23.03056		23.0245		79.52148		53.98228		54		11.93585		40.0258		40		23.0245		98.22828		98.40504		54.93191		52.80363		52.90595		62.65106		35.31006		35.3		98.40504		48.52017		48.51		52.90595
1		3.789856		3.78675		40.92684		11.23481		12.33733		54.55598		22.98911		22.81779		79.19694		54.01574		54		12.33733		40.00346		40		22.91255		98.63432		98.43159		54.91354		52.92207		52.88853		49.10251		35.28047		35.3		97.97865		48.50765		48.51		52.78087
2		3.788828		3.78675		40.474		11.53894		11.34213		54.53628		22.90581		22.96385		79.40692		53.93281		54		11.34213		39.91105		40		22.44957		98.40317		98.47353		54.90496		52.92673		52.75228		78.31842		35.29965		35.3		98.25527		48.5215		48.51		52.91932
3		3.784614		3.78675		38.38978		11.54625		12.23656		55.05784		22.68397		22.88824		79.56103		54.00735		54		12.23656		39.98634		40		22.82675		98.65269		98.16471		54.77057		53.08785		52.73431		100		35.29928		35.3		98.25042		48.52348		48.51		52.93912
4		3.788195		3.78675		40.15247		11.77248		12.17126		55.42257		23.04116		22.50585		78.7684		54.00191		54		12.17126		40.00606		40		22.92553		98.1774		98.59879		54.9042		53.18446		52.58363		100		35.29763		35.3		98.22665		48.50864		48.51		52.79076
5		3.791298		3.78675		41.79743		11.81402		12.21935		55.3033		22.84132		23.01853		79.39601		54.00593		54		12.21935		40.01965		40		22.99363		98.27892		98.65237		54.94228		53.23027		52.7841		53.33736		35.31662		35.3		98.50175		48.52367		48.51		52.94099
6		3.785055		3.78675		38.72021		11.99944		12.39604		55.41317		22.94532		23.01028		79.29062		54.02065		54		12.39604		40.05445		40		23.16801		98.40333		98.32837		54.89067		53.35393		52.8573		53.2792		35.30274		35.3		98.30293		48.51535		48.51		52.85776
7		3.788562		3.78675		40.40763		11.79832		12.02677		55.17353		23.02312		22.86022		79.0608		53.98989		54		12.02677		40.00441		40		22.91729		98.18445		98.18322		54.88911		53.44743		53.00426		13.46922		35.29776		35.3		98.23086		48.50287		48.51		52.73301
8		3.788821		3.78675		40.64659		11.83529		11.34081		54.83974		22.84274		23.06356		79.49494		53.93273		54		11.34081		40.01513		40		22.97103		98.28537		98.94952		55.06243		53.42221		52.95042		31.15633		35.31395		35.3		98.46593		48.52118		48.51		52.91614
9		3.784745		3.78675		38.60987		11.76832		11.18268		54.62205		22.98717		22.76147		79.11425		53.91956		54		11.18268		39.91543		40		22.47153		98.54922		98.18812		54.87786		53.51951		52.85548		63.80017		35.3077		35.3		98.37686		48.49812		48.51		52.68559
10		3.789303		3.78675		40.86206		11.89049		11.60079		54.73466		22.6846		22.75616		79.30999		53.95441		54		11.60079		40.02437		40		23.0173		98.17949		98.2759		54.94723		53.40827		52.8724		51.09387		35.30552		35.3		98.34552		48.49867		48.51		52.6911
11		3.786604		3.78675		39.59566		11.68819		11.9314		54.73764		23.13264		22.74391		78.88848		53.98197		54		11.9314		40.00468		40		22.91864		98.53975		98.62428		54.98636		53.15985		52.94875		4.319871		35.31418		35.3		98.47204		48.513		48.51		52.83435
12		3.784599		3.78675		38.55253		11.85323		11.3221		54.65627		22.77995		22.75436		79.18404		53.9312		54		11.3221		39.97519		40		22.77089		98.41021		98.00412		54.87329		53.19381		52.69444		68.14305		35.28812		35.3		98.09698		48.51515		48.51		52.85588
13		3.791961		3.78675		42.24898		11.81496		12.08247		55.28536		22.88384		23.09429		79.60729		53.99456		54		12.08247		40.01875		40		22.98919		98.23606		98.27022		54.91345		53.23558		52.85439		51.93493		35.28563		35.3		98.06012		48.5112		48.51		52.8164
14		3.787638		3.78675		40.1682		11.86869		11.81253		55.09673		23.07969		23.18973		79.50166		53.97207		54		11.81253		40.00096		40		22.90003		98.29749		98.65087		55.00696		53.32089		52.74495		86.27566		35.30449		35.3		98.33318		48.51592		48.51		52.86356
15		3.78601		3.78675		39.33912		11.77671		11.10787		54.74185		22.85559		22.77747		79.24191		53.91336		54		11.10787		40.0175		40		22.98292		98.43512		98.26051		54.89199		53.37341		52.95645		63.15385		35.31444		35.3		98.47678		48.52636		48.51		52.96809
16		3.787662		3.78675		40.20112		11.97436		11.92002		54.79082		22.95773		23.05828		79.47316		53.98105		54		11.92002		40.01321		40		22.96143		98.20243		98.60244		55.02912		53.34734		52.85205		42.53648		35.31376		35.3		98.46829		48.5122		48.51		52.82645
17		3.786707		3.78675		39.75587		11.70335		11.25809		54.72754		22.94561		23.00967		79.43086		53.92589		54		11.25809		40.0393		40		23.09219		98.5448		98.26307		54.91899		53.40438		52.81772		70.53324		35.3245		35.3		98.62393		48.52232		48.51		52.9277
18		3.786302		3.78675		39.56135		11.55109		11.60174		54.68217		23.00776		23.12323		79.51036		53.95454		54		11.60174		40.0409		40		23.1002		98.61996		98.37931		54.91123		53.46737		53.01585		54.56505		35.30774		35.3		98.38367		48.52795		48.51		52.98411
19		3.787197		3.78675		40.00752		11.64846		11.50893		54.65805		23.01443		23.00201		79.41137		53.94681		54		11.50893		39.9738		40		22.76403		98.40324		98.43645		54.91304		53.49316		53.00129		27.50027		35.30729		35.3		98.37714		48.50649		48.51		52.76952
20		3.788896		3.78675		40.89621		11.72948		11.13086		54.38767		22.87777		22.96327		79.44782		53.91532		54		11.13086		40.02715		40		23.03133		98.38769		98.13895		54.83989		53.44884		52.73225		85.02015		35.30549		35.3		98.3514		48.51333		48.51		52.83787
21		3.785906		3.78675		39.38661		11.85302		11.96866		54.96289		23.06152		22.95552		79.28057		53.98513		54		11.96866		40.00057		40		22.89818		98.34381		98.48817		54.90538		53.32328		52.8178		53.04906		35.29931		35.3		98.26279		48.51179		48.51		52.82255
22		3.789807		3.78675		41.34415		11.7745		11.18617		54.51514		22.95075		23.12965		79.61169		53.91993		54		11.18617		40.03304		40		23.06089		98.27509		97.95681		54.79144		53.32619		52.85967		54.06656		35.29766		35.3		98.23826		48.50763		48.51		52.78098
23		3.787393		3.78675		40.20314		11.67649		11.68771		54.88139		23.11481		23.21031		79.61072		53.96173		54		11.68771		40.00691		40		22.93004		98.39807		98.46333		54.88895		53.30298		52.898		50.96214		35.32717		35.3		98.66495		48.50528		48.51		52.75751
24		3.783363		3.78675		38.16843		11.61598		11.90146		54.78378		22.91709		23.01186		79.55311		53.97956		54		11.90146		40.02002		40		22.99571		98.60638		98.37646		54.83627		53.20121		52.97178		22.77548		35.31688		35.3		98.5181		48.51809		48.51		52.88569
25		3.788046		3.78675		40.49932		11.61277		11.47234		54.73055		23.05076		23.00988		79.52383		53.9438		54		11.47234		40.08639		40		23.32827		98.44307		98.17775		54.81317		53.20196		52.763		71.40014		35.30254		35.3		98.31218		48.50232		48.51		52.72796
26		3.788567		3.78675		40.80747		11.63713		11.0951		54.57811		23.22413		22.87894		79.18238		53.91238		54		11.0951		39.95693		40		22.6797		98.38497		98.15554		54.7873		53.22316		52.80342		76.43082		35.31762		35.3		98.52934		48.5045		48.51		52.74981
27		3.785193		3.78675		39.09179		11.76888		11.1824		54.36664		22.68703		22.87615		79.7395		53.91966		54		11.1824		40.05776		40		23.18487		98.45673		98.34481		54.78117		53.06328		52.91229		29.12917		35.29734		35.3		98.23695		48.49552		48.51		52.65996
28		3.788764		3.78675		40.85662		11.74165		11.03085		54.49972		23.32614		23.21802		79.59356		53.90704		54		11.03085		39.98816		40		22.83622		98.23581		98.11177		54.74571		52.89463		52.69395		42.9324		35.31605		35.3		98.50603		48.52178		48.51		52.92258
29		3.786999		3.78675		40.01827		11.69097		10.81339		54.34503		22.84042		22.96057		79.7315		53.88892		54		10.81339		39.96799		40		22.73521		98.43231		98.42765		54.78999		52.93399		52.84992		21.86063		35.2904		35.3		98.13723		48.48859		48.51		52.59067
30		3.78691		3.78675		39.966		11.59189		11.74287		54.73654		22.96975		23.17702		79.87923		53.96639		54		11.74287		40.05858		40		23.1891		98.37089		98.20538		54.71228		52.91145		52.80083		32.12724		35.29522		35.3		98.20577		48.51757		48.51		52.88039
31		3.787484		3.78675		40.26546		11.61299		11.69682		54.87807		23.18588		22.9526		79.44636		53.96256		54		11.69682		40.01638		40		22.9777		98.37437		98.144		54.67201		52.99087		52.72592		67.00167		35.29093		35.3		98.14352		48.51371		48.51		52.84179
32		3.787487		3.78675		40.27917		11.74798		11.42908		54.95311		22.94289		22.93431		79.5375		53.94025		54		11.42908		40.04385		40		23.11533		98.1183		98.17269		54.69964		53.13574		52.85608		74.12614		35.29929		35.3		98.26327		48.5098		48.51		52.80273
33		3.788313		3.78675		40.76456		11.88719		11.13568		54.78078		23.08047		23.06155		79.47833		53.91581		54		11.13568		40.03665		40		23.07926		98.17319		98.45768		54.79142		53.05225		52.85058		50.24277		35.31189		35.3		98.44606		48.50702		48.51		52.77489
34		3.785858		3.78675		39.522		11.83532		11.87251		54.87318		22.9923		22.71729		79.19775		53.97722		54		11.87251		40.06308		40		23.21171		98.26971		98.33233		54.78621		53.07293		52.94756		36.36402		35.2961		35.3		98.21915		48.50671		48.51		52.77182
35		3.790966		3.78675		42.1144		11.79685		11.4513		54.30476		23.11833		22.86718		79.26853		53.94213		54		11.4513		40.00194		40		22.90541		98.23267		98.41082		54.82203		53.02171		52.61642		98.20237		35.30143		35.3		98.2963		48.50701		48.51		52.77476
36		3.786204		3.78675		39.75356		11.38562		12.18471		54.77264		22.90919		22.94158		79.47636		54.00325		54		12.18471		40.05925		40		23.19256		98.633		98.2418		54.69923		52.95201		52.68473		74.67454		35.30965		35.3		98.4147		48.51987		48.51		52.90335
37		3.788483		3.78675		40.85972		11.7786		11.6132		54.95173		23.14232		23.06386		79.41553		53.95563		54		11.6132		40.0436		40		23.11421		98.27419		98.13815		54.68595		52.98287		52.75487		62.94022		35.2888		35.3		98.11363		48.49979		48.51		52.7025
38		3.78561		3.78675		39.43597		12.07815		11.26977		54.85774		22.99917		23.08497		79.6415		53.92701		54		11.26977		40.04208		40		23.10664		98.03573		98.46995		54.81855		52.96466		52.80809		52.9616		35.29445		35.3		98.19522		48.51878		48.51		52.89246
39		3.787502		3.78675		40.34426		11.8994		11.63974		54.56202		23.05156		22.73195		79.16478		53.95785		54		11.63974		40.00305		40		22.91111		98.20698		98.25544		54.76589		52.95333		52.81683		50.24447		35.29315		35.3		98.17585		48.50076		48.51		52.71228
40		3.787548		3.78675		40.37651		11.63638		11.10631		54.35631		22.86184		22.95848		79.60846		53.91341		54		11.10631		40.0368		40		23.08019		98.30307		98.19445		54.73906		52.84255		52.7898		25.06409		35.28698		35.3		98.08665		48.51672		48.51		52.87183
41		3.785722		3.78675		39.45302		11.75338		11.41113		54.60144		23.08866		23.22782		79.69013		53.93882		54		11.41113		40.00855		40		22.93871		98.31021		98.28943		54.7351		52.90543		52.85008		26.31714		35.30347		35.3		98.32418		48.50509		48.51		52.75553
42		3.787668		3.78675		40.42005		11.65758		12.26593		55.29933		22.94662		23.01914		79.71237		54.01005		54		12.26593		40.02576		40		23.02495		98.34698		98.23041		54.68669		52.98658		53.04687		6.695074		35.31731		35.3		98.5229		48.49015		48.51		52.60605
