Trend data for Model:	
Model time base:		1
Plot duration (secs):		1779

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.788591		3.78675		40.26914		11.98095		11.93585		54		23.03056		23.0245		79.52148		53.98228		54		11.93585		40.0258		40		23.0245		98.22828		98.40504		54.93191		52.80363		52.90595		62.65106		35.31006		35.3		98.40504		48.52017		48.51		52.90595
1		3.78875		3.78675		40.37322		11.4026		11.77131		54.42374		23.01422		22.87265		79.24486		53.96857		54		11.77131		40.03108		40		23.05096		98.57007		98.60216		54.99453		52.91055		52.60511		100		35.31508		35.3		98.47877		48.50725		48.51		52.77682
2		3.787351		3.78675		39.75298		11.61355		12.9533		55.17889		22.98984		22.90637		79.29668		54.06709		54		12.9533		40.00293		40		22.90993		98.58237		98.25457		54.93115		52.97675		52.76426		80.10247		35.31744		35.3		98.51509		48.50647		48.51		52.76896
3		3.7877		3.78675		39.9174		11.66832		11.8394		54.94659		22.94702		22.84659		79.13185		53.97429		54		11.8394		39.9846		40		22.81809		98.54515		98.45811		54.93132		52.89521		53.05773		6.510617		35.30452		35.3		98.32918		48.49967		48.51		52.70101
4		3.788821		3.78675		40.5274		11.85067		12.75601		55.43977		22.80885		22.86635		79.34281		54.05069		54		12.75601		39.99375		40		22.8639		98.27507		98.37935		54.94749		52.72596		52.80519		22.98354		35.32729		35.3		98.65799		48.52574		48.51		52.96176
5		3.787219		3.78675		39.78127		11.96639		11.98955		55.4337		23.00025		22.93553		79.23056		53.98681		54		11.98955		39.98412		40		22.81567		98.33535		98.23321		54.94954		52.72818		52.92877		0		35.30805		35.3		98.38213		48.53293		48.51		53.03376
6		3.78473		3.78675		38.51148		11.96648		11.76366		55.33748		22.86477		22.74206		79.02932		53.968		54		11.76366		39.97668		40		22.77839		98.24463		98.35507		54.9968		52.90581		52.78519		80.29342		35.29223		35.3		98.15489		48.50687		48.51		52.77311
7		3.786111		3.78675		39.2163		12.1071		10.58872		54.5598		22.81077		23.07899		79.51947		53.87013		54		10.58872		40.03398		40		23.06549		98.17228		98.05804		54.93464		52.977		52.86037		76.70982		35.31661		35.3		98.50535		48.50664		48.51		52.77089
8		3.787135		3.78675		39.72451		11.73169		12.13155		55.2354		23.05076		22.92417		79.20968		53.99872		54		12.13155		40.01342		40		22.96245		98.46346		97.89758		54.84551		52.90888		52.94495		0		35.31067		35.3		98.41963		48.49775		48.51		52.682
9		3.789922		3.78675		41.18255		11.78988		12.27597		55.45752		22.87781		22.75816		79.09608		54.01076		54		12.27597		39.99087		40		22.84949		98.29134		98.75539		55.05737		52.7948		52.87745		24.27036		35.31747		35.3		98.51932		48.52397		48.51		52.94425
10		3.785647		3.78675		39.10132		11.81934		11.91548		55.1886		22.89552		22.8818		79.16267		53.98076		54		11.91548		39.9887		40		22.83861		98.51524		98.33657		54.95944		52.87078		52.83595		46.55884		35.30256		35.3		98.30575		48.50328		48.51		52.73737
11		3.787889		3.78675		40.21254		11.99331		11.66147		55.10788		22.90021		22.91597		79.16843		53.95961		54		11.66147		39.99655		40		22.87791		98.21459		98.26764		54.98765		52.8653		52.82644		49.93694		35.2949		35.3		98.19548		48.52251		48.51		52.92965
12		3.787917		3.78675		40.25195		11.64283		11.34822		54.98415		22.86025		22.92674		79.32075		53.93355		54		11.34822		40.0124		40		22.95733		98.51076		98.71319		55.03328		52.93478		52.84982		58.69098		35.31216		35.3		98.44533		48.519		48.51		52.89461
13		3.787493		3.78675		40.04989		11.87779		11.72632		55.40813		22.93947		22.90084		79.2808		53.96506		54		11.72632		39.98918		40		22.84103		98.42556		98.41834		54.9854		53.00884		52.7995		85.68494		35.30094		35.3		98.28473		48.50836		48.51		52.78828
14		3.789469		3.78675		41.05952		12.1833		11.80217		55.45884		22.8543		22.88996		79.30454		53.97138		54		11.80217		40.00739		40		22.93224		98.12104		98.4188		55.0522		52.91373		52.73301		59.16047		35.30611		35.3		98.35957		48.5169		48.51		52.87364
15		3.787446		3.78675		40.10535		11.85804		12.0013		55.50248		22.94152		22.79837		79.03103		53.988		54		12.0013		39.98252		40		22.80761		98.40279		98.33799		55.01448		52.94805		52.874		46.90309		35.30423		35.3		98.33297		48.51163		48.51		52.82102
16		3.787664		3.78675		40.24934		11.90127		12.39824		55.48276		22.72817		22.86313		79.35612		54.02111		54		12.39824		40.02831		40		23.03707		98.36609		98.51799		55.07357		53.00096		52.96744		40.77333		35.30771		35.3		98.38451		48.51166		48.51		52.82137
17		3.787217		3.78675		40.028		11.92747		12.37225		55.86275		23.02369		22.99455		79.28618		54.01893		54		12.37225		39.99734		40		22.88192		98.37261		98.19414		55.02653		52.98478		52.88678		54.57033		35.30422		35.3		98.33506		48.50611		48.51		52.766
18		3.787782		3.78675		40.3109		12.07442		12.02767		55.39025		22.84326		22.89706		79.26212		53.99025		54		12.02767		39.99931		40		22.89177		98.20023		98.30063		55.08582		52.92878		52.76838		68.09226		35.31094		35.3		98.4325		48.52908		48.51		52.99563
19		3.787152		3.78675		40.03671		11.94635		11.4703		54.91043		22.90192		22.85575		79.218		53.94385		54		11.4703		40.02683		40		23.02967		98.4547		98.36166		55.07745		52.98506		52.8415		65.39927		35.31376		35.3		98.47423		48.52479		48.51		52.95283
20		3.786708		3.78675		39.8212		11.87139		12.39435		55.03898		22.96262		22.70531		78.91536		54.02089		54		12.39435		40.02222		40		23.00654		98.531		98.38991		55.07539		53.09365		52.94475		68.76529		35.29622		35.3		98.22245		48.51352		48.51		52.84014
21		3.789355		3.78675		41.13528		11.68349		12.35693		54.98504		22.85561		22.90369		79.1463		54.01781		54		12.35693		40.00053		40		22.89788		98.37649		98.34619		55.07747		53.00774		52.95847		46.15085		35.31371		35.3		98.47513		48.51737		48.51		52.87864
22		3.787485		3.78675		40.29204		11.71011		11.58274		54.61951		22.8735		22.78044		79.02677		53.95334		54		11.58274		40.03985		40		23.0949		98.52607		98.69662		55.13888		53.02163		52.91881		59.83292		35.33543		35.3		98.79013		48.51042		48.51		52.80916
23		3.783098		3.78675		38.05783		11.33135		12.30747		55.20557		22.98956		22.99823		79.17322		54.01376		54		12.30747		40.02935		40		23.04231		98.97088		98.03198		54.8796		52.94858		52.67483		97.67398		35.29142		35.3		98.15667		48.52223		48.51		52.92726
24		3.789954		3.78675		41.45091		11.69031		12.464		55.55952		22.86642		22.98373		79.25662		54.02682		54		12.464		40.04746		40		23.13303		98.17668		98.48351		55.01991		52.98375		52.9356		53.16266		35.29647		35.3		98.22879		48.51211		48.51		52.82613
25		3.789874		3.78675		41.5186		12.07446		12.20911		55.37631		22.99702		22.88163		79.05018		54.0056		54		12.20911		40.00552		40		22.92291		98.25913		98.37276		55.03894		52.91257		52.93812		40.87632		35.33077		35.3		98.72506		48.52563		48.51		52.9613
26		3.784615		3.78675		38.87572		11.87457		12.33004		55.22742		22.85097		22.77241		78.96412		54.01572		54		12.33004		40.03249		40		23.05804		98.57692		98.249		54.96752		52.949		52.82301		70.25576		35.29106		35.3		98.15355		48.53193		48.51		53.0244
27		3.78989		3.78675		41.48996		12.0063		12.30096		55.07717		22.94193		22.99074		79.08831		54.01332		54		12.30096		39.9898		40		22.84411		98.15973		98.30816		55.03441		53.06358		52.72721		100		35.2848		35.3		98.06311		48.51505		48.51		52.85564
28		3.78651		3.78675		39.88393		11.80206		12.20372		55.12915		22.71554		23.02757		79.40347		54.00524		54		12.20372		40.07343		40		23.26314		98.41747		98.53584		55.04445		53.10963		52.96721		58.54701		35.31415		35.3		98.48673		48.527		48.51		52.97522
29		3.783525		3.78675		38.35543		11.59672		11.63598		54.97689		23.09682		22.73785		78.65358		53.95797		54		11.63598		39.97821		40		22.78604		98.66861		98.15091		54.87519		53.07036		52.9121		58.38116		35.28208		35.3		98.02432		48.51812		48.51		52.88652
30		3.78948		3.78675		41.34087		12.05397		11.98894		55.26189		22.66111		22.8702		79.21264		53.98738		54		11.98894		40.04042		40		23.09772		98.0341		98.21712		54.94789		53.14731		52.77161		90.01199		35.31755		35.3		98.53459		48.51122		48.51		52.8175
31		3.787261		3.78675		40.28783		11.99962		11.63893		55.20302		23.09743		22.80457		78.81002		53.95822		54		11.63893		39.99081		40		22.84918		98.35286		98.62131		55.0289		53.08686		52.71148		95.28701		35.30885		35.3		98.41068		48.49963		48.51		52.70163
32		3.786804		3.78675		40.02995		11.85438		11.41376		55.0513		22.65848		22.91514		79.29556		53.93949		54		11.41376		40.02378		40		23.01434		98.38573		98.1228		54.913		52.93424		52.83266		44.47308		35.29444		35.3		98.20283		48.52629		48.51		52.96817
33		3.788062		3.78675		40.6756		11.9197		11.72476		55.02502		23.03568		22.9279		79.10642		53.96544		54		11.72476		39.95432		40		22.66638		98.22369		98.4395		55.00747		52.7868		52.79632		31.41073		35.31294		35.3		98.47006		48.50728		48.51		52.77813
34		3.787803		3.78675		40.58192		11.7526		12.32668		55.4949		22.687		22.81861		79.35759		54.01561		54		12.32668		40.02098		40		23.00035		98.55494		98.53289		54.97643		52.82085		52.92219		11.93639		35.28925		35.3		98.12943		48.53044		48.51		53.00977
35		3.7878		3.78675		40.57107		12.0724		11.92975		55.53359		23.05069		22.9809		79.28562		53.98252		54		11.92975		40.05221		40		23.15683		98.14648		98.1785		54.98315		52.94628		52.88516		55.70676		35.30469		35.3		98.35246		48.51408		48.51		52.84616
36		3.78858		3.78675		40.99053		12.07127		11.48037		55.3269		22.98245		22.57608		78.80594		53.94509		54		11.48037		40.01432		40		22.96698		98.21331		98.34914		55.04059		53.10055		52.84263		90.01457		35.30853		35.3		98.40847		48.51139		48.51		52.81922
37		3.787979		3.78675		40.71157		11.81714		12.67799		55.92578		22.85824		23.20473		79.55937		54.04489		54		12.67799		40.08333		40		23.31275		98.33322		98.54173		55.06711		52.96987		52.94991		45.25908		35.33536		35.3		98.79562		48.52398		48.51		52.94526
38		3.788753		3.78675		41.12646		12.0255		11.98595		55.55778		23.11086		22.89586		78.95944		53.98725		54		11.98595		39.99649		40		22.8777		98.36434		98.37085		55.03756		52.93708		53.05101		18.81206		35.31374		35.3		98.48496		48.49228		48.51		52.62825
39		3.787759		3.78675		40.63486		12.08068		10.83424		54.87874		22.69946		23.00707		79.5103		53.8913		54		10.83424		40.04182		40		23.10481		98.1795		98.20023		55.03005		52.82487		52.86411		35.40887		35.29825		35.3		98.26145		48.51835		48.51		52.88904
40		3.785246		3.78675		39.40834		11.8049		12.20045		55.13064		23.1189		23.00237		79.21708		54.0052		54		12.20045		39.99314		40		22.86095		98.44765		98.70271		55.09651		52.71165		52.83614		18.23513		35.31379		35.3		98.4864		48.50938		48.51		52.79925
41		3.78915		3.78675		41.346		11.72533		12.47426		55.37894		22.83977		23.04229		79.59396		54.02804		54		12.47426		39.99774		40		22.88402		98.52899		98.24157		54.96023		52.75636		52.82726		37.9582		35.30417		35.3		98.3477		48.52681		48.51		52.97373
42		3.785906		3.78675		39.75308		11.8233		11.26275		54.84231		23.00099		22.64201		79.02223		53.92712		54		11.26275		40.00895		40		22.94018		98.36194		98.77229		55.10224		52.82421		52.94646		27.15281		35.31799		35.3		98.54815		48.50125		48.51		52.7181
