Trend data for Model:	
Model time base:		1
Plot duration (secs):		5384

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.785193		3.78675		38.11252		14.37129		14.20725		54		20.12951		20.18185		73.45314		54.14178		54		14.20725		40.13016		40		20.18185		90.64257		90.40253		48.138		57.20578		56.79882		100		36.05567		36		90.40253		48.00153		48		56.79882
1		3.786958		3.78675		38.95769		14.38586		13.64907		59.28298		20.38241		20.06458		72.82672		54.09509		54		13.64907		40.09627		40		20.01212		90.40874		90.54157		48.19604		57.16142		56.97331		62.3857		36.07782		36		90.53959		48.00061		48		56.7875
2		3.788075		3.78675		39.56715		14.31234		13.32766		59.32324		20.0406		20.42041		73.33086		54.06814		54		13.32766		40.09584		40		20.01008		90.63858		90.51617		48.15632		57.00151		56.85798		42.23466		36.06347		36		90.45775		48.02696		48		57.11701
3		3.78518		3.78675		38.06526		14.41052		15.28096		59.86192		20.19553		19.90056		72.59611		54.23077		54		15.28096		40.03726		40		19.71667		90.38346		90.55641		48.20443		56.85818		56.78613		57.18866		36.08253		36		90.5768		47.99751		48		56.74901
4		3.788001		3.78675		39.48552		14.52898		13.20786		59.00469		19.90444		19.96159		72.7719		54.05786		54		13.20786		40.12011		40		20.13183		90.4653		90.51782		48.20041		56.76885		56.80475		36.39892		36.07721		36		90.54927		48.03452		48		57.21181
5		3.788474		3.78675		39.73782		13.97686		13.64396		58.87444		20.17918		19.96455		72.47348		54.0941		54		13.64396		40.11095		40		20.08602		90.73798		90.47391		48.13151		56.85978		56.85223		78.61324		36.07769		36		90.55623		48.00925		48		56.89602
6		3.785912		3.78675		38.47077		14.18309		12.99327		58.55093		19.97198		20.04878		72.60858		54.03975		54		12.99327		40.09783		40		20.0204		90.58915		90.61252		48.17428		56.88226		56.86731		79.4397		36.08458		36		90.60316		48.00834		48		56.88466
7		3.785272		3.78675		38.10839		14.12596		14.49605		59.05831		19.97595		19.78632		72.24862		54.16484		54		14.49605		40.13472		40		20.20531		90.73118		90.52125		48.11409		56.82564		56.94165		54.00724		36.08208		36		90.59284		48.01808		48		57.00658
8		3.7863		3.78675		38.63903		13.95577		13.52298		58.78069		20.04385		19.62226		71.85451		54.08362		54		13.52298		40.10207		40		20.04177		90.6832		90.52489		48.10586		56.85215		56.98839		48.26572		36.09847		36		90.69609		48.01555		48		56.97517
9		3.787822		3.78675		39.41178		14.29157		13.7968		58.80767		19.84305		19.77755		72.14791		54.10631		54		13.7968		40.06639		40		19.8631		90.62473		90.577		48.11498		56.88856		56.95861		59.88161		36.09057		36		90.65367		47.99369		48		56.702
10		3.786143		3.78675		38.56011		14.16809		14.33107		58.83959		19.84796		19.7164		71.98031		54.1507		54		14.33107		40.07571		40		19.90983		90.56717		90.60823		48.12517		56.78133		57.01053		21.66936		36.07251		36		90.54956		48.01305		48		56.94426
11		3.785533		3.78675		38.22838		13.95067		14.13251		58.65577		19.82347		19.83282		72.12209		54.13405		54		14.13251		40.01601		40		19.6108		90.71684		90.58887		48.07136		56.64161		56.77404		52.73274		36.08305		36		90.61711		48.00301		48		56.81878
12		3.788469		3.78675		39.72459		13.9979		13.90232		58.67468		19.63945		19.97917		72.45122		54.11474		54		13.90232		40.08016		40		19.93227		90.66142		90.55642		48.04722		56.68709		57.08589		19.26143		36.07651		36		90.58197		48.01892		48		57.01805
13		3.787678		3.78675		39.31334		13.81798		13.45275		58.15341		19.99804		19.83722		71.97534		54.0772		54		13.45275		40.00065		40		19.53392		90.74828		90.59009		48.01785		56.72807		56.94536		50.72057		36.059		36		90.48127		48.00508		48		56.84514
14		3.789082		3.78675		40.04314		14.00072		14.50874		58.44179		19.57926		19.92051		72.45103		54.16508		54		14.50874		40.05542		40		19.80839		90.43783		90.60384		48.07465		56.67192		57.09439		5.769675		36.08449		36		90.63955		48.0187		48		57.01553
15		3.786738		3.78675		38.89798		13.75053		13.92638		58.29247		19.92017		20.03624		72.42907		54.11644		54		13.92638		40.03934		40		19.72789		90.81183		90.64823		48.02439		56.7017		56.90477		76.80779		36.07677		36		90.59863		48.01628		48		56.98561
16		3.786407		3.78675		38.71035		13.81811		13.46685		58.00983		19.75823		19.49538		71.8744		54.07806		54		13.46685		40.02408		40		19.65148		90.67662		90.58028		48.00222		56.7042		56.96573		59.35791		36.06684		36		90.54352		48.01601		48		56.9825
17		3.78872		3.78675		39.8745		13.83812		14.17216		58.74701		19.75333		19.58873		71.85741		54.13668		54		14.17216		40.04336		40		19.74813		90.59158		90.56853		48.00694		56.63607		57.10531		10.85452		36.09103		36		90.69345		48.03485		48		57.21829
18		3.788174		3.78675		39.66279		13.97312		13.87053		58.51175		19.74823		19.52659		71.63197		54.11144		54		13.87053		40.01636		40		19.61283		90.68867		90.72954		48.0315		56.68587		56.99499		38.34757		36.08555		36		90.66604		48.01875		48		57.0173
19		3.7849		3.78675		38.02039		13.95014		13.01127		58.00185		19.60133		19.64202		71.82102		54.03974		54		13.01127		40.03455		40		19.70401		90.66428		90.72652		48.03732		56.84344		57.06651		50.52046		36.09462		36		90.72599		48.0115		48		56.92689
20		3.788433		3.78675		39.78768		13.62663		13.45434		57.94304		19.75168		19.71655		71.74287		54.07658		54		13.45434		40.01728		40		19.61752		90.83961		90.52248		47.94656		56.7989		57.26112		0		36.0733		36		90.6023		48.03472		48		57.21747
21		3.787538		3.78675		39.3752		13.64883		14.54499		58.57873		19.54953		19.59667		71.74718		54.16735		54		14.54499		40.04305		40		19.74665		90.72356		90.69498		47.97897		56.81453		57.16631		15.18126		36.06995		36		90.58718		48.02339		48		57.07616
22		3.785865		3.78675		38.54348		13.66702		14.68043		58.76167		19.69625		19.5206		71.4691		54.17854		54		14.68043		40.03578		40		19.71023		90.74552		90.72143		47.96069		56.91764		57.11575		41.52704		36.07205		36		90.60455		48.02804		48		57.13459
23		3.786297		3.78675		38.75072		13.8263		12.85605		57.59759		19.58173		19.69138		71.69309		54.02645		54		12.85605		40.01559		40		19.60908		90.66887		90.70601		47.95801		57.04566		57.23645		40.38475		36.07019		36		90.59804		48.03927		48		57.27527
24		3.788916		3.78675		40.04018		13.5209		13.78504		58.10134		19.58531		19.42532		71.41522		54.10376		54		13.78504		39.96146		40		19.33788		90.75443		90.61696		47.90739		57.11881		57.30637		38.5193		36.08015		36		90.66205		48.00538		48		56.85198
25		3.786388		3.78675		38.82034		13.47042		12.50616		56.96224		19.4285		19.50946		71.59796		53.99717		54		12.50616		40.01085		40		19.58533		90.87785		90.6558		47.87206		57.08032		57.19916		19.61691		36.06844		36		90.59652		48.0089		48		56.89631
26		3.785328		3.78675		38.25465		13.40514		13.83808		57.54712		19.62302		19.32548		71.24123		54.10809		54		13.83808		39.9936		40		19.49892		90.84821		90.56046		47.80896		56.94677		57.13568		17.53403		36.06002		36		90.5501		48.02029		48		57.039
27		3.790718		3.78675		40.92598		13.43943		13.90781		57.93307		19.43914		19.71415		71.88454		54.11379		54		13.90781		39.97008		40		19.3811		90.59394		90.70335		47.85242		56.95458		57.11704		20.1231		36.08289		36		90.69179		48.01527		48		56.97656
28		3.78565		3.78675		38.47308		13.65958		13.68653		57.69925		19.55319		19.2585		71.30274		54.09527		54		13.68653		39.99675		40		19.51469		90.78715		90.71658		47.82727		57.01891		57.3502		0		36.08077		36		90.68417		48.03007		48		57.1619
29		3.785062		3.78675		38.08704		13.46318		12.99972		56.97977		19.58183		19.60095		71.57812		54.03801		54		12.99972		40.03221		40		19.69233		90.68599		90.55769		47.79918		57.10233		57.2679		51.30616		36.07909		36		90.67834		48.00857		48		56.89355
30		3.787725		3.78675		39.43947		13.29378		13.32775		57.35181		19.65774		19.26354		71.12726		54.06525		54		13.32775		39.96024		40		19.3318		90.73423		90.61572		47.7889		57.05302		57.09471		54.68405		36.08675		36		90.72864		48.02618		48		57.11396
31		3.790225		3.78675		40.7363		13.44683		14.08015		57.62434		19.35647		19.69917		71.87909		54.12787		54		14.08015		40.03161		40		19.68934		90.69048		90.76507		47.82257		57.05		57.13626		43.34059		36.07957		36		90.69066		48.02481		48		57.09727
32		3.786793		3.78675		39.0288		13.34197		13.62184		57.50955		19.74191		19.53585		71.24858		54.08961		54		13.62184		40.02843		40		19.67342		90.82793		90.79064		47.80836		57.15223		57.23963		42.40832		36.07342		36		90.65916		48.02926		48		57.15321
33		3.786587		3.78675		38.88627		13.50072		12.85403		57.15845		19.44112		20.13749		72.19931		54.02556		54		12.85403		40.02445		40		19.65349		90.70759		90.70847		47.79061		57.08536		57.31284		12.84299		36.06241		36		90.59736		48.02901		48		57.15061
34		3.790583		3.78675		40.90089		13.40315		13.1751		56.93687		19.69359		19.66681		71.49285		54.05227		54		13.1751		40.00365		40		19.54929		90.65608		90.75119		47.8079		57.19919		57.234		45.68039		36.10092		36		90.83315		48.0315		48		57.18195
35		3.785189		3.78675		38.21455		12.83195		13.16035		56.9414		19.4737		19.60752		71.67957		54.05101		54		13.16035		39.99505		40		19.50622		91.12518		90.62266		47.67818		57.23749		56.87287		100		36.08906		36		90.76687		48.01717		48		57.00318
36		3.787029		3.78675		39.09974		13.00139		13.27291		57.32014		19.54581		19.65404		71.62383		54.06033		54		13.27291		40.00529		40		19.55751		90.84379		90.64476		47.67501		57.21582		56.88218		97.5186		36.08258		36		90.73266		48.02096		48		57.0508
37		3.787849		3.78675		39.52122		13.39679		13.77797		57.35034		19.57343		19.58017		71.49761		54.10237		54		13.77797		39.98486		40		19.45516		90.5741		90.77431		47.74419		57.13507		57.25144		13.6271		36.0821		36		90.73466		48.03175		48		57.18614
38		3.787183		3.78675		39.23585		13.39016		12.82159		56.78471		19.5112		19.45179		71.39614		54.02262		54		12.82159		39.98391		40		19.45037		90.70632		90.84184		47.76054		57.19955		57.33462		8.784139		36.08237		36		90.74155		48.03554		48		57.23403
39		3.786437		3.78675		38.83462		13.13483		12.96673		56.83244		19.50622		19.38711		71.22555		54.03467		54		12.96673		40.00792		40		19.57064		90.88162		90.70311		47.69433		57.34421		57.16604		73.04881		36.07652		36		90.71124		48.02967		48		57.16088
40		3.786905		3.78675		39.06246		13.11961		13.0103		56.96278		19.46953		19.53967		71.37559		54.03824		54		13.0103		39.98345		40		19.44803		90.7807		90.62908		47.67774		57.34388		57.17019		72.62653		36.04777		36		90.54279		48.03948		48		57.28395
41		3.78602		3.78675		38.63506		13.21763		12.91897		56.58121		19.40046		19.49708		71.45389		54.03061		54		12.91897		40.0168		40		19.61513		90.73222		90.6617		47.6742		57.31804		57.27696		47.5178		36.08756		36		90.78615		48.02814		48		57.14257
42		3.78778		3.78675		39.5079		12.91807		13.49304		56.84328		19.57054		19.62064		71.42028		54.07841		54		13.49304		39.9931		40		19.49639		90.92467		90.73978		47.64183		57.3057		57.13231		75.79473		36.06965		36		90.68345		48.0294		48		57.15877
43		3.7873		3.78675		39.27322		13.05378		13.00772		56.98879		19.45379		19.4325		71.24523		54.03789		54		13.00772		39.98465		40		19.45405		90.7315		90.76125		47.65541		57.23486		57.32455		23.31688		36.10036		36		90.87223		48.02592		48		57.1158
44		3.786235		3.78675		38.74943		13.42189		13.63099		57.23048		19.45071		19.38294		71.30871		54.08976		54		13.63099		40.01746		40		19.61839		90.68269		90.70152		47.66814		57.21824		57.41766		4.483487		36.07698		36		90.73671		48.03492		48		57.22879
