Trend data for Model:	
Model time base:		1
Plot duration (secs):		7173

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.787517		3.78675		38.40424		12.33889		11.58952		54		22.98291		22.80322		80.91924		53.01705		54		11.58952		43.5455		40		22.80322		87.02058		87.08086		44.90659		58.74513		59.11453		50.4388		35.84873		35.85		87.08086		47.68623		47.69		59.11453
1		3.787378		3.78675		38.36902		12.3922		13.6569		55.58638		23.16719		23.1245		80.43869		53.18951		54		13.6569		43.51972		40		22.67768		87.05346		87.03988		44.90352		58.85739		59.03512		52.15707		35.8472		35.85		87.07151		47.68138		47.69		59.0534
2		3.787411		3.78675		38.39463		12.4848		12.034		55.00155		22.95463		23.24703		80.82118		53.05445		54		12.034		43.61864		40		23.17691		87.06029		87.03138		44.89994		58.86377		58.97108		63.67099		35.85438		35.85		87.11437		47.69089		47.69		59.17313
3		3.786623		3.78675		37.9889		12.46403		12.79644		55.24229		23.34118		23.16167		80.36347		53.11817		54		12.79644		43.62996		40		23.23723		87.07484		87.08838		44.91558		58.99668		59.04554		73.77095		35.8513		35.85		87.09594		47.66546		47.69		58.8524
4		3.786712		3.78675		38.04831		12.35206		12.37044		55.01637		23.18369		22.87945		80.19532		53.08285		54		12.37044		43.64399		40		23.31114		87.05588		87.04547		44.90989		58.91435		59.09503		25.10203		35.84703		35.85		87.07002		47.67477		47.69		58.96976
5		3.78715		3.78675		38.25898		12.28693		13.09244		55.04845		23.25204		23.09639		80.32763		53.14321		54		13.09244		43.62525		40		23.22091		87.12687		87.20494		44.92826		58.89662		59.03996		31.84561		35.84249		35.85		87.04311		47.68215		47.69		59.0626
6		3.786726		3.78675		38.04332		12.19893		11.69218		54.43873		23.1252		23.17141		80.56552		53.02671		54		11.69218		43.60794		40		23.13779		87.18879		87.0968		44.88726		58.97108		59.2034		10.82349		35.85928		35.85		87.14397		47.69323		47.69		59.20213
7		3.785717		3.78675		37.55119		12.28708		12.0466		54.25932		23.21749		23.12815		80.39946		53.05643		54		12.0466		43.58		40		23.00145		87.12114		87.12012		44.89908		59.12413		59.18482		44.16042		35.85746		35.85		87.13309		47.69346		47.69		59.20503
8		3.785267		3.78675		37.31193		11.91055		11.675		54.12501		23.14811		23.37119		80.74501		53.02566		54		11.675		43.6025		40		23.11783		87.28939		87.06536		44.84319		59.22984		59.00527		91.58118		35.85283		35.85		87.10548		47.67919		47.69		59.02495
9		3.786843		3.78675		38.08508		11.96592		12.18199		54.27841		23.2778		23.41376		80.67343		53.0681		54		12.18199		43.59398		40		23.07874		87.18002		87.18573		44.858		59.21148		58.93696		94.4452		35.86919		35.85		87.20411		47.68445		47.69		59.09112
10		3.786942		3.78675		38.14675		12.11676		12.15798		54.07464		23.19897		23.22582		80.51606		53.06629		54		12.15798		43.58346		40		23.02967		87.14413		87.11138		44.84199		59.16579		59.21784		28.13305		35.86445		35.85		87.17591		47.68484		47.69		59.09596
11		3.78492		3.78675		37.1357		11.88287		12.76046		54.38706		23.13756		23.00627		80.25992		53.11668		54		12.76046		43.62695		40		23.25113		87.19521		87.15592		44.83195		59.15715		58.9802		74.26696		35.85109		35.85		87.09598		47.70525		47.69		59.35307
12		3.785911		3.78675		37.63257		11.93726		12.5851		54.19015		23.28087		23.18327		80.28572		53.10226		54		12.5851		43.5885		40		23.06212		87.16407		87.07217		44.80636		59.201		59.19314		39.70159		35.85769		35.85		87.13588		47.66913		47.69		58.89798
13		3.785664		3.78675		37.46286		11.99422		10.97718		53.91239		23.03155		23.10441		80.40377		52.96845		54		10.97718		43.62733		40		23.2603		87.19662		86.99667		44.75897		59.29569		58.88344		89.80913		35.82659		35.85		86.94847		47.6716		47.69		58.92898
14		3.787878		3.78675		38.55245		12.21694		12.00117		54.30184		23.24913		23.02301		80.12604		53.05397		54		12.00117		43.58473		40		23.05045		86.82875		87.07897		44.83679		59.17008		58.79356		89.26845		35.85602		35.85		87.12476		47.69057		47.69		59.16784
15		3.78732		3.78675		38.28747		12.23765		12.60705		54.12175		23.03783		23.11604		80.36929		53.10466		54		12.60705		43.61307		40		23.19605		87.10781		87.15585		44.83429		59.26953		59.42883		0		35.85036		35.85		87.09103		47.67028		47.69		58.91211
16		3.785457		3.78675		37.36897		12.17241		11.83102		53.86664		23.25939		23.06906		80.14338		53.04017		54		11.83102		43.60736		40		23.17105		87.0148		87.10345		44.86387		59.11737		59.00514		53.43877		35.84562		35.85		87.06331		47.69195		47.69		59.18513
17		3.787629		3.78675		38.41819		11.83153		13.27746		54.4728		23.10035		23.2127		80.4294		53.1609		54		13.27746		43.59783		40		23.12691		87.27102		87.12422		44.81373		59.07294		59.29313		0		35.85393		35.85		87.11348		47.69168		47.69		59.18169
18		3.791281		3.78675		40.28419		12.0167		12.00806		54.05841		23.13889		23.30297		80.54604		53.0553		54		12.00806		43.63659		40		23.32474		87.01374		87.17904		44.87208		59.16823		59.05514		67.54915		35.88683		35.85		87.31179		47.69123		47.69		59.17597
19		3.78622		3.78675		37.79031		12.32942		11.88241		53.77104		23.294		23.0092		80.19296		53.04502		54		11.88241		43.60996		40		23.19496		87.26951		87.19229		44.86035		59.23394		59.09352		71.55022		35.82986		35.85		86.97096		47.69551		47.69		59.22992
20		3.785051		3.78675		37.1483		11.80425		11.58421		53.57251		23.15929		23.46237		80.84104		53.02036		54		11.58421		43.58944		40		23.09577		87.18607		87.12734		44.83306		59.2981		59.06142		93.80998		35.8456		35.85		87.06513		47.67602		47.69		58.98427
21		3.790295		3.78675		39.80292		11.96677		13.00765		54.25531		23.21335		22.99576		80.16191		53.13917		54		13.00765		43.57205		40		23.01224		87.17279		87.26085		44.84981		59.22511		59.1453		43.51672		35.84819		35.85		87.08096		47.69264		47.69		59.19368
22		3.784873		3.78675		37.11801		11.86041		12.04934		54.31339		23.04216		23.3139		80.78283		53.05949		54		12.04934		43.57102		40		23.01071		87.26773		87.10119		44.7942		59.01109		58.98091		58.93413		35.85975		35.85		87.15078		47.68506		47.69		59.09806
23		3.786194		3.78675		37.7307		12.23449		12.80325		54.80523		23.18265		23.27241		80.65868		53.1225		54		12.80325		43.60169		40		23.16795		87.00919		87.07295		44.81545		59.04653		59.13283		33.82975		35.84728		35.85		87.07557		47.68919		47.69		59.1501
24		3.786905		3.78675		38.09754		12.22023		11.4238		54.13245		23.18355		23.01628		80.36356		53.00774		54		11.4238		43.64089		40		23.36801		86.98353		87.08811		44.8418		59.1226		58.97783		91.56934		35.83999		35.85		87.03179		47.6994		47.69		59.27886
25		3.785603		3.78675		37.45296		12.25707		12.22622		54.37326		23.34172		23.07492		80.21562		53.07479		54		12.22622		43.56522		40		22.9925		87.09395		87.14023		44.84866		59.20008		59.21995		58.24916		35.8592		35.85		87.14742		47.68775		47.69		59.13203
26		3.785516		3.78675		37.35818		12.20948		11.60296		53.86581		23.07825		23.52205		80.87637		53.02304		54		11.60296		43.63542		40		23.34778		87.07221		87.14033		44.8484		59.24701		59.11774		83.00087		35.85157		35.85		87.10138		47.67683		47.69		58.99441
27		3.788049		3.78675		38.67118		12.02369		13.073		54.70723		23.35468		23.20145		80.31123		53.14573		54		13.073		43.61606		40		23.2544		87.08238		87.11016		44.84989		59.00733		59.1377		26.88093		35.87258		35.85		87.22801		47.68547		47.69		59.10323
28		3.786522		3.78675		37.92861		12.11287		12.06557		54.47938		23.1409		22.9976		80.17604		53.06196		54		12.06557		43.6294		40		23.32487		87.21012		87.06641		44.81557		58.80886		59.00209		11.75909		35.84266		35.85		87.04854		47.68668		47.69		59.1182
29		3.788048		3.78675		38.67627		12.24141		12.10182		54.38511		23.29451		23.25699		80.31946		53.06517		54		12.10182		43.5309		40		22.83496		86.99474		87.0803		44.8495		58.8351		58.92279		66.16702		35.84261		35.85		87.04779		47.67336		47.69		58.95032
30		3.784778		3.78675		37.05423		12.12281		12.46922		54.58464		22.92736		23.09051		80.51327		53.09597		54		12.46922		43.61036		40		23.23669		87.17019		87.08539		44.82735		58.89731		59.10401		39.25021		35.85389		35.85		87.11561		47.68		47.69		59.03385
31		3.789504		3.78675		39.39355		12.15156		11.81499		54.2721		23.3036		23.24939		80.48458		53.04164		54		11.81499		43.57903		40		23.08331		87.01348		87.0395		44.83082		58.90114		58.86785		77.40952		35.84199		35.85		87.04347		47.69432		47.69		59.21413
32		3.787126		3.78675		38.253		12.0483		12.3171		54.4904		23.09437		23.22814		80.64535		53.08367		54		12.3171		43.59459		40		23.1649		87.11598		87.11269		44.82852		58.97976		58.83691		97.25905		35.84181		35.85		87.0423		47.6737		47.69		58.95418
33		3.783977		3.78675		36.65771		12.17906		13.21082		55.38299		23.29118		23.06316		80.29891		53.15832		54		13.21082		43.57714		40		23.08109		87.10682		87.0302		44.80986		58.96647		59.24621		9.245371		35.83754		35.85		87.01645		47.67126		47.69		58.92324
34		3.789219		3.78675		39.26651		12.58367		12.35832		54.96225		23.10108		22.94057		80.30863		53.08746		54		12.35832		43.61516		40		23.27519		86.76797		87.09343		44.89374		58.89579		58.95388		52.18335		35.85015		35.85		87.09168		47.69382		47.69		59.20743
35		3.786751		3.78675		38.096		12.15833		12.44397		54.54686		23.35947		23.30329		80.47163		53.09479		54		12.44397		43.61314		40		23.26868		87.17176		87.17374		44.87309		58.92195		59.0091		44.58587		35.84646		35.85		87.06975		47.69011		47.69		59.16055
36		3.782417		3.78675		35.88171		12.22267		12.67717		54.74956		23.13814		23.30565		80.64166		53.11441		54		12.67717		43.61854		40		23.29934		87.07574		87.08371		44.85861		59.0292		59.28739		8.208269		35.83661		35.85		87.01037		47.67479		47.69		58.96742
37		3.786616		3.78675		37.95629		12.25946		11.62452		54.19488		23.34004		23.27345		80.48777		53.02687		54		11.62452		43.61294		40		23.27488		87.00258		87.107		44.86916		59.02791		58.99475		67.26652		35.84533		35.85		87.06209		47.67723		47.69		58.99812
38		3.788067		3.78675		38.72853		12.08754		12.72408		54.59135		23.27606		23.51997		80.93258		53.11869		54		12.72408		43.62805		40		23.35427		87.22385		87.05345		44.82102		58.99876		59.07746		45.01999		35.86819		35.85		87.1996		47.6962		47.69		59.237
39		3.783886		3.78675		36.59978		12.23874		11.38121		53.84684		23.39143		23.31424		80.59554		53.00697		54		11.38121		43.58899		40		23.16218		87.11089		87.09618		44.84043		59.0956		58.99852		79.20085		35.84813		35.85		87.07922		47.68257		47.69		59.06512
40		3.786289		3.78675		37.7795		11.99716		11.66088		54.00492		23.18681		23.09241		80.42959		53.03047		54		11.66088		43.58624		40		23.15199		87.15023		87.01765		44.80601		59.08247		59.29581		16.60081		35.84491		35.85		87.0594		47.68738		47.69		59.12579
41		3.789381		3.78675		39.33399		12.3222		11.99248		54.33447		23.23076		23.38884		80.678		53.05828		54		11.99248		43.61792		40		23.31432		86.96683		87.05053		44.85124		59.08152		59.22761		21.43031		35.84672		35.85		87.07055		47.67872		47.69		59.01652
42		3.787798		3.78675		38.56127		12.2163		11.91514		54.32356		23.29357		22.98461		80.12452		53.05202		54		11.91514		43.56755		40		23.06556		87.08301		87.10512		44.86278		59.04734		58.83039		95.56253		35.86663		35.85		87.19044		47.68782		47.69		59.13105
