Trend data for Model:	
Model time base:		1
Plot duration (secs):		7042

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.787517		3.78675		38.40424		12.33889		11.58952		54		22.98291		22.80322		80.91924		53.01705		54		11.58952		43.5455		40		22.80322		87.02058		87.08086		44.90659		58.74513		59.11453		50.4388		35.84873		35.85		87.08086		47.68623		47.69		59.11453
1		3.788156		3.78675		38.75804		12.38278		12.9304		55.0928		23.16969		23.10101		80.45339		53.12897		54		12.9304		43.62954		40		23.22789		87.03537		87.20655		44.94948		58.90736		59.26172		17.92678		35.85488		35.85		87.11812		47.68892		47.69		59.14839
2		3.78689		3.78675		38.1454		12.53394		13.43321		55.5356		23.31344		23.01606		80.07314		53.17105		54		13.43321		43.60408		40		23.10397		87.02118		87.21665		44.97721		58.99551		59.0735		69.80145		35.85551		35.85		87.12256		47.67875		47.69		59.02014
3		3.786439		3.78675		37.92921		12.36878		12.26739		55.10727		23.04989		23.22163		80.46609		53.07408		54		12.26739		43.59418		40		23.05797		87.16466		87.08314		44.94153		58.90833		59.13278		36.75258		35.83608		35.85		87.0065		47.68668		47.69		59.12004
4		3.784396		3.78675		36.8786		12.47909		12.13662		54.84477		23.1814		22.85571		79.96075		53.06337		54		12.13662		43.59935		40		23.08747		87.03985		87.07204		44.96116		58.97721		58.80034		82.10176		35.85548		35.85		87.12341		47.67343		47.69		58.95285
5		3.786343		3.78675		37.85006		12.34333		11.81029		54.7482		23.12407		22.91576		80.06909		53.03636		54		11.81029		43.58019		40		22.99507		87.17436		87.16494		44.95961		59.04633		59.17087		20.20138		35.84576		35.85		87.06524		47.69776		47.69		59.25952
6		3.788549		3.78675		38.97971		12.24197		12.14532		54.74745		23.05672		22.997		80.1956		53.06446		54		12.14532		43.59643		40		23.08004		87.10655		87.09403		44.95037		59.08337		59.03294		56.36025		35.85862		35.85		87.14287		47.68879		47.69		59.14639
7		3.789409		3.78675		39.43505		12.74652		11.339		54.23401		23.13827		22.98883		80.08541		52.99745		54		11.339		43.61487		40		23.17603		86.97845		87.16634		44.99863		59.21849		59.13485		62.26046		35.86548		35.85		87.18479		47.68392		47.69		59.08493
8		3.786646		3.78675		38.09086		12.18473		12.62438		54.60271		23.11285		22.9934		80.16204		53.10475		54		12.62438		43.58423		40		23.02618		87.2877		87.23003		44.97146		59.14633		58.92524		84.53236		35.87089		35.85		87.21838		47.69008		47.69		59.16248
9		3.785991		3.78675		37.74978		12.09341		11.14009		54.04645		23.10539		23.08701		80.27325		52.98125		54		11.14009		43.60762		40		23.14697		87.33407		87.16337		44.91525		59.16335		58.90254		93.56319		35.84297		35.85		87.05128		47.68898		47.69		59.14846
10		3.786463		3.78675		37.96571		12.06178		11.93564		54.31464		23.24326		23.34586		80.47034		53.04774		54		11.93564		43.63151		40		23.27029		87.16943		87.13072		44.89832		59.1712		59.1761		28.88697		35.85428		35.85		87.11888		47.6711		47.69		58.92313
11		3.789437		3.78675		39.49066		12.07756		12.64705		54.7501		23.22805		23.40779		80.51245		53.10721		54		12.64705		43.59055		40		23.06868		87.19631		87.1729		44.88476		59.11731		59.13792		47.72425		35.87813		35.85		87.26237		47.67695		47.69		58.99679
12		3.785134		3.78675		37.34746		12.38531		11.70496		54.19022		23.07587		23.23422		80.56957		53.02889		54		11.70496		43.59158		40		23.0775		87.19294		86.98639		44.83682		58.83602		59.26051		0		35.82953		35.85		86.97054		47.6708		47.69		58.91916
13		3.785313		3.78675		37.35962		12.28832		12.64976		54.41181		23.18442		23.14052		80.4682		53.10781		54		12.64976		43.6146		40		23.19643		86.94601		87.07908		44.88695		58.66756		58.89491		34.9866		35.84342		35.85		87.05333		47.66		47.69		58.78285
14		3.789596		3.78675		39.56378		12.05228		12.76538		54.53198		23.24365		23.08346		80.3311		53.11763		54		12.76538		43.5721		40		22.98711		87.18445		87.2697		44.89751		58.56898		59.00537		20.32567		35.85983		35.85		87.15258		47.68249		47.69		59.06619
15		3.785821		3.78675		37.67441		11.88214		12.60164		54.41786		23.08671		23.05963		80.49663		53.10417		54		12.60164		43.5483		40		22.87151		87.2964		87.12125		44.84032		58.55626		59.07858		38.04621		35.86575		35.85		87.18882		47.68938		47.69		59.15289
16		3.787018		3.78675		38.22779		12.3363		12.06564		54.30022		23.14821		23.01672		80.34211		53.05969		54		12.06564		43.62343		40		23.25151		86.98294		87.14114		44.88653		58.72387		58.9944		79.07838		35.84571		35.85		87.0686		47.68773		47.69		59.13212
17		3.78718		3.78675		38.38346		11.81731		11.47528		53.98858		23.2449		22.94605		80.02726		53.01069		54		11.47528		43.6157		40		23.21636		87.21265		87.15815		44.86765		58.80378		59.53901		0		35.87549		35.85		87.2484		47.68885		47.69		59.14633
18		3.785283		3.78675		37.427		12.26382		11.84433		53.82012		23.14927		23.15724		80.35546		53.04163		54		11.84433		43.61256		40		23.20425		87.1908		87.05886		44.83951		58.78937		59.22353		36.40758		35.84865		35.85		87.08767		47.67114		47.69		58.923
19		3.788228		3.78675		38.86915		11.7113		11.18042		53.45406		23.24541		23.22776		80.3301		52.9865		54		11.18042		43.64202		40		23.35546		87.25445		87.11483		44.81645		58.60182		59.01319		35.42597		35.85758		35.85		87.1413		47.6703		47.69		58.91228
20		3.787616		3.78675		38.60357		11.92912		11.49632		53.64915		23.20093		23.11589		80.15155		53.01302		54		11.49632		43.61244		40		23.21086		87.19921		87.23551		44.84069		58.41211		59.12122		6.251123		35.85108		35.85		87.10279		47.68985		47.69		59.15861
21		3.789078		3.78675		39.36803		11.80777		12.42079		54.10001		23.08301		23.29095		80.45971		53.09024		54		12.42079		43.5693		40		22.99835		87.21822		87.04684		44.79007		58.48519		59.0257		46.73072		35.85472		35.85		87.12504		47.67622		47.69		58.98673
22		3.786962		3.78675		38.29807		11.95105		11.8687		53.94405		23.05291		23.35188		80.56331		53.04443		54		11.8687		43.64199		40		23.36612		87.14679		87.08891		44.78926		58.55721		59.19276		16.12011		35.85429		35.85		87.12216		47.68935		47.69		59.15222
23		3.786694		3.78675		38.14962		12.02578		12.03532		54.07737		23.29428		23.11567		80.09167		53.0585		54		12.03532		43.58881		40		23.1033		87.08056		86.93648		44.76718		58.62425		58.90785		77.29535		35.84978		35.85		87.0949		47.67486		47.69		58.9695
24		3.787002		3.78675		38.28899		11.90118		11.94299		53.91566		23.04014		23.01644		80.22164		53.051		54		11.94299		43.55512		40		22.93811		87.10801		87.05191		44.77107		58.7		59.03238		59.42854		35.84495		35.85		87.06519		47.67938		47.69		59.0263
25		3.789212		3.78675		39.409		11.9061		12.04393		54.0403		23.07184		23.23599		80.53807		53.0596		54		12.04393		43.60213		40		23.17729		87.11217		87.19533		44.80177		58.72058		58.67978		100		35.83698		35.85		87.01785		47.6972		47.69		59.2508
26		3.787551		3.78675		38.56543		11.89174		12.44772		54.17677		23.19106		23.36651		80.67508		53.09344		54		12.44772		43.56605		40		23.00012		87.12522		87.10799		44.77223		58.78185		59.11951		27.00683		35.84911		35.85		87.09043		47.68142		47.69		59.05187
27		3.787959		3.78675		38.74694		11.93105		11.4384		53.98626		23.08416		23.12285		80.38413		53.00951		54		11.4384		43.57344		40		23.04074		87.03558		87.12971		44.78836		58.94348		59.2029		38.31931		35.83075		35.85		86.97983		47.66659		47.69		58.86487
28		3.786089		3.78675		37.84085		12.12447		12.15973		54.37511		23.15484		23.17013		80.34337		53.06981		54		12.15973		43.57439		40		23.04906		86.98275		87.10036		44.80618		58.81592		58.86938		70.11127		35.85539		35.85		87.12795		47.67849		47.69		59.01466
29		3.785911		3.78675		37.73141		11.99771		12.20674		54.32759		23.13118		23.25955		80.49094		53.07392		54		12.20674		43.61325		40		23.24737		87.18495		87.16223		44.79554		58.70843		58.87082		49.9042		35.86566		35.85		87.19008		47.69122		47.69		59.1749
30		3.787593		3.78675		38.56054		12.1298		12.72048		54.63505		23.25268		23.08518		80.17183		53.11691		54		12.72048		43.59956		40		23.18239		87.07784		87.12954		44.81021		58.70287		58.8415		95.5212		35.84139		35.85		87.04429		47.69195		47.69		59.18407
31		3.784958		3.78675		37.24011		12.27916		11.648		54.32141		23.13025		23.11391		80.28004		53.02772		54		11.648		43.62934		40		23.3352		86.98226		87.05667		44.82303		58.79654		59.17048		41.03169		35.84422		35.85		87.06087		47.66959		47.69		58.90221
32		3.786049		3.78675		37.76446		12.3688		12.25882		54.50589		23.27241		23.12425		80.11188		53.07881		54		12.25882		43.52387		40		22.81035		87.00702		87.05893		44.8358		58.82413		59.10087		40.98562		35.84261		35.85		87.05094		47.68038		47.69		59.03803
33		3.786279		3.78675		37.88693		12.11709		12.74931		54.58549		22.8491		23.15294		80.53311		53.11987		54		12.74931		43.55494		40		22.9696		87.1098		87.01878		44.81402		58.92495		59.25328		3.887398		35.83816		35.85		87.02373		47.68464		47.69		59.09162
34		3.785418		3.78675		37.43447		11.93483		11.5659		54.48449		23.19781		23.06435		80.25218		53.02144		54		11.5659		43.55473		40		22.97215		87.11928		87.08098		44.80999		59.00713		59.10008		48.42237		35.84357		35.85		87.05596		47.66652		47.69		58.86323
35		3.784801		3.78675		37.09808		12.23211		12.34705		55.01408		23.05689		23.13918		80.3743		53.08671		54		12.34705		43.5212		40		22.80776		86.9423		86.99812		44.82177		58.95527		58.96132		65.18147		35.84954		35.85		87.09128		47.69037		47.69		59.1636
36		3.784487		3.78675		36.92217		12.40124		11.80954		54.53293		23.02651		22.97648		80.32355		53.04211		54		11.80954		43.61066		40		23.25954		87.00142		86.97623		44.82745		59.01367		59.20333		21.31245		35.84206		35.85		87.04615		47.6905		47.69		59.16504
37		3.783842		3.78675		36.56007		12.38624		11.94265		54.3249		23.35023		23.26861		80.45225		53.05339		54		11.94265		43.59742		40		23.19684		87.02318		86.98457		44.83271		59.16076		59.10355		54.67782		35.83131		35.85		86.98106		47.69515		47.69		59.22367
38		3.787596		3.78675		38.41754		11.96901		12.71667		54.63251		23.1574		23.0945		80.28646		53.11807		54		12.71667		43.6187		40		23.30705		87.108		87.10208		44.84495		59.26151		59.03225		88.78097		35.83587		35.85		87.0082		47.64565		47.69		58.59977
39		3.785197		3.78675		37.24287		12.12787		13.10064		54.97343		23.23288		23.34782		80.48278		53.15025		54		13.10064		43.57306		40		23.082		87.07907		87.13431		44.86168		59.30145		58.93236		41.88099		35.84984		35.85		87.09255		47.69406		47.69		59.20952
40		3.786189		3.78675		37.70143		12.11702		12.29866		54.87941		22.9882		23.25885		80.59205		53.08361		54		12.29866		43.60072		40		23.22418		87.13728		87.0799		44.83269		59.35545		58.94939		72.76339		35.83018		35.85		86.97411		47.68602		47.69		59.10817
41		3.79156		3.78675		40.39078		12.29638		11.53236		54.43516		23.26614		23.15716		80.25702		53.01994		54		11.53236		43.58079		40		23.1279		86.86415		87.13595		44.88945		59.41603		59.18371		44.70542		35.86311		35.85		87.17134		47.68248		47.69		59.06348
42		3.78734		3.78675		38.34574		12.38192		11.62111		54.3378		23.08326		23.20567		80.46641		53.02752		54		11.62111		43.5773		40		23.11399		87.06887		87.15974		44.90207		59.39081		59.11992		57.61887		35.85704		35.85		87.13595		47.67544		47.69		58.97473
