Trend data for Model:	
Model time base:		1
Plot duration (secs):		7183

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.785193		3.78675		38.11252		14.37129		14.20725		54		20.12951		20.4657		73.45314		54.14178		54		14.20725		40.13016		40		20.4657		90.64257		90.15123		48.138		57.20578		56.96726		100		36.05567		36		90.15123		48.00153		48		56.96726
1		3.79006		3.78675		40.55893		14.17406		14.89083		59.99633		20.52289		19.82528		72.60202		54.19858		54		14.89083		40.05853		40		20.1069		90.30848		90.2633		48.12186		57.21082		57.09715		45.41917		36.0885		36		90.35256		48.01536		48		57.1403
2		3.787497		3.78675		39.31378		14.48394		14.31641		59.63651		20.06177		20.29359		73.42872		54.15057		54		14.31641		40.12346		40		20.43226		90.47773		90.2765		48.07603		57.23397		56.96665		78.9377		36.06244		36		90.20094		48.00968		48		57.06932
3		3.784388		3.78675		37.71983		14.6437		14.57022		59.5774		20.45055		20.26652		73.11346		54.17156		54		14.57022		40.06856		40		20.15733		90.20125		90.21618		48.10048		57.26268		57.17146		47.63277		36.06027		36		90.19229		48.00332		48		56.98996
4		3.78791		3.78675		39.4488		14.01833		16.05141		60.30337		20.1459		20.06123		73.07544		54.29484		54		16.05141		40.08078		40		20.21864		90.55419		90.24251		48.01892		57.21249		57.06882		61.52216		36.07063		36		90.25863		48.01311		48		57.11243
5		3.788791		3.78675		39.94771		14.41476		14.63923		59.65105		20.31886		20.27772		73.05371		54.17702		54		14.63923		40.09542		40		20.29203		90.2646		90.29549		48.05912		57.18368		57.06399		57.48328		36.09583		36		90.41495		48.01331		48		57.11513
6		3.785743		3.78675		38.42814		14.31663		14.22978		59.13445		20.22858		20.11161		72.84131		54.14278		54		14.22978		40.08334		40		20.23158		90.53261		90.30136		48.0148		57.20754		57.06145		62.53981		36.07656		36		90.30455		47.99502		48		56.88662
7		3.786003		3.78675		38.51097		14.18197		13.08525		58.43759		20.22259		20.17801		72.8739		54.04729		54		13.08525		40.05734		40		20.10143		90.37003		90.30501		48.00721		57.09363		57.33168		5.403502		36.08307		36		90.34791		48.01527		48		57.14003
8		3.788326		3.78675		39.69405		14.14127		13.89134		58.69116		20.12463		19.97622		72.6918		54.11433		54		13.89134		40.05989		40		20.11423		90.46806		90.53417		48.0218		56.96155		57.22374		0		36.10723		36		90.49837		48.02032		48		57.20323
9		3.784545		3.78675		37.80948		13.91095		14.60144		59.12493		20.11248		20.13879		72.7963		54.17337		54		14.60144		40.04582		40		20.04378		90.64449		90.32776		47.92914		57.02566		57.27572		10.35074		36.08193		36		90.35162		48.01348		48		57.11788
10		3.784838		3.78675		37.90575		14.12069		13.8005		58.59613		20.0486		20.18274		73.01742		54.10652		54		13.8005		40.09008		40		20.2656		90.39381		90.18834		47.8954		57.14833		57.07025		76.45586		36.068		36		90.27219		47.99835		48		56.92891
11		3.78765		3.78675		39.30307		14.04209		14.5426		58.71454		20.2414		20.06373		72.71785		54.16825		54		14.5426		40.03446		40		19.98702		90.39372		90.36857		47.9178		57.00694		57.12009		41.61895		36.08609		36		90.38539		48.02313		48		57.23888
12		3.785328		3.78675		38.17475		13.71813		14.35342		58.73261		19.97829		20.00181		72.85246		54.15237		54		14.35342		40.05168		40		20.07336		90.63881		90.29505		47.8483		57.01344		57.21635		19.78528		36.08081		36		90.35906		48.03804		48		57.42546
13		3.78659		3.78675		38.77512		14.06336		14.42658		58.97918		20.15345		20.14955		72.89623		54.15832		54		14.42658		40.01596		40		19.89446		90.31644		90.3655		47.88352		57.05783		57.01299		86.08344		36.07947		36		90.35574		48.01989		48		57.19879
14		3.788656		3.78675		39.8526		14.26822		14.38334		58.74914		20.04907		20.02708		72.84352		54.1546		54		14.38334		40.05976		40		20.11396		90.26682		90.48441		47.93217		57.18641		57.05371		100		36.10003		36		90.48453		48.01597		48		57.14992
15		3.786527		3.78675		38.81429		13.8774		13.46536		58.11525		20.24268		20.16472		72.85343		54.07801		54		13.46536		40.02131		40		19.92136		90.55688		90.44873		47.8832		57.14689		57.3108		38.09455		36.09351		36		90.45084		48.02665		48		57.28371
16		3.784282		3.78675		37.66222		13.75753		13.60425		58.16609		20.04069		20.27018		73.06054		54.08948		54		13.60425		40.03628		40		19.99643		90.54104		90.31235		47.82107		57.17886		57.11821		83.25545		36.08384		36		90.39747		48.04319		48		57.4909
17		3.789802		3.78675		40.39428		13.71329		13.43595		57.96242		20.16478		20.07589		72.72062		54.07537		54		13.43595		40.05727		40		20.10163		90.47632		90.34096		47.79022		57.27382		57.03765		79.10476		36.07263		36		90.33432		48.01319		48		57.11595
18		3.787336		3.78675		39.20885		13.68909		14.22333		57.94978		20.09978		20.13634		72.79133		54.14091		54		14.22333		40.02183		40		19.92414		90.45721		90.45192		47.80838		57.2627		57.25364		36.60347		36.08611		36		90.42061		48.0266		48		57.28387
19		3.784738		3.78675		37.90606		13.68544		14.01068		57.72538		19.98345		19.93757		72.59399		54.12311		54		14.01068		39.99634		40		19.79644		90.65546		90.28277		47.70869		57.44403		57.12897		96.99749		36.08124		36		90.39597		48.01432		48		57.13057
20		3.785341		3.78675		38.15865		13.40219		14.09142		58.0396		19.9025		20.10621		72.87462		54.12973		54		14.09142		40.05125		40		20.07156		90.56575		90.43799		47.70496		57.40139		57.15603		87.29476		36.06879		36		90.32554		48.01522		48		57.14208
21		3.786841		3.78675		38.95245		13.8522		13.66216		57.92258		20.14344		20.21331		72.83218		54.09386		54		13.66216		40.03601		40		19.99527		90.26698		90.31647		47.71362		57.25076		57.19251		52.46462		36.08178		36		90.40794		48.00943		48		57.06991
22		3.784962		3.78675		38.01004		13.48615		14.29919		58.26876		20.0101		20.084		72.7066		54.14685		54		14.29919		40.05206		40		20.07573		90.59235		90.29911		47.65362		57.08037		57.15198		26.59152		36.05728		36		90.26554		48.02189		48		57.22587
23		3.787095		3.78675		39.03671		13.66682		13.77888		58.1093		20.00378		19.88659		72.52585		54.10339		54		13.77888		40.07206		40		20.17595		90.28385		90.41073		47.70447		57.11603		57.0409		72.90824		36.06518		36		90.31711		48.02032		48		57.20657
24		3.78628		3.78675		38.66636		13.76506		13.87988		57.9636		20.12041		19.97024		72.43803		54.11173		54		13.87988		40.08207		40		20.22614		90.41446		90.47313		47.69878		57.24197		56.99574		100		36.08502		36		90.44096		48.01799		48		57.17758
25		3.784371		3.78675		37.66531		13.84778		14.60066		57.9446		20.03945		20.01764		72.5219		54.17171		54		14.60066		40.07165		40		20.17402		90.35422		90.26151		47.65504		57.20594		57.10153		72.42754		36.06706		36		90.33699		48.03819		48		57.43033
26		3.790563		3.78675		40.76226		13.50019		13.18288		57.25133		20.06513		19.88382		72.36207		54.0535		54		13.18288		40.03195		40		19.97517		90.3864		90.3383		47.65889		57.26969		56.88011		100		36.07167		36		90.36887		48.03139		48		57.34547
27		3.786132		3.78675		38.59954		13.65689		12.98605		57.10387		19.91467		19.88087		72.41448		54.03701		54		12.98605		40.04795		40		20.05533		90.41282		90.38089		47.66145		57.42037		57.49605		12.97431		36.07884		36		90.41691		48.04647		48		57.53429
28		3.784332		3.78675		37.64361		13.333		12.36011		56.60495		19.99285		20.25189		72.80838		53.98481		54		12.36011		40.05838		40		20.10763		90.61639		90.39573		47.6177		57.52906		57.16167		100		36.05677		36		90.28938		48.02621		48		57.28142
29		3.786679		3.78675		38.79309		13.39525		13.50962		56.97555		20.04981		20.08918		72.64174		54.08053		54		13.50962		40.04222		40		20.02671		90.39077		90.43892		47.63248		57.58816		57.41446		47.10304		36.05999		36		90.31296		48.01798		48		57.17882
30		3.78719		3.78675		39.0532		13.10432		14.09584		57.32779		19.96002		19.9684		72.64586		54.12932		54		14.09584		40.00563		40		19.84345		90.65295		90.35691		47.53884		57.45786		57.17241		73.90653		36.07394		36		90.40089		48.00957		48		57.07405
31		3.789113		3.78675		39.99695		13.38782		12.63908		56.74673		19.9295		20.00809		72.68707		54.00786		54		12.63908		40.01452		40		19.88799		90.38835		90.36872		47.55383		57.14933		57.19464		9.044303		36.07275		36		90.39787		47.99701		48		56.91732
32		3.786772		3.78675		38.83921		13.16833		12.85789		56.76227		19.93823		19.95568		72.62687		54.02605		54		12.85789		39.98299		40		19.73007		90.56254		90.50213		47.55229		57.08792		57.11851		72.11064		36.08649		36		90.48559		48.04013		48		57.45653
33		3.785904		3.78675		38.40408		13.1282		13.6696		57.29597		19.90298		20.1698		72.87321		54.09362		54		13.6696		40.0298		40		19.96462		90.59816		90.43379		47.50987		57.13878		57.20981		72.16967		36.08101		36		90.45767		48.02127		48		57.22109
34		3.786945		3.78675		38.8888		13.25444		13.54065		57.24247		20.05012		19.89813		72.32526		54.08282		54		13.54065		40.04183		40		20.02491		90.46441		90.44526		47.51801		57.17431		57.49948		18.87887		36.08485		36		90.48543		48.01993		48		57.20471
35		3.789814		3.78675		40.34601		13.08357		12.79722		57.01756		19.90972		19.81593		72.29243		54.02081		54		12.79722		40.02045		40		19.91778		90.52807		90.4885		47.50624		57.12323		57.18035		69.52346		36.09		36		90.52106		48.00848		48		57.06179
36		3.786468		3.78675		38.68533		13.13535		13.38097		57.30279		19.96527		19.86468		72.25109		54.0694		54		13.38097		40.04819		40		20.05678		90.55298		90.38604		47.46749		56.90454		57.18556		20.76634		36.07754		36		90.45105		48.02931		48		57.32256
37		3.786926		3.78675		38.84437		13.30736		13.26631		57.08968		19.99272		19.88088		72.17137		54.0598		54		13.26631		40.01282		40		19.8796		90.34348		90.34616		47.47719		56.81828		57.2253		30.4628		36.07857		36		90.46122		48.02572		48		57.27794
38		3.787849		3.78675		39.40258		13.16438		12.65476		56.62379		19.83091		19.71741		72.02198		54.00881		54		12.65476		40.04542		40		20.04292		90.59131		90.50222		47.48049		56.92791		57.00353		89.50849		36.087		36		90.51721		48.02504		48		57.26974
39		3.783623		3.78675		37.25172		13.11651		13.27603		56.92204		19.89726		19.78007		71.95773		54.06053		54		13.27603		39.9452		40		19.54078		90.64024		90.40624		47.43459		57.02064		57.24367		53.36111		36.05536		36		90.3319		48.03688		48		57.41812
40		3.788073		3.78675		39.44065		12.93931		13.57185		56.92467		19.64283		19.63127		71.96985		54.08515		54		13.57185		39.99711		40		19.80087		90.50509		90.44466		47.44018		57.12196		57.3795		41.14406		36.06385		36		90.38709		48.03737		48		57.42464
41		3.787897		3.78675		39.37275		13.14953		13.65408		56.90466		19.86995		20.01916		72.33517		54.09196		54		13.65408		39.9778		40		19.7041		90.43467		90.44375		47.44535		57.2882		57.28108		76.77466		36.07957		36		90.48601		48.02629		48		57.28647
42		3.786939		3.78675		38.89901		12.83035		13.0823		56.50788		19.70252		19.70922		72.13295		54.0443		54		13.0823		39.97658		40		19.69797		90.66253		90.50365		47.4095		57.22081		57.4338		30.61518		36.05737		36		90.35733		48.02577		48		57.28033
43		3.78825		3.78675		39.51851		13.02348		13.48092		56.73434		19.79528		19.59001		72.05452		54.07748		54		13.48092		40.03185		40		19.97491		90.39916		90.36983		47.39748		57.19343		57.30914		48.32583		36.05381		36		90.33981		48.02197		48		57.23317
44		3.788531		3.78675		39.679		13.19009		13.48448		56.73571		19.96693		19.99353		72.28471		54.07772		54		13.48448		39.97109		40		19.67052		90.35399		90.34599		47.3988		57.17358		57.28066		47.87195		36.0827		36		90.51719		48.02927		48		57.32481
