Trend data for Model:	
Model time base:		36
Plot duration (secs):		14292

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.787517		3.78675		38.40424		12.33889		11.58952		54		22.98291		22.80322		80.91924		53.01705		54		11.58952		43.5455		40		22.80322		87.02058		87.08086		44.90659		58.74513		59.11453		50.4388		35.84873		35.85		87.08086		47.68623		47.69		59.11453
36		3.78632		3.78675		37.62396		12.21414		11.7443		54.42386		23.48669		23.22952		80.39939		53.03667		54		11.7443		43.62432		40		23.32848		87.1778		87.12084		44.8772		59.05398		58.8235		90.22937		35.81995		35.85		86.90818		47.68363		47.69		59.07787
72		3.787535		3.78675		38.3092		12.04002		12.18953		53.90473		23.3524		23.44727		80.80269		53.08056		54		12.18953		43.56408		40		23.15638		86.98938		87.06766		44.78682		58.63005		58.95337		79.67151		35.84982		35.85		87.08975		47.69146		47.69		59.17414
108		3.791954		3.78675		40.49137		12.28094		11.83322		54.30712		23.24591		23.26667		80.60509		53.0576		54		11.83322		43.4915		40		22.92119		86.88848		87.16516		44.85845		59.05976		59.04857		52.14726		35.85636		35.85		87.13264		47.68045		47.69		59.03399
144		3.785722		3.78675		37.4063		11.83471		11.47313		53.95998		23.34364		23.093		80.31192		53.0343		54		11.47313		43.52005		40		23.19197		87.04077		87.21702		44.80044		59.18372		58.984		83.92477		35.86266		35.85		87.1709		47.69063		47.69		59.1604
180		3.783737		3.78675		36.35304		11.90064		12.23195		53.7406		23.34163		23.3398		80.91709		53.10423		54		12.23195		43.55328		40		23.48591		86.94927		86.99049		44.73871		59.04153		59.42411		0		35.85823		35.85		87.14141		47.68573		47.69		59.097
216		3.785187		3.78675		37.07528		11.88889		12.50357		53.80888		23.23243		23.68545		81.62038		53.13355		54		12.50357		43.55163		40		23.60481		87.0255		86.93915		44.66547		59.44822		59.11869		49.93032		35.82141		35.85		86.91447		47.68699		47.69		59.11128
252		3.788778		3.78675		38.86477		11.3904		10.63257		52.04626		23.61871		23.54984		81.44161		52.98445		54		10.63257		43.59228		40		23.936		90.17765		90.60979		46.40546		58.51428		59.00443		9.878365		35.83461		35.3		90.52453		47.67708		47.69		58.98331
288		3.783282		3.78675		36.03722		8.547777		9.57543		46.54888		23.4032		23.58285		81.74568		52.90424		54		9.57543		43.4855		40		23.52776		91.65319		91.45251		46.24917		59.31095		59.29308		26.59249		35.79242		35.3		91.41525		47.6894		47.69		59.13562
324		3.78749		3.78675		37.89416		6.771654		7.103329		40.71945		23.74241		23.74414		81.72551		52.70737		54		7.103329		43.50929		40		23.77334		92.27133		92.41898		46.1566		59.10418		59.1917		36.0166		35.78144		35.3		92.41043		47.68004		47.69		59.01514
360		3.786542		3.78675		37.47605		5.168972		5.405772		36.1308		23.78079		23.58025		81.55888		52.57592		54		5.405772		43.52599		40		23.98271		93.14573		93.22463		46.1192		59.53034		59.41715		9.765016		35.74126		35.3		93.15622		47.69164		47.69		59.16193
396		3.787383		3.78675		37.93255		4.433405		4.659636		32.87606		23.79019		23.66996		81.90084		52.52433		54		4.659636		43.45423		40		23.74861		93.75762		93.82403		46.201		59.29531		58.96477		96.89994		35.7018		35.3		93.82443		47.67441		47.69		58.94511
432		3.785559		3.78675		36.99094		3.549461		3.217477		29.69738		24.80772		24.86589		84.67225		52.41519		54		3.217477		43.72102		40		25.21377		94.27902		94.36833		46.30469		59.22994		58.73229		100		35.6532		35.3		94.35687		47.67776		47.69		58.98279
468		3.783644		3.78675		36.10256		3.082679		2.473929		27.46566		26.12277		26.22092		89.39375		52.36462		54		2.473929		43.86721		40		26.08319		94.99054		94.96062		46.41084		58.00496		58.63628		35.29954		35.62234		35.3		94.9259		47.65454		47.69		58.6761
504		3.788321		3.78675		38.4951		2.494219		2.022951		25.02166		27.42746		27.58025		92.81651		52.33857		54		2.022951		44.12451		40		27.51719		95.43518		95.58627		46.58984		58.88884		58.1411		100		35.59575		35.3		95.45478		47.63597		47.69		58.41847
540		3.788598		3.78675		38.58376		2.481008		2.348366		25.07999		28.69464		28.88062		96.33701		52.37731		54		2.348366		44.39176		40		29.00975		95.89133		95.98544		46.75897		57.60427		57.90938		0		35.5849		35.3		96.00947		47.60579		47.69		58.0037
576		3.7883		3.78675		38.64481		2.719612		2.987766		26.25079		29.81993		29.95212		99.25112		52.44211		54		2.987766		44.60542		40		29.87317		96.18553		96.35651		47.07947		57.7121		57.70852		44.98466		35.5423		35.3		96.32283		47.57387		47.69		57.55731
612		3.787626		3.78675		38.42875		2.793177		2.30303		26.01058		29.88232		29.59008		99.3572		52.39639		54		2.30303		44.80761		40		29.6758		96.74897		96.77063		47.299		57.38935		57.34846		14.48313		35.52492		35.3		96.73854		47.55059		47.69		57.20958
648		3.78616		3.78675		37.91286		2.697501		2.713661		26.29765		29.6429		29.81564		99.92785		52.44187		54		2.713661		45.02197		40		29.7594		97.1633		97.18817		47.52045		56.95974		57.21498		10.25192		35.50545		35.3		97.10341		47.55022		47.69		57.14135
684		3.785188		3.78675		37.36807		3.112633		3.071201		27.63792		29.33186		29.81196		100		52.48266		54		3.071201		45.16697		40		29.65752		97.40216		97.38002		47.84497		57.54484		56.7009		85.75228		35.49315		35.3		97.46294		47.51269		47.69		56.59443
720		3.787338		3.78675		38.63378		3.149013		3.335377		27.97323		29.25606		29.88354		100		52.5156		54		3.335377		45.33537		40		29.57106		97.68409		97.68946		48.05052		56.21017		56.43786		0.8481452		35.47589		35.3		97.7599		47.49221		47.69		56.25392
756		3.789002		3.78675		39.75657		3.49261		3.213681		29.8436		29.03963		29.78908		99.95291		52.51602		54		3.213681		45.46492		40		29.73615		98.12795		98.17884		48.44987		56.11489		55.95865		85.39177		35.46517		35.3		98.06604		47.47748		47.69		55.97874
792		3.79064		3.78675		40.83314		4.060963		3.906239		31.77398		28.84096		29.47517		99.59894		52.5839		54		3.906239		45.52567		40		29.77956		98.32952		98.32932		48.86681		56.27373		55.81703		65.53549		35.45187		35.3		98.33439		47.48179		47.69		55.93784
828		3.785722		3.78675		38.19475		4.505046		4.658268		33.56796		28.84473		29.66148		99.98395		52.65642		54		4.658268		45.56935		40		29.46706		98.61788		98.58086		49.16958		55.77904		55.63404		49.67573		35.44656		35.3		98.61267		47.4632		47.69		55.60104
864		3.787374		3.78675		39.15493		4.677617		4.63771		34.18779		28.61964		29.70346		100		52.66438		54		4.63771		45.66093		40		29.81104		98.66351		98.94336		49.50262		55.21904		55.3613		12.29687		35.42655		35.3		98.78908		47.44602		47.69		55.27694
900		3.784789		3.78675		38.0482		5.156657		4.310091		35.34592		28.59931		29.52037		100		52.64653		54		4.310091		45.66856		40		29.5379		99.04537		98.98503		49.84185		54.89898		54.93222		36.15694		35.4313		35.3		99.08589		47.44664		47.69		55.17208
936		3.78609		3.78675		38.77818		5.311568		5.26855		36.87318		28.5851		29.64169		99.85113		52.73559		54		5.26855		45.70253		40		29.81929		99.19914		99.17089		50.10069		54.56521		54.63869		95.89705		35.42597		35.3		99.29932		47.42532		47.69		54.78705
972		3.787563		3.78675		39.56297		5.814236		5.021674		36.99673		28.55431		29.71551		100		52.72403		54		5.021674		45.71431		40		29.73392		99.13091		99.2466		50.36805		54.62559		54.32951		100		35.40327		35.3		99.38748		47.43559		47.69		54.79621
1008		3.786916		3.78675		39.25235		5.906762		5.092317		37.83945		28.4819		29.46384		99.90989		52.73871		54		5.092317		45.71232		40		29.80417		99.29615		99.53543		50.68747		55.1226		54.37478		89.60157		35.37894		35.3		99.4417		47.4278		47.69		54.57403
1044		3.787102		3.78675		39.46861		5.749266		5.035512		37.936		28.40395		29.56617		100		52.74262		54		5.035512		45.67736		40		29.53558		99.66729		99.51914		50.83309		54.12956		54.09212		77.76195		35.36294		35.3		99.52862		47.41889		47.69		54.33425
1080		3.78538		3.78675		38.6165		6.247204		6.195314		40.05787		28.44708		29.56508		100		52.8476		54		6.195314		45.64028		40		29.53045		99.7223		99.68578		51.24125		54.30479		54.02965		34.29749		35.37919		35.3		99.78408		47.36964		47.69		53.58347
1116		3.78993		3.78675		40.9608		6.71525		5.799846		40.1758		28.42488		29.51705		100		52.82284		54		5.799846		45.6383		40		29.72341		99.68906		99.95544		51.57965		54.02033		53.7703		46.87728		35.37824		35.3		99.91951		47.40301		47.69		53.87162
1152		3.785761		3.78675		38.88734		6.656388		7.311901		41.88384		28.40909		29.33584		100		52.9568		54		7.311901		45.5129		40		29.29598		99.94903		99.81008		51.71834		53.36828		53.45895		73.26658		35.33832		35.3		99.80268		47.40446		47.69		53.75637
1188		3.785019		3.78675		38.66625		7.196615		7.691901		42.78683		28.34194		28.94267		100		52.99619		54		7.691901		45.45115		40		29.1842		99.79838		100.0512		52.07937		53.03236		53.69625		0.6337911		35.34865		35.3		99.97461		47.39617		47.69		53.51733
1224		3.784793		3.78675		38.61308		7.675438		8.338228		44.39231		28.42016		28.96039		100		53.05742		54		8.338228		45.30819		40		28.6615		99.99858		99.9843		52.6088		53.49459		53.30801		83.72472		35.33799		35.3		100.005		47.4126		47.69		53.59004
1260		3.785346		3.78675		38.96437		7.847638		8.271183		44.62394		28.32916		28.0385		99.42924		53.05893		54		8.271183		45.23164		40		28.46731		100.1037		100.0371		52.95512		53.7135		53.35106		39.42039		35.32599		35.3		100.0105		47.3876		47.69		53.14136
1296		3.785691		3.78675		39.21999		8.021957		6.689235		44.64808		27.78941		27.56218		98.0832		52.93408		54		6.689235		45.03724		40		27.67812		100.0013		99.93694		53.01776		53.16876		53.32092		0		35.30259		35.3		99.93536		47.39951		47.69		53.15746
1332		3.789136		3.78675		41.0292		8.652503		8.049444		46.43871		27.10515		27.17333		96.52136		53.05412		54		8.049444		44.85211		40		26.92944		99.87524		100.1374		53.54287		53.30421		53.15855		52.92391		35.3199		35.3		100.0883		47.41119		47.69		53.17287
1368		3.784291		3.78675		38.65669		8.732119		8.778912		47.23714		26.43298		26.49215		94.22715		53.12137		54		8.778912		44.77327		40		26.70754		99.99036		100.113		53.65951		53.07926		52.79056		100		35.30406		35.3		100.0295		47.39088		47.69		52.78617
1404		3.783502		3.78675		38.32111		8.937611		9.78145		48.20781		25.77957		25.8926		92.17451		53.21119		54		9.78145		44.55912		40		25.80173		100.1002		100.0176		53.95868		52.87635		52.95266		3.048979		35.30956		35.3		100.0883		47.41064		47.69		52.9055
1440		3.785589		3.78675		39.48857		9.133479		9.030212		48.01134		25.03732		24.83651		89.44689		53.15464		54		9.030212		44.36186		40		24.97438		100.2282		100.0758		54.23058		52.87564		52.78895		36.76733		35.31049		35.3		100.1103		47.42789		47.69		52.99595
1476		3.7867		3.78675		40.16092		9.690793		10.16163		49.92504		24.42245		24.32251		87.44324		53.25478		54		10.16163		44.146		40		24.04769		100.0091		100.004		54.61623		52.69799		52.70483		46.41166		35.29614		35.3		100.0298		47.40644		47.69		52.60165
1512		3.786219		3.78675		39.86008		9.896473		9.952311		50.37482		23.85854		23.23527		84.47197		53.24289		54		9.952311		44.0609		40		23.7697		100.0735		99.99236		55.0551		52.86661		52.69527		100		35.29996		35.3		100.0432		47.41595		47.69		52.60022
