Trend data for Model:	
Model time base:		1
Plot duration (secs):		7186

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.787517		3.78675		38.40424		12.33889		11.58952		54		22.98291		22.80322		80.91924		53.01705		54		11.58952		43.5455		40		22.80322		87.02058		87.08086		44.90659		58.74513		59.11453		50.4388		35.84873		35.85		87.08086		47.68623		47.69		59.11453
1		3.78961		3.78675		39.47926		12.18991		12.26768		54.15452		23.13208		23.20581		80.55158		53.07376		54		12.26768		43.66067		40		23.38387		87.16278		87.16276		44.91075		58.84351		59.0648		45.79293		35.86223		35.85		87.16238		47.67017		47.69		58.91206
2		3.787556		3.78675		38.46933		11.95001		12.21923		54.27889		23.35387		23.31409		80.48414		53.06991		54		12.21923		43.67876		40		23.47813		87.27039		87.2455		44.88338		58.84763		59.11645		32.50079		35.85608		35.85		87.12543		47.68106		47.69		59.0493
3		3.785053		3.78675		37.21851		12.36883		11.52775		54.05256		23.28092		23.06542		80.16775		53.01247		54		11.52775		43.58756		40		23.02484		87.01813		87.1294		44.90374		58.87092		58.92052		72.61016		35.84759		35.85		87.07509		47.69935		47.69		59.27961
4		3.787452		3.78675		38.39598		12.18032		12.48567		54.66196		23.04496		23.10185		80.39182		53.09248		54		12.48567		43.67022		40		23.44259		87.15947		87.07875		44.87029		58.96031		59.04028		71.90738		35.85294		35.85		87.10731		47.68255		47.69		59.06787
5		3.786779		3.78675		38.07625		12.32645		12.43361		54.52726		23.39214		23.14646		80.16812		53.08833		54		12.43361		43.6173		40		23.1811		87.08719		87.02731		44.87238		59.09299		58.98781		78.61419		35.8678		35.85		87.19696		47.68439		47.69		59.091
6		3.787516		3.78675		38.43714		12.23159		11.27351		53.87352		23.05244		23.13563		80.40836		52.99184		54		11.27351		43.63395		40		23.26815		87.20611		87.20757		44.88674		59.21137		58.95022		100		35.83594		35.85		87.00592		47.68509		47.69		59.09976
7		3.7869		3.78675		38.15658		11.96091		13.02204		54.97794		23.279		23.15626		80.24716		53.13773		54		13.02204		43.58291		40		23.01604		87.11812		87.13831		44.8757		59.20263		59.23522		27.67254		35.85835		35.85		87.14017		47.6894		47.69		59.15392
8		3.786532		3.78675		37.96982		12.1957		12.81344		54.91345		23.06971		22.86809		80.01994		53.12054		54		12.81344		43.5737		40		22.97348		87.13698		87.02422		44.83443		59.23308		59.11846		47.60848		35.8595		35.85		87.14689		47.69354		47.69		59.20604
9		3.787214		3.78675		38.31934		12.36721		11.92738		54.41912		23.10045		22.96857		80.14047		53.04689		54		11.92738		43.58684		40		23.04293		86.96838		87.20024		44.90823		59.31025		59.03277		83.91556		35.85388		35.85		87.11387		47.682		47.69		59.06053
10		3.786255		3.78675		37.85923		12.24007		11.3674		53.79511		23.16935		23.31465		80.41502		53.00041		54		11.3674		43.68605		40		23.54361		87.16627		87.1218		44.87743		59.19735		58.97939		76.41171		35.86916		35.85		87.20627		47.69142		47.69		59.17914
11		3.784798		3.78675		37.10056		12.1626		11.85967		54.16392		23.37935		23.09422		79.95322		53.04162		54		11.85967		43.64156		40		23.32433		87.14264		87.12497		44.87478		59.23794		58.96845		89.05129		35.8438		35.85		87.05431		47.68856		47.69		59.14303
12		3.788835		3.78675		39.11013		12.27553		10.84145		53.46021		23.05327		23.30392		80.49504		52.95696		54		10.84145		43.6422		40		23.33117		87.02492		87.09599		44.88352		59.24773		59.31219		23.82034		35.8697		35.85		87.20977		47.68315		47.69		59.07487
13		3.785768		3.78675		37.6033		11.79731		11.7682		54.08541		23.24346		23.13621		80.1733		53.03437		54		11.7682		43.60375		40		23.14211		87.36973		87.12406		44.82235		59.20094		58.91238		98.03747		35.86589		35.85		87.18734		47.6817		47.69		59.05652
14		3.784317		3.78675		36.83985		11.94829		12.04559		54.57885		23.05652		23.42775		80.69961		53.05767		54		12.04559		43.63061		40		23.28035		87.19727		87.15465		44.82011		59.1292		58.95291		76.60163		35.83263		35.85		86.9876		47.68508		47.69		59.09899
15		3.787238		3.78675		38.29296		12.55716		12.14924		54.43958		23.3005		23.14851		80.30809		53.0665		54		12.14924		43.59024		40		23.0817		86.82575		87.20002		44.90678		59.13752		59.12581		42.40822		35.86487		35.85		87.18128		47.68863		47.69		59.14373
16		3.78646		3.78675		37.93679		12.00231		10.9568		54.03309		23.05836		23.14486		80.44117		52.96731		54		10.9568		43.58996		40		23.0839		87.30694		87.17714		44.84658		59.15098		59.23619		2.791638		35.85912		35.85		87.14727		47.67789		47.69		59.0082
17		3.782168		3.78675		35.74808		11.91486		11.89323		54.33864		23.18289		23.12775		80.33569		53.04554		54		11.89323		43.55913		40		22.93308		87.17061		87.05909		44.82102		59.25291		59.17738		37.89981		35.83748		35.85		87.01738		47.67908		47.69		59.02324
18		3.789279		3.78675		39.29898		12.20997		10.95942		53.80268		23.06523		23.24945		80.5689		52.96791		54		10.95942		43.60399		40		23.16143		87.03073		87.12578		44.85123		59.21166		59.12338		44.73955		35.85292		35.85		87.10999		47.67676		47.69		58.99389
19		3.787216		3.78675		38.33067		12.0627		11.96345		53.9827		23.25418		23.21858		80.36524		53.05177		54		11.96345		43.59886		40		23.13936		87.1567		87.07841		44.83456		59.12558		59.33554		0		35.85964		35.85		87.15075		47.68508		47.69		59.09861
20		3.786447		3.78675		37.90189		11.79154		12.59221		54.08432		23.11363		23.30271		80.724		53.10436		54		12.59221		43.63591		40		23.32859		87.28076		87.07943		44.78478		59.07914		59.16912		23.05336		35.83238		35.85		86.98662		47.68288		47.69		59.07088
21		3.790309		3.78675		39.85387		11.96567		12.46896		54.26677		23.36602		23.03694		80.14832		53.09428		54		12.46896		43.57059		40		23.00496		86.95846		87.1782		44.84555		59.0999		59.18222		0		35.87132		35.85		87.22044		47.68067		47.69		59.04278
22		3.782977		3.78675		36.22069		11.96053		12.48635		54.52384		23.01438		22.90443		80.28306		53.09591		54		12.48635		43.59349		40		23.12331		87.39327		87.00793		44.73815		59.18221		59.05565		51.22854		35.8651		35.85		87.18369		47.6778		47.69		59.00643
23		3.785395		3.78675		37.3539		11.98502		12.84635		54.87754		23.25055		23.11628		80.22991		53.1261		54		12.84635		43.59164		40		23.1176		87.02029		87.1261		44.79859		59.15322		59.19367		31.03852		35.83407		35.85		86.99718		47.68282		47.69		59.06975
24		3.786043		3.78675		37.72195		12.18106		12.52076		54.95427		23.10817		23.40184		80.69696		53.09915		54		12.52076		43.63201		40		23.32349		86.99514		87.23895		44.84348		59.1822		59.09006		60.33471		35.84601		35.85		87.06897		47.68034		47.69		59.03828
25		3.78524		3.78675		37.30873		12.66023		12.47344		54.60762		23.22145		23.3034		80.60657		53.09539		54		12.47344		43.5965		40		23.14919		86.84291		86.99062		44.841		59.14494		58.98726		76.30599		35.86425		35.85		87.17791		47.68606		47.69		59.11029
26		3.784945		3.78675		37.15405		11.99866		12.49504		54.76351		23.15202		23.19844		80.48399		53.09737		54		12.49504		43.60911		40		23.21601		87.21176		87.00909		44.7983		59.15814		59.24907		27.13374		35.85029		35.85		87.09386		47.67848		47.69		59.01465
27		3.785417		3.78675		37.37478		12.28312		12.6151		54.97776		23.22819		22.99645		80.1529		53.10756		54		12.6151		43.65085		40		23.42871		86.94416		87.01111		44.83475		59.06033		59.0077		55.64735		35.87161		35.85		87.22152		47.68755		47.69		59.12893
28		3.782741		3.78675		36.00062		12.41133		12.07282		54.48058		23.29496		22.99779		80.06546		53.06256		54		12.07282		43.5863		40		23.10892		87.15177		87.00935		44.80503		59.14626		58.86689		100		35.83827		35.85		87.02095		47.68033		47.69		59.03772
29		3.786461		3.78675		37.83567		12.05792		11.90118		54.2953		23.05077		23.19793		80.5006		53.04844		54		11.90118		43.62831		40		23.32301		87.00656		87.11694		44.84708		59.13799		58.96664		79.6778		35.84609		35.85		87.06713		47.67681		47.69		58.99331
30		3.788525		3.78675		38.88999		12.08344		12.70426		54.67865		23.29694		23.30947		80.51964		53.11555		54		12.70426		43.58876		40		23.12847		87.15234		87.07119		44.812		59.07966		58.99362		64.72305		35.853		35.85		87.10848		47.68629		47.69		59.11269
31		3.783814		3.78675		36.50088		11.98786		10.51148		53.68349		23.11817		23.44055		80.87379		52.93301		54		10.51148		43.64356		40		23.40669		87.0863		87.06929		44.82118		59.06759		59.0065		64.10824		35.85607		35.85		87.12723		47.67775		47.69		59.00497
32		3.785559		3.78675		37.36982		11.91261		12.61403		54.58387		23.35448		23.24909		80.60057		53.10841		54		12.61403		43.57199		40		23.05172		87.1953		87.10799		44.7903		59.0577		58.96159		71.80801		35.84047		35.85		87.0329		47.67185		47.69		58.93047
33		3.786875		3.78675		38.0188		12.28279		12.44771		54.70722		23.12199		23.23485		80.69418		53.09474		54		12.44771		43.63444		40		23.36822		86.88587		87.03607		44.83076		58.96911		59.01631		43.26091		35.8435		35.85		87.05086		47.67005		47.69		58.9077
34		3.785665		3.78675		37.42198		11.99092		12.32534		54.47045		23.38318		23.13297		80.35635		53.08473		54		12.32534		43.5874		40		23.13614		87.19747		87.02534		44.78387		58.86549		59.13038		4.843782		35.87473		35.85		87.23839		47.69308		47.69		59.19768
35		3.786042		3.78675		37.59806		12.11761		11.67096		54.14648		23.13389		23.38936		80.89877		53.03039		54		11.67096		43.61302		40		23.26814		87.12737		87.02622		44.79229		58.93885		59.26621		0		35.8579		35.85		87.13752		47.67981		47.69		59.03043
36		3.784378		3.78675		36.75967		11.90729		11.5539		53.84975		23.38006		23.30944		80.62603		53.02083		54		11.5539		43.65127		40		23.46342		87.1134		87.0175		44.78933		59.02681		58.98119		74.79954		35.83658		35.85		87.00941		47.7027		47.69		59.31877
37		3.786903		3.78675		37.99847		12.14299		10.87853		53.53297		23.30116		23.36514		80.68515		52.96473		54		10.87853		43.6258		40		23.3394		87.01509		87.10233		44.81693		59.15382		58.85918		100		35.83231		35.85		86.98353		47.68354		47.69		59.07729
38		3.787592		3.78675		38.35285		12.06602		12.27598		53.82573		23.26174		23.1582		80.48474		53.08138		54		12.27598		43.61234		40		23.27562		87.05585		87.14817		44.82572		59.29174		59.03654		95.88056		35.84149		35.85		87.03833		47.69548		47.69		59.22756
39		3.785378		3.78675		37.23339		11.74456		12.72314		54.16744		23.32259		23.33679		80.56379		53.11883		54		12.72314		43.63004		40		23.36791		87.23064		87.04069		44.76241		59.32929		59.07167		68.89679		35.84264		35.85		87.04514		47.67825		47.69		59.0104
40		3.788243		3.78675		38.6524		12.11138		10.65597		53.29957		23.25274		23.6015		81.00062		52.94676		54		10.65597		43.57778		40		23.10972		86.90976		87.08348		44.81943		59.28141		58.96713		61.72954		35.84006		35.85		87.02943		47.6931		47.69		59.19747
41		3.791025		3.78675		40.08641		11.60026		12.66273		54.33269		23.17318		23.23982		80.75136		53.11417		54		12.66273		43.62813		40		23.36559		87.18552		87.20979		44.81572		59.24175		59.11219		27.2017		35.87112		35.85		87.21686		47.6694		47.69		58.89868
42		3.783707		3.78675		36.46569		11.77246		12.06942		54.03866		23.37034		23.11155		80.39754		53.06492		54		12.06942		43.62016		40		23.32929		87.29483		87.10075		44.77405		59.1843		59.08915		24.0295		35.85891		35.85		87.14495		47.67729		47.69		58.99797
