Trend data for Model:	
Model time base:		1
Plot duration (secs):		194

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.788591		3.78675		40.26914		11.98095		11.93585		54		23.03056		23.0245		79.52148		53.98228		54		11.93585		40.0258		40		23.0245		98.22828		98.40504		54.93191		52.80363		53		62.65106		35.31006		35.3		98.40504		48.52017		48.51		53
1		3.790528		3.78675		41.2603		11.41232		11.62784		54.19148		23.01823		22.99227		79.43452		53.94511		54		11.62784		39.97551		40		22.89926		98.57633		98.35431		54.92171		52.88364		53		42.86499		35.32106		35.3		98.56408		48.5175		48.51		52.87931
2		3.788653		3.78675		40.41537		11.49294		11.50775		54.36983		22.98811		23.05795		79.49214		53.93064		54		11.50775		39.99905		40		22.95786		98.60295		98.42121		54.92657		52.99863		53		52.36564		35.3325		35.3		98.73095		48.50102		48.51		52.71456
3		3.786774		3.78675		39.49667		11.60844		12.46827		54.85246		22.99161		22.91245		79.32675		54.04669		54		12.46827		40.00779		40		22.97961		98.66209		98.51585		54.92949		53.09666		53		61.24874		35.31239		35.3		98.44329		48.51811		48.51		52.88547
4		3.789743		3.78675		40.99874		11.69083		12.13764		54.76696		22.98472		23.01312		79.40802		54.0068		54		12.13764		39.96027		40		22.86124		98.43024		98.36761		54.93106		53.22433		53		73.80247		35.32564		35.3		98.63553		48.51674		48.51		52.87173
5		3.787234		3.78675		39.7859		11.72512		11.8367		54.82752		22.89898		22.905		79.34226		53.97047		54		11.8367		40.00822		40		22.98063		98.45915		98.17931		54.88637		53.19143		53		72.64059		35.30856		35.3		98.39031		48.51849		48.51		52.88929
6		3.788394		3.78675		40.41193		11.70021		11.60138		54.62345		23.01727		22.97403		79.32033		53.94212		54		11.60138		39.96896		40		22.88287		98.43927		98.60933		54.97654		53.09754		53		65.86048		35.32347		35.3		98.60669		48.52768		48.51		52.98127
7		3.790675		3.78675		41.59782		11.61682		11.82125		55.04378		22.90656		23.02258		79.46828		53.96868		54		11.82125		39.98839		40		22.93121		98.53573		98.62886		54.96719		53.03401		53		60.86971		35.32946		35.3		98.69468		48.51086		48.51		52.81318
8		3.786816		3.78675		39.72194		11.90686		11.41087		54.82378		23.00595		23.0791		79.46991		53.91916		54		11.41087		39.96789		40		22.88018		98.41683		98.38768		54.96391		53.01538		53		59.35611		35.31073		35.3		98.42672		48.53301		48.51		53.03472
9		3.785933		3.78675		39.25168		11.65338		12.06142		55.24062		22.88759		22.92139		79.41154		53.99775		54		12.06142		39.9633		40		22.8687		98.51789		98.23418		54.8996		53.0533		53		62.79932		35.28719		35.3		98.08767		48.53067		48.51		53.01133
10		3.791104		3.78675		41.89269		11.76944		11.83569		55.07503		22.94122		22.92688		79.35505		53.97053		54		11.83569		40.00805		40		22.98013		98.21181		98.22693		54.9157		53.09239		53		66.66087		35.31586		35.3		98.50046		48.52317		48.51		52.93634
11		3.786634		3.78675		39.71271		11.81159		12.54254		55.43245		23.02436		22.91401		79.24466		54.05592		54		12.54254		40.00055		40		22.96144		98.53885		98.40053		54.92356		53.02229		53		60.83926		35.3157		35.3		98.49988		48.52957		48.51		53.00041
12		3.785693		3.78675		39.20984		11.78566		12.23268		55.512		22.9123		23.04282		79.48506		54.01851		54		12.23268		39.98525		40		22.92334		98.39929		98.28272		54.89731		53.06765		53		64.86964		35.30997		35.3		98.41756		48.50065		48.51		52.7112
13		3.790944		3.78675		41.88307		12.0638		11.28554		55.14181		22.94651		22.87144		79.26137		53.90413		54		11.28554		40.0571		40		23.10225		98.03183		98.50269		55.01393		53.03339		53		62.31606		35.31547		35.3		98.49699		48.49844		48.51		52.68917
14		3.788338		3.78675		40.67263		12.09126		11.38813		54.99863		23.03476		23.00626		79.28657		53.91655		54		11.38813		39.9969		40		22.95232		98.27647		98.46871		55.02358		53.04206		53		63.2161		35.31737		35.3		98.52585		48.50825		48.51		52.7873
15		3.785098		3.78675		39.01215		11.80284		11.20482		54.79337		22.92432		23.08297		79.49831		53.89446		54		11.20482		39.9857		40		22.92448		98.47116		98.2998		54.97038		53.0087		53		60.34294		35.28933		35.3		98.12247		48.52206		48.51		52.9254
16		3.789934		3.78675		41.42554		11.86023		12.1459		55.27118		22.98272		22.98734		79.39869		54.00812		54		12.1459		40.02772		40		23.02914		98.22941		98.35653		54.9915		52.98617		53		58.49164		35.2976		35.3		98.24101		48.51347		48.51		52.83961
17		3.788152		3.78675		40.6202		11.90173		12.19087		55.33648		22.97557		22.98982		79.41722		54.01357		54		12.19087		39.95687		40		22.85274		98.38823		98.37522		54.98984		53.06434		53		65.53799		35.31572		35.3		98.50324		48.50245		48.51		52.7294
18		3.784397		3.78675		38.69303		11.90006		11.86604		55.26369		22.8777		23.04216		79.562		53.97435		54		11.86604		40.00029		40		22.96086		98.39931		98.0767		54.91498		52.98669		53		58.78576		35.30833		35.3		98.3969		48.52154		48.51		52.9204
19		3.790936		3.78675		41.9975		11.86739		11.81874		55.20499		23.0252		22.80162		79.14334		53.96867		54		11.81874		40.0078		40		22.97953		98.18		98.50988		55.05536		53.00514		53		60.35449		35.32397		35.3		98.62326		48.49747		48.51		52.67964
20		3.786481		3.78675		39.85044		12.00159		12.33182		55.48541		22.92567		22.87557		79.2347		54.03064		54		12.33182		39.9928		40		22.94213		98.49065		98.4531		55.02887		52.99994		53		59.84215		35.29609		35.3		98.22308		48.51377		48.51		52.84273
21		3.783022		3.78675		38.05922		11.90128		11.46047		54.92528		22.93782		23.01573		79.37848		53.92546		54		11.46047		40.06867		40		23.13108		98.26477		98.10538		54.98571		53.06922		53		66.00247		35.28425		35.3		98.05228		48.53054		48.51		53.01041
22		3.78915		3.78675		41.14434		11.90556		12.11984		54.97757		22.99271		23.05459		79.39145		54.00514		54		12.11984		39.98318		40		22.91819		98.22724		98.39055		55.02406		53.03291		53		63.21693		35.28946		35.3		98.12647		48.51307		48.51		52.83582
23		3.787054		3.78675		40.13753		11.7201		11.43181		54.68144		22.87718		22.91174		79.34426		53.92209		54		11.43181		39.96256		40		22.86682		98.46322		98.44986		54.99798		53.07494		53		67.38698		35.30288		35.3		98.32043		48.5009		48.51		52.71406
24		3.78801		3.78675		40.59819		11.71865		12.29867		55.20407		22.92558		22.95507		79.37609		54.02679		54		12.29867		40.02004		40		23.00995		98.46644		98.19169		54.91623		53.00706		53		61.64786		35.31071		35.3		98.43329		48.52095		48.51		52.91463
25		3.787513		3.78675		40.35966		11.84213		12.07243		55.15046		23.00749		23.06462		79.50138		53.99949		54		12.07243		40.01395		40		22.99488		98.33278		98.33225		54.95094		52.95732		53		57.117		35.29942		35.3		98.27067		48.51674		48.51		52.87256
26		3.785486		3.78675		39.3859		11.83732		12.58089		55.19274		23.00897		23.122		79.59028		54.06095		54		12.58089		40.04518		40		23.07275		98.36188		98.3964		54.96313		52.98121		53		59.13005		35.31794		35.3		98.53841		48.50976		48.51		52.80278
27		3.786067		3.78675		39.63898		11.70295		12.22444		55.25254		23.03475		22.91221		79.29993		54.01792		54		12.22444		39.97826		40		22.90609		98.46838		98.36031		54.93014		52.9513		53		56.4393		35.30693		35.3		98.38033		48.51073		48.51		52.81252
28		3.787507		3.78675		40.39177		11.77156		11.9149		55.26945		22.8894		23.06189		79.57676		53.98055		54		11.9149		39.97999		40		22.9104		98.35059		97.99432		54.84594		53.01962		53		62.29615		35.30196		35.3		98.30802		48.52135		48.51		52.91872
29		3.788996		3.78675		41.15491		12.00274		11.60752		54.97625		22.93014		23.05262		79.58581		53.94347		54		11.60752		40.01325		40		22.99326		98.15278		98.47204		54.97688		53.00864		53		61.53179		35.29813		35.3		98.25324		48.49568		48.51		52.66205
30		3.785329		3.78675		39.34302		11.79817		12.21057		55.26851		22.96138		22.9531		79.52661		54.01632		54		12.21057		40.05007		40		23.08505		98.37707		98.452		54.96477		53.00769		53		61.33714		35.31907		35.3		98.55624		48.52108		48.51		52.91604
31		3.786778		3.78675		40.06042		11.76802		11.56159		54.92		23.07096		22.9636		79.44961		53.93799		54		11.56159		40.01686		40		23.00242		98.41785		98.219		54.8843		52.95221		53		56.55025		35.28485		35.3		98.06255		48.49749		48.51		52.68019
32		3.785425		3.78675		39.4002		11.66951		12.30499		55.23183		22.98192		22.96856		79.53157		54.02781		54		12.30499		40.03848		40		23.05633		98.35987		98.13004		54.86062		53.05321		53		64.94539		35.29984		35.3		98.27862		48.51775		48.51		52.8828
33		3.78787		3.78675		40.62209		11.7916		11.54811		55.18545		23.06441		22.9831		79.48833		53.9364		54		11.54811		40.02551		40		23.02411		98.38195		98.3051		54.87623		53.00122		53		60.58908		35.29879		35.3		98.26368		48.51082		48.51		52.81347
34		3.788498		3.78675		40.95668		11.88652		12.9443		55.98391		22.9433		22.93318		79.51038		54.10501		54		12.9443		40.02012		40		23.01071		98.27407		98.73617		54.98791		52.98384		53		59.07286		35.3074		35.3		98.38838		48.51497		48.51		52.855
35		3.785785		3.78675		39.60835		12.07123		11.60174		55.17825		23.02519		23.07416		79.52804		53.94291		54		11.60174		40.01191		40		22.99028		98.22831		98.36155		54.96232		53.00354		53		60.87553		35.3003		35.3		98.28704		48.51126		48.51		52.81791
36		3.787732		3.78675		40.58492		11.82976		12.12035		55.20259		23.00114		23.10476		79.62854		54.00559		54		12.12035		40.02552		40		23.02427		98.29753		98.23105		54.93168		52.98227		53		59.037		35.29119		35.3		98.15571		48.51267		48.51		52.83196
37		3.785454		3.78675		39.44113		11.80133		11.55643		54.85374		23.04246		22.99485		79.47881		53.93754		54		11.55643		39.99379		40		22.94528		98.32029		98.23594		54.91398		52.98332		53		59.01778		35.30579		35.3		98.36608		48.50761		48.51		52.7814
38		3.786878		3.78675		40.14969		11.7976		12.32815		55.27508		22.93374		23.06468		79.64058		54.03076		54		12.32815		40.00455		40		22.9721		98.42892		98.37662		54.8881		52.93463		53		54.50419		35.30432		35.3		98.34432		48.51262		48.51		52.83148
39		3.787894		3.78675		40.67553		11.79053		11.90663		55.20659		23.05285		22.96758		79.42616		53.97987		54		11.90663		39.97876		40		22.9079		98.26013		98.51233		54.93547		53.04362		53		63.79631		35.30726		35.3		98.38681		48.51192		48.51		52.82456
40		3.785257		3.78675		39.39145		11.93224		11.94267		55.23717		22.94849		23.04081		79.64167		53.98424		54		11.94267		39.98707		40		22.92865		98.35347		98.32196		54.90976		53.06249		53		65.56948		35.29963		35.3		98.27783		48.51399		48.51		52.84522
41		3.787412		3.78675		40.43772		11.86889		12.01344		55.26528		23.0391		22.88475		79.43444		53.99281		54		12.01344		39.99487		40		22.94813		98.26491		98.06127		54.8379		53.00135		53		60.48956		35.29568		35.3		98.2197		48.50893		48.51		52.79461
42		3.786685		3.78675		40.08601		11.91352		11.82451		54.92422		23.00425		23.00786		79.60907		53.97005		54		11.82451		40.01506		40		22.99848		98.21864		98.29255		54.90004		52.87824		50		99.00669		35.31806		35.3		98.54236		48.51056		48.51		52.81093
43		3.787161		3.78675		40.35154		11.86656		11.88972		55.12543		23.02077		23.1217		79.73787		53.97792		54		11.88972		39.99595		40		22.95096		98.39186		98.17865		54.8659		52.45024		50		83.9877		35.29724		35.3		98.24292		48.49909		48.51		52.69624
