Trend data for Model:	
Model time base:		1
Plot duration (secs):		7188

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.785193		3.78675		38.11252		14.37129		14.20725		54		20.12951		20.4657		73.45314		54.14178		54		14.20725		40.13016		40		20.4657		90.64257		90.15123		48.138		57.20578		56.96726		100		36.05567		36		90.15123		48.00153		48		56.96726
1		3.788332		3.78675		39.66781		14.26115		14.43877		59.25939		20.54172		20.36493		73.24871		54.16096		54		14.43877		40.06585		40		20.14359		90.33762		90.21366		48.10488		57.21103		57.27529		7.90599		36.07092		36		90.24687		48.01987		48		57.1967
2		3.785593		3.78675		38.33097		14.02814		14.59572		59.49281		20.12271		20.2087		73.3733		54.17389		54		14.59572		40.12301		40		20.43007		90.70473		90.36809		48.0335		57.23416		57.18163		31.85675		36.07277		36		90.26298		48.01209		48		57.09967
3		3.785387		3.78675		38.17753		14.6595		14.31369		59.26369		20.5228		20.1429		72.977		54.15023		54		14.31369		40.10171		40		20.32342		90.1569		90.20565		48.05367		57.33008		56.92919		100		36.08061		36		90.31421		48.01084		48		57.08414
4		3.789285		3.78675		40.14633		14.10697		14.11542		58.91104		20.26362		20.11109		73.08019		54.13359		54		14.11542		40.09144		40		20.27206		90.51766		90.32599		48.01807		57.27763		56.99378		80.54432		36.07841		36		90.30562		48.00615		48		57.02565
5		3.787277		3.78675		39.15712		14.04624		13.99455		58.83211		20.37126		20.0493		72.88533		54.12339		54		13.99455		40.08886		40		20.25922		90.45679		90.4392		48.01921		57.14729		57.17483		20.915		36.08941		36		90.37689		47.99766		48		56.91973
6		3.785199		3.78675		38.10028		14.00951		13.8402		58.86858		20.21955		20.31879		73.26028		54.1104		54		13.8402		40.08891		40		20.25957		90.58152		90.25707		47.92403		57.09571		56.92297		81.65543		36.07242		36		90.27967		48.00063		48		56.95696
7		3.787757		3.78675		39.36006		14.14176		14.94539		59.55559		20.22519		20.19776		73.0525		54.20233		54		14.94539		40.09859		40		20.30816		90.32322		90.34498		47.95201		57.07794		56.90278		82.56992		36.08605		36		90.36599		48.00506		48		57.0124
8		3.785732		3.78675		38.36915		14.27756		14.16226		58.99794		20.27061		20.35666		73.11046		54.13696		54		14.16226		40.06705		40		20.15022		90.36148		90.36738		47.95045		57.06729		57.00742		59.29457		36.09201		36		90.40697		48.01849		48		57.1804
9		3.784772		3.78675		37.86256		14.15862		13.97195		58.66267		20.1618		20.04612		72.86967		54.12099		54		13.97195		40.08146		40		20.22249		90.42345		90.28063		47.90988		57.09957		57.04681		60.38062		36.08942		36		90.3961		48.00262		48		56.98222
10		3.786316		3.78675		38.63742		13.86588		13.86526		58.93622		20.20971		20.18106		72.94963		54.11195		54		13.86526		40.11578		40		20.39451		90.5372		90.38066		47.89676		57.12431		57.01737		73.77094		36.06976		36		90.28312		48.02988		48		57.32306
11		3.784482		3.78675		37.69294		14.17503		13.47767		58.45023		20.30438		20.06357		72.80569		54.07955		54		13.47767		40.12047		40		20.41812		90.34624		90.24584		47.87941		57.2105		57.17617		49.23046		36.08285		36		90.36651		48.01685		48		57.16041
12		3.78721		3.78675		39.01329		14.02178		14.70757		58.97831		20.31427		20.01485		72.62972		54.18191		54		14.70757		40.06628		40		20.14668		90.51335		90.23527		47.82297		57.27231		56.86754		100		36.07154		36		90.30248		48.02076		48		57.2094
13		3.786607		3.78675		38.72858		14.23418		14.68524		58.92648		20.08101		19.98318		72.78882		54.17991		54		14.68524		40.06907		40		20.16073		90.17571		90.40802		47.90886		57.39906		56.94954		100		36.06253		36		90.25265		48.03357		48		57.36966
14		3.784958		3.78675		37.9147		14.12895		13.06053		58.13366		20.19169		20.00559		72.67736		54.04441		54		13.06053		40.07964		40		20.21374		90.32148		90.2255		47.86187		57.53041		57.06887		100		36.0672		36		90.28508		48.00883		48		57.06058
15		3.786949		3.78675		38.88053		13.92193		14.51747		58.65632		20.16903		20.01814		72.64782		54.16569		54		14.51747		40.05586		40		20.09467		90.4044		90.15879		47.81506		57.49186		57.10171		47.50409		36.07005		36		90.30616		48.04011		48		57.45184
16		3.788474		3.78675		39.67339		13.85428		13.93838		58.38413		20.16539		19.8926		72.45779		54.11733		54		13.93838		40.02049		40		19.9175		90.4008		90.42752		47.85588		57.59505		57.19089		58.61519		36.07072		36		90.31499		48.02121		48		57.21576
17		3.785452		3.78675		38.1504		13.95321		13.52237		58.17511		19.89523		19.98758		72.73598		54.08255		54		13.52237		40.08172		40		20.22428		90.40906		90.35139		47.81475		57.66607		56.86948		100		36.07389		36		90.33827		48.0051		48		57.01458
18		3.784909		3.78675		37.83739		13.91724		13.31538		57.85784		20.20302		20.16501		72.77327		54.06521		54		13.31538		40.03384		40		19.9845		90.39843		90.2924		47.78756		57.72514		57.00735		96.95768		36.0798		36		90.37811		48.02225		48		57.22909
19		3.786065		3.78675		38.39112		13.62069		14.45666		58.3158		19.96412		20.01295		72.83867		54.16022		54		14.45666		40.07456		40		20.18854		90.47889		90.38105		47.7686		57.68756		57.02877		94.00016		36.07334		36		90.34373		48.00697		48		57.03817
20		3.788409		3.78675		39.58117		13.59325		13.00228		57.7405		20.20987		20.0276		72.74407		54.03894		54		13.00228		40.08616		40		20.24674		90.485		90.44474		47.76015		57.55912		56.98447		76.48888		36.07969		36		90.38665		48.0241		48		57.25251
21		3.783348		3.78675		37.0235		13.65968		13.92836		58.06874		20.15881		20.20041		72.85303		54.11602		54		13.92836		39.96849		40		19.65723		90.52969		90.34197		47.70205		57.50704		57.29726		9.994922		36.06408		36		90.29727		48.01643		48		57.15677
22		3.787228		3.78675		38.90637		13.79346		14.83553		58.49294		19.7868		20.01763		73.08539		54.19151		54		14.83553		40.11666		40		20.39967		90.24326		90.36542		47.73353		57.47435		57.14058		42.04371		36.0573		36		90.26039		48.00919		48		57.06646
23		3.788843		3.78675		39.78543		13.69406		14.09887		58.0462		20.49812		19.90525		72.34656		54.13004		54		14.09887		40.03811		40		20.00618		90.39848		90.39745		47.72533		57.50777		57.03961		77.98029		36.0872		36		90.44468		48.0259		48		57.27546
24		3.782333		3.78675		36.50875		13.70256		14.08516		58.33451		19.86459		20.1201		73.02847		54.12877		54		14.08516		40.00095		40		19.82004		90.6042		90.34895		47.66514		57.60192		57.14496		82.38346		36.06853		36		90.3371		48.02211		48		57.22835
25		3.786668		3.78675		38.56455		13.71994		14.32566		58.3752		20.05537		20.05732		72.94128		54.14872		54		14.32566		40.03853		40		20.00839		90.24116		90.28285		47.68297		57.64091		57.11227		79.67056		36.06751		36		90.33436		48.02088		48		57.21317
26		3.790327		3.78675		40.49223		13.87017		13.37137		57.90335		20.1307		20.01418		72.78858		54.0691		54		13.37137		40.0711		40		20.17161		90.3165		90.64395		47.77613		57.66295		57.17331		80.24548		36.08119		36		90.4217		48.01145		48		57.09548
27		3.784535		3.78675		37.60572		13.34998		13.50311		58.03224		20.17497		20.154		72.93755		54.07999		54		13.50311		40.06151		40		20.12363		90.68968		90.33758		47.65309		57.47142		57.14758		30.80667		36.09423		36		90.50516		48.01873		48		57.18673
28		3.785597		3.78675		38.0753		13.59722		12.86584		57.2164		20.10475		20.30243		73.10449		54.02686		54		12.86584		40.05789		40		20.10554		90.43152		90.33276		47.65783		57.52593		57.30109		17.17412		36.07956		36		90.42139		48.02216		48		57.22986
29		3.78581		3.78675		38.19647		13.42352		13.31585		57.2693		20.08881		20.35489		73.20365		54.06429		54		13.31585		40.04723		40		20.05222		90.4968		90.64677		47.71653		57.58336		57.36784		22.05498		36.08093		36		90.43536		48.02636		48		57.28262
30		3.785633		3.78675		38.10395		13.19532		13.12272		57.37703		20.13446		20.30807		73.13403		54.04812		54		13.12272		40.04672		40		20.04974		90.69912		90.38923		47.60338		57.67557		57.31482		30.30283		36.08517		36		90.46569		48.01219		48		57.10562
31		3.78688		3.78675		38.72523		13.37576		13.37881		57.30472		20.09497		20.15321		72.98305		54.06941		54		13.37881		40.04089		40		20.0206		90.47709		90.31095		47.59124		57.59887		57.34811		17.83669		36.07293		36		90.39666		48.004		48		57.00348
32		3.789842		3.78675		40.21736		13.05252		12.86918		56.90458		20.07985		20.01338		72.80226		54.02692		54		12.86918		40.0488		40		20.06027		90.63406		90.53209		47.58032		57.42027		57.43138		0		36.06129		36		90.33135		48.01034		48		57.08301
33		3.786172		3.78675		38.40478		13.00194		12.84941		56.79744		20.0822		19.91787		72.62809		54.02524		54		12.84941		40.04166		40		20.02452		90.64926		90.36951		47.50871		57.25918		57.10957		44.21645		36.08232		36		90.46248		48.01839		48		57.18384
34		3.78736		3.78675		38.97722		13.19537		13.09493		56.98361		20.06932		20.17997		72.93743		54.04564		54		13.09493		39.99928		40		19.81227		90.57865		90.47043		47.5043		57.30254		57.25582		40.02867		36.05391		36		90.29615		48.03333		48		57.37102
35		3.788095		3.78675		39.3311		13.35479		13.97915		57.44099		19.96409		20.05208		72.91338		54.11924		54		13.97915		40.00332		40		19.83255		90.24615		90.36725		47.5293		57.41904		57.20784		74.76828		36.07425		36		90.42229		48.02256		48		57.23658
36		3.787846		3.78675		39.2416		13.31424		13.52755		57.01951		20.01076		20.35517		73.15305		54.08157		54		13.52755		39.99581		40		19.79492		90.50475		90.48906		47.51817		57.50692		57.25409		84.77102		36.07424		36		90.42687		48.01478		48		57.13971
37		3.785582		3.78675		38.09694		13.15452		12.24204		56.49903		19.90986		20.04158		72.93098		53.9744		54		12.24204		40.04582		40		20.04551		90.52135		90.36515		47.47931		57.36545		57.41384		14.4154		36.09316		36		90.54516		48.04423		48		57.50815
38		3.784981		3.78675		37.8028		13.17171		13.66994		57.27075		20.15491		19.81414		72.28653		54.09331		54		13.66994		40.07746		40		20.20406		90.56916		90.44096		47.47542		57.21373		57.30181		13.3793		36.07845		36		90.46143		48.0059		48		57.0293
39		3.7843		3.78675		37.44406		13.31561		11.68872		55.93951		19.96461		19.86706		72.45604		53.92821		54		11.68872		40.06295		40		20.1314		90.44419		90.26271		47.44317		57.17318		57.06931		73.23557		36.0786		36		90.4664		48.00707		48		57.04416
40		3.787605		3.78675		39.09339		13.03366		13.0234		56.52636		20.04574		19.90642		72.30171		54.03938		54		13.0234		40.02061		40		19.91928		90.55618		90.44487		47.45786		57.02465		57.27359		2.600115		36.08867		36		90.53189		48.00846		48		57.06185
41		3.787856		3.78675		39.24682		12.96601		13.75898		56.93867		19.91295		19.80385		72.25381		54.10063		54		13.75898		40.05027		40		20.06794		90.56514		90.53534		47.46767		57.05745		57.26852		49.08712		36.09894		36		90.59862		48.03503		48		57.39436
42		3.789124		3.78675		39.90548		12.96968		13.24922		56.54764		20.02323		19.95396		72.43215		54.05813		54		13.24922		40.02097		40		19.92118		90.57397		90.48611		47.44485		57.18892		57.15947		73.7789		36.09581		36		90.58493		48.02272		48		57.24075
43		3.786064		3.78675		38.37716		12.98262		13.33786		56.41862		19.87802		19.68089		72.23873		54.0655		54		13.33786		40.01664		40		19.89947		90.56611		90.44436		47.42344		57.22115		57.16089		80.25609		36.08342		36		90.51549		48.02671		48		57.29092
44		3.787865		3.78675		39.29154		12.83137		12.17598		55.797		19.96271		19.98268		72.44699		53.96867		54		12.17598		40.00942		40		19.86332		90.63046		90.43488		47.38645		57.20074		57.4551		15.24259		36.09212		36		90.57256		48.03677		48		57.41705
