Trend data for Model:	
Model time base:		36
Plot duration (secs):		19764

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.787517		3.78675		38.40424		12.33889		11.58952		54		22.98291		22.80322		80.91924		53.01705		54		11.58952		43.5455		40		22.80322		87.02058		87.08086		44.90659		58.74513		59.11453		50.4388		35.84873		35.85		87.08086		47.68623		47.69		59.11453
36		3.784487		3.78675		36.92217		12.40124		11.80954		54.53293		23.02651		22.97648		80.32355		53.04211		54		11.80954		43.61066		40		23.25954		87.00142		86.97623		44.82745		59.01367		59.20333		21.31245		35.84206		35.85		87.04615		47.6905		47.69		59.16504
72		3.786688		3.78675		37.92004		11.66027		11.41415		53.5628		23.17381		23.3506		80.56235		53.01588		54		11.41415		43.59483		40		23.30954		87.24372		87.14344		44.76927		58.97813		59.21638		32.80921		35.85059		35.85		87.10077		47.67826		47.69		59.00842
108		3.786893		3.78675		37.88121		11.78897		11.557		53.33228		23.15508		23.12379		80.59842		53.03451		54		11.557		43.55602		40		23.24375		87.1825		87.11627		44.79036		58.59452		59.16909		14.76002		35.83882		35.85		87.03115		47.70106		47.69		59.29334
144		3.785305		3.78675		37.26729		11.63701		11.85976		53.57931		23.10415		23.19792		80.69188		53.06646		54		11.85976		43.47408		40		22.96104		87.23337		87.16989		44.7362		59.01881		59.29271		0		35.84614		35.85		87.079		47.68951		47.69		59.14706
180		3.787153		3.78675		38.03882		11.54426		10.96792		52.94194		23.28957		23.56871		81.37099		52.99888		54		10.96792		43.55207		40		23.47969		87.1438		86.94812		44.66517		59.34562		59.04886		42.83217		35.87387		35.85		87.23734		47.6831		47.69		59.06349
216		3.787784		3.78675		38.42276		11.28727		10.59442		52.17866		23.50613		23.54774		81.19667		52.97456		54		10.59442		43.53246		40		23.50918		87.10032		87.1466		44.64343		59.01089		59.00118		84.13552		35.8371		35.85		87.01006		47.68943		47.69		59.14104
252		3.786716		3.78675		37.90448		11.77159		12.77498		54.19855		23.60595		23.70743		81.344		53.16297		54		12.77498		43.5667		40		23.80776		87.08391		87.00746		44.68611		58.83199		59.22176		0.1315888		35.82575		35.85		86.93002		47.67249		47.69		58.92545
288		3.789238		3.78675		39.14736		11.84287		12.24129		53.62995		23.47152		23.50445		81.19447		53.12508		54		12.24129		43.49134		40		23.55595		86.94882		87.09584		44.73597		59.18172		59.15379		36.40363		35.8573		35.85		87.10977		47.67784		47.69		58.99095
324		3.789141		3.78675		39.27018		11.93375		12.09939		54.1791		23.37215		23.40659		81.21875		53.11978		54		12.09939		43.4375		40		23.41094		86.89317		87.07474		44.72745		59.45769		59.24485		13.60302		35.84983		35.85		87.05818		47.67815		47.69		58.99351
360		3.788162		3.78675		38.68983		12.03907		12.14475		53.98607		23.47111		23.42722		81.21942		53.12995		54		12.14475		43.41938		40		23.44418		86.9866		87.02569		44.79917		58.6875		59.26043		9.00025		35.87193		35.85		87.1776		47.68433		47.69		59.0693
396		3.786765		3.78675		37.97454		12.07054		11.31475		53.74364		23.5302		23.56931		81.12659		53.06708		54		11.31475		43.33418		40		23.1399		87.10473		86.99438		44.78529		59.61234		59.33587		0		35.86051		35.85		87.10087		47.70124		47.69		59.28102
432		3.783659		3.78675		36.26777		11.32078		11.6805		53.20439		23.61802		23.37896		81.35347		53.10401		54		11.6805		43.42484		40		23.71675		87.12219		86.97989		44.60924		59.22853		58.93931		46.79956		35.84399		35.85		86.98636		47.67526		47.69		58.9502
468		3.78645		3.78675		37.81308		11.28275		11.13968		52.15157		23.7246		23.5392		81.47254		53.06553		54		11.13968		43.4282		40		23.85614		86.95163		86.92354		44.50531		59.17439		58.95652		70.58063		35.82425		35.85		86.85014		47.68159		47.69		59.02653
504		3.786614		3.78675		37.85859		11.48026		11.40919		52.81877		23.67645		23.84441		81.91908		53.09446		54		11.40919		43.3591		40		23.63181		86.675		86.84645		44.53241		59.34362		59.06935		53.52556		35.8542		35.85		87.00614		47.68459		47.69		59.06007
540		3.782728		3.78675		35.97122		11.45849		11.43138		52.73043		23.76114		23.81154		81.99483		53.10268		54		11.43138		43.37827		40		23.84908		87.05634		86.93559		44.56469		59.41645		59.04594		53.59741		35.84633		35.85		86.93333		47.66954		47.69		58.86581
576		3.784746		3.78675		36.95443		11.46648		11.44276		53.00759		23.57495		23.46911		81.71167		53.10998		54		11.44276		43.3525		40		23.84064		87.07679		86.80916		44.48609		58.32024		59.03287		36.68495		35.83408		35.85		86.83062		47.68154		47.69		59.0116
612		3.786943		3.78675		38.17581		12.06368		12.14955		54.54705		23.46378		23.55005		81.15236		53.17497		54		12.14955		43.20047		40		23.19745		86.79908		86.80863		44.65814		57.22207		56.10307		100		35.84141		35.85		86.85092		47.66629		47.9		56.13347
648		3.786665		3.78675		38.44107		13.49619		13.26349		57.01111		22.62811		22.3707		78.39954		53.27339		54		13.26349		43.03622		40		22.48764		86.7887		87.00947		45.07283		56.57095		56.41463		74.65251		35.85981		35.85		86.96101		47.71917		47.9		56.70571
684		3.78884		3.78675		39.73828		15.01704		14.36577		59.81808		21.5256		21.56269		76.33232		53.36999		54		14.36577		42.86719		40		21.74605		86.92045		87.11002		45.75663		56.58375		56.61436		63.1762		35.88864		35.85		87.17334		47.7343		47.9		56.81151
720		3.785214		3.78675		37.93175		15.35912		16.04949		61.38938		20.7403		20.8775		74.51531		53.51432		54		16.04949		42.69339		40		20.97363		87.32031		87.21335		46.24447		56.44702		56.70814		43.21971		35.89393		35.85		87.29545		47.74514		47.9		56.87251
756		3.786081		3.78675		38.48139		15.72391		15.69732		61.65622		20.01188		19.97591		72.72248		53.48874		54		15.69732		42.53835		40		20.28954		87.63986		87.61293		46.5298		56.65797		57.08318		31.00062		35.92821		35.85		87.63524		47.76183		47.9		57.01676
792		3.786884		3.78675		39.00947		15.6541		15.61313		61.73652		19.58889		19.40928		71.27153		53.48543		54		15.61313		42.39588		40		19.66259		87.85522		87.82948		46.69351		57.41481		57.36486		66.25714		35.93989		35.85		87.88386		47.80462		47.9		57.5017
828		3.786087		3.78675		38.49596		15.49988		14.78329		60.94092		19.37724		19.43652		71.16776		53.42		54		14.78329		42.33667		40		19.45		88.20857		88.04633		46.86467		57.65127		57.48228		57.27999		35.95441		35.85		88.17664		47.81913		47.9		57.64015
864		3.78702		3.78675		38.78518		15.01426		14.19835		59.55281		19.18841		19.38783		71.02786		53.37534		54		14.19835		42.29189		40		19.30855		88.31457		88.43367		46.72443		57.35054		57.74857		39.42105		35.95921		35.85		88.43026		47.84303		47.9		57.90453
900		3.785899		3.78675		38.19702		14.50079		15.04654		59.40649		19.38331		19.13551		71.10059		53.45034		54		15.04654		42.28682		40		19.3654		88.66117		88.59153		46.67034		57.87997		57.91223		59.39032		35.95438		35.85		88.64759		47.8526		47.9		57.997
936		3.784361		3.78675		37.34044		13.56071		14.28845		57.7846		19.86601		19.95153		72.37499		53.39185		54		14.28845		42.33775		40		19.70444		88.92214		88.86813		46.49267		57.84096		57.99805		65.04245		35.97452		35.85		89.01822		47.84751		47.9		57.91104
972		3.786187		3.78675		38.28199		12.82353		12.65964		56.34719		20.16907		20.38962		73.28267		53.26112		54		12.65964		42.46978		40		20.45211		89.28441		89.16257		46.45127		57.75399		58.07546		42.73871		35.94939		35.85		89.11334		47.86159		47.9		58.07158
1008		3.788654		3.78675		39.53536		12.569		13.17534		56.02106		20.68212		20.69708		74.24104		53.30932		54		13.17534		42.52502		40		20.81763		89.36525		89.34334		46.39684		58.0338		58.20942		57.30453		35.9409		35.85		89.29823		47.86736		47.9		58.13196
1044		3.787179		3.78675		38.69034		12.06507		12.72339		54.35444		21.12068		21.17526		75.12844		53.27712		54		12.72339		42.53529		40		20.96057		89.64502		89.57219		46.36162		58.38395		58.29658		58.52919		35.96492		35.85		89.66257		47.89423		47.9		58.46039
1080		3.789313		3.78675		39.60272		11.8775		11.79182		53.45875		22.001		21.96832		76.92122		53.20522		54		11.79182		42.65768		40		21.66899		89.41969		89.75133		46.25379		58.28935		58.11644		50.04007		35.96296		35.85		89.85233		47.8967		47.9		58.48123
1116		3.788773		3.78675		39.28815		10.86909		10.73586		51.83479		22.33849		22.23512		78.11833		53.12325		54		10.73586		42.85263		40		22.74477		89.83217		89.94699		46.13839		58.02985		58.22102		34.03068		35.92361		35.85		89.78673		47.88558		47.9		58.33064
1152		3.78469		3.78675		37.2805		10.94489		10.83501		51.82399		22.77502		22.67029		78.84158		53.13765		54		10.83501		42.82981		40		22.73152		89.89106		89.91478		46.08465		57.96329		58.3448		33.65039		35.92733		35.85		89.96635		47.8845		47.9		58.30764
1188		3.791193		3.78675		40.56533		11.17181		11.00078		52.29091		22.94962		22.96198		79.62005		53.15755		54		11.00078		42.8429		40		22.89971		89.89276		90.11475		46.24568		57.8462		58.17134		0.4077364		35.92523		35.85		90.09473		47.89136		47.9		58.38467
1224		3.788646		3.78675		39.23405		11.33013		12.06964		53.46076		22.89759		23.18183		79.91005		53.25256		54		12.06964		42.83457		40		22.96108		90.05912		90.09379		46.34461		56.30685		55.33071		100		35.90986		35.85		90.13		47.86874		48.11		55.38062
1260		3.78987		3.78675		40.41632		12.52053		12.11566		55		22.52923		22.36828		78.08958		53.26189		54		12.11566		42.69021		40		22.33791		90.16647		90.22052		46.89185		55.7585		55.70024		27.43157		35.91312		35.85		90.29021		47.89996		48.11		55.67528
1296		3.787665		3.78675		39.43148		13.50896		13.92589		57.40735		21.95025		21.69706		76.82636		53.41758		54		13.92589		42.57894		40		21.87574		90.1866		90.53705		47.50744		56.43717		55.94683		40.30053		35.93343		35.85		90.5707		47.9175		48.11		55.80369
1332		3.786887		3.78675		39.03994		13.68226		13.45538		57.94845		21.57047		21.57148		75.98035		53.38278		54		13.45538		42.50551		40		21.59944		90.68341		90.73807		48.00561		56.00431		56.01999		48.87199		35.94595		35.85		90.82595		47.93546		48.11		55.94304
1368		3.785513		3.78675		38.49858		13.52378		13.23453		57.99325		21.0418		20.99135		74.91778		53.36863		54		13.23453		42.39089		40		21.11291		91.16091		91.12056		48.28189		56.03399		56.10662		40.01793		35.97325		35.85		91.19926		47.93749		48.11		55.88931
1404		3.787635		3.78675		39.58325		13.79487		13.25809		57.82251		20.78598		20.76427		74.11193		53.37479		54		13.25809		42.26907		40		20.58664		91.43095		91.33147		48.55046		55.87003		56.15689		54.0888		35.96904		35.85		91.39863		47.95415		48.11		56.02847
1440		3.788785		3.78675		40.16014		13.58504		13.98199		58.46087		20.58193		20.83558		74.29621		53.4393		54		13.98199		42.27636		40		20.70484		91.56405		91.64797		48.67218		56.28758		56.21144		12.00165		35.96041		35.85		91.58893		47.97798		48.11		56.26406
1476		3.783384		3.78675		37.25695		13.03381		13.63503		57.19248		20.83381		20.9503		74.45162		53.41474		54		13.63503		42.30039		40		20.90667		91.89885		91.91292		48.65226		56.57945		56.27716		72.38274		35.93794		35.85		91.69805		47.97076		48.11		56.1136
1512		3.787045		3.78675		39.38652		12.53627		12.85711		56.33057		20.81501		20.75348		74.04871		53.35451		54		12.85711		42.23151		40		20.64281		92.22612		92.15087		48.54463		56.61522		56.5234		62.12075		35.97262		35.85		92.1545		48.00058		48.11		56.43646
