Trend data for Model:	
Model time base:		1
Plot duration (secs):		1800

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.787731		3.78675		40.25432		20.00775		20		72.25343		14.99754		15		60.92842		45.64649		54		20		47.25015		40		15		98.90817		99.98563		100		52.92363		52.95789		58.48976		35.30147		35.3		99.99219		48.49139		48.51		52.75447
1		3.78566		3.78675		39.23722		20.02189		20		72.23956		14.97435		15		60.96351		45.51548		54		20		47.20098		40		15		99.00665		100.2056		100		52.77681		52.9161		48.84685		35.30009		35.3		99.97212		48.51673		48.51		53.00779
2		3.787619		3.78675		40.21262		20.00332		20		72.24631		15.00481		15		60.91832		45.55902		54		20		47.25117		40		15		98.93444		100.1286		100		52.76783		52.62869		71.71451		35.29091		35.3		99.83961		48.51138		48.51		52.95425
3		3.784094		3.78675		38.46974		20.02047		20		72.22415		15.00164		15		60.91812		45.4572		54		20		47.23563		40		15		98.99335		99.66002		99.94902		52.84646		52.92143		52.30069		35.27969		35.3		99.67759		48.50906		48.51		52.9311
4		3.785714		3.78675		39.25677		19.98919		20		72.23859		14.98117		15		60.9502		45.4693		54		20		47.28573		40		15		98.94875		99.82763		100		52.91083		52.76941		71.32905		35.29372		35.3		99.87884		48.50977		48.51		52.93812
5		3.790844		3.78675		41.83011		19.95805		20		72.26899		15.03189		15		60.88743		45.49379		54		20		47.25655		40		15		98.89749		100.1242		100		53.00323		52.97956		61.7573		35.30359		35.3		100.0205		48.5119		48.51		52.95939
6		3.78543		3.78675		39.1611		20.02583		20		72.23356		15.01345		15		60.91724		45.50549		54		20		47.3447		40		15		98.99214		99.92361		99.95331		52.99142		52.76767		79.9675		35.305		35.3		100.0419		48.5182		48.51		53.02231
7		3.788166		3.78675		40.49767		19.99227		20		72.23221		15.02339		15		60.89829		45.43073		54		20		47.31824		40		15		98.89212		100.1329		100		53.02289		52.87906		72.99108		35.30066		35.3		99.97928		48.51048		48.51		52.94515
8		3.789296		3.78675		41.12297		19.97581		20		72.23071		14.97188		15		60.94117		45.49988		54		20		47.37684		40		15		98.91142		100.5485		100		52.99818		52.70658		86.52238		35.3079		35.3		100.0843		48.49892		48.51		52.82956
9		3.786724		3.78675		39.86682		19.98545		20		72.23962		14.97023		15		60.94321		45.44058		54		20		47.37429		40		15		99.01045		99.92754		99.96804		52.87354		53.14697		37.48618		35.30249		35.3		100.0078		48.51473		48.51		52.98767
10		3.786107		3.78675		39.53907		19.97603		20		72.25017		15.00785		15		60.91865		45.3414		54		20		47.39505		40		15		98.99022		99.8018		99.99129		52.915		52.76515		74.1691		35.31172		35.3		100.1404		48.51603		48.51		53.00071
11		3.787066		3.78675		40.047		20.0086		20		72.22879		15.02321		15		60.87954		45.3873		54		20		47.46519		40		15		99.0598		99.73315		99.99226		52.96547		53.16266		43.95303		35.28387		35.3		99.73881		48.51893		48.51		53.02973
12		3.786188		3.78675		39.57626		19.9957		20		72.21707		15.01081		15		60.90758		45.33512		54		20		47.39849		40		15		98.88726		99.8908		100		52.98651		52.90117		68.86581		35.29117		35.3		99.8436		48.53591		48.51		53.19946
13		3.78759		3.78675		40.32392		20.01238		20		72.20918		14.99149		15		60.90419		45.39158		54		20		47.43049		40		15		99.02979		100.1481		99.9921		53.09947		52.98727		71.83178		35.3014		35.3		99.99201		48.51212		48.51		52.96157
14		3.787105		3.78675		40.05349		19.97959		20		72.23495		15.01694		15		60.88639		45.30663		54		20		47.41659		40		15		99.01923		99.9458		100		53.11026		52.9354		78.68044		35.28679		35.3		99.78087		48.50848		48.51		52.9252
15		3.788187		3.78675		40.56691		20.01003		20		72.23863		14.98982		15		60.89188		45.25611		54		20		47.39789		40		15		98.90385		99.91883		100		53.01498		52.7504		87.74287		35.27095		35.3		99.55184		48.49525		48.51		52.7929
16		3.78803		3.78675		40.54047		19.97439		20		72.2504		15.01932		15		60.8583		45.30554		54		20		47.42245		40		15		98.96558		100.097		100		52.88474		52.79935		72.91649		35.28874		35.3		99.80843		48.5041		48.51		52.88134
17		3.784384		3.78675		38.70697		19.99885		20		72.25252		14.98969		15		60.88417		45.35579		54		20		47.47555		40		15		99.08402		99.92597		100		52.78204		52.84278		59.17818		35.27694		35.3		99.63764		48.52596		48.51		53.1
18		3.788966		3.78675		40.95837		19.97003		20		72.25612		15.0311		15		60.83692		45.16395		54		20		47.5247		40		15		98.82061		100.0032		100		52.76031		52.88693		51.48302		35.30963		35.3		100.1079		48.52888		48.51		53.12927
19		3.786504		3.78675		39.78918		20.01589		20		72.23187		14.96705		15		60.90151		45.30317		54		20		47.50452		40		15		99.01874		100.1032		100		52.86935		52.93838		55.05557		35.29651		35.3		99.91897		48.50842		48.51		52.92468
20		3.78517		3.78675		39.09108		19.97519		20		72.24041		14.97898		15		60.90867		45.12481		54		20		47.49351		40		15		98.93042		100.0425		100		52.916		53.08679		45.854		35.28597		35.3		99.7668		48.50593		48.51		52.89973
21		3.787942		3.78675		40.48688		19.99101		20		72.23317		15.03738		15		60.8505		45.25765		54		20		47.55995		40		15		98.89952		99.7786		100		52.97537		53.05574		54.1628		35.29849		35.3		99.94626		48.51839		48.51		53.02439
22		3.787887		3.78675		40.49912		20.01422		20		72.22283		14.93944		15		60.96225		45.21819		54		20		47.4928		40		15		98.95318		100.393		100		53.00555		52.9911		62.25364		35.32618		35.3		100.3463		48.50714		48.51		52.91193
23		3.785077		3.78675		39.10077		19.99141		20		72.23152		15.01413		15		60.89429		45.09907		54		20		47.54867		40		15		99.0331		99.75704		99.95167		52.9576		52.86233		69.86416		35.29859		35.3		99.94953		48.51628		48.51		53.00329
24		3.786227		3.78675		39.63426		19.99643		20		72.23187		14.98895		15		60.91052		45.18196		54		20		47.54822		40		15		98.93521		99.86179		100		52.94394		52.82193		71.95577		35.28769		35.3		99.79139		48.49378		48.51		52.77831
25		3.7866		3.78675		39.82859		19.98057		20		72.23331		15.04997		15		60.83772		45.18208		54		20		47.54596		40		15		98.9858		99.71478		99.94329		52.84083		52.83324		61.95257		35.30693		35.3		100.0681		48.50006		48.51		52.84104
26		3.785839		3.78675		39.43273		19.94338		20		72.25426		15.00474		15		60.87192		45.10881		54		20		47.62343		40		15		99.04377		99.74143		100		52.84472		53.00405		46.88841		35.30932		35.3		100.1022		48.51239		48.51		52.96438
27		3.788188		3.78675		40.60645		19.99287		20		72.24597		14.98504		15		60.89318		45.06796		54		20		47.60945		40		15		98.90188		99.80671		100		52.83746		53.04178		41.50495		35.29176		35.3		99.84796		48.51233		48.51		52.96385
28		3.786784		3.78675		39.95128		20.01397		20		72.22627		15.01219		15		60.88682		45.03333		54		20		47.63687		40		15		99.01778		100.2133		100		52.89882		53.05581		45.19357		35.30363		35.3		100.02		48.50911		48.51		52.93161
29		3.784503		3.78675		38.75514		20.00678		20		72.23702		15.02244		15		60.86225		45.06516		54		20		47.63556		40		15		98.94595		99.68718		100		52.94667		53.0131		52.82376		35.29876		35.3		99.94913		48.51201		48.51		52.96064
30		3.785897		3.78675		39.44449		20.01619		20		72.23812		15.00875		15		60.86556		44.98871		54		20		47.69978		40		15		98.93179		99.97518		100		52.97637		52.91919		64.50917		35.29398		35.3		99.87944		48.5129		48.51		52.96948
31		3.788676		3.78675		40.8648		19.97431		20		72.24296		14.96628		15		60.90355		45.0632		54		20		47.71538		40		15		98.94535		100.0145		100		53.01769		53.01929		60.10744		35.31262		35.3		100.1482		48.50103		48.51		52.85074
32		3.782816		3.78675		37.90509		19.97128		20		72.24848		15.02032		15		60.85747		45.00324		54		20		47.70804		40		15		99.09754		99.8546		99.97927		52.94414		52.89911		64.32748		35.27291		35.3		99.57576		48.51684		48.51		53.00885
33		3.788654		3.78675		40.80285		20.0053		20		72.23972		14.97563		15		60.91125		45.00178		54		20		47.66769		40		15		98.86525		99.78093		100		52.92529		52.92925		59.46238		35.30509		35.3		100.038		48.49863		48.51		52.82681
34		3.787437		3.78675		40.25161		20.01488		20		72.21573		14.99883		15		60.89533		44.88015		54		20		47.72683		40		15		99.0558		99.97977		99.98725		52.89105		52.91784		57.58995		35.30771		35.3		100.0758		48.49556		48.51		52.79605
35		3.784022		3.78675		38.50666		19.99887		20		72.2409		15.00849		15		60.87451		44.95085		54		20		47.7536		40		15		99.07404		99.82128		99.97933		52.8545		52.89476		55.76264		35.27458		35.3		99.59842		48.50105		48.51		52.85099
36		3.786689		3.78675		39.78905		20.02477		20		72.23358		15.03046		15		60.85485		45.00708		54		20		47.75531		40		15		98.88354		99.79346		100		52.84478		52.95793		48.403		35.26628		35.3		99.47665		48.51631		48.51		53.00362
37		3.788995		3.78675		40.97893		19.98752		20		72.24409		15.00787		15		60.86436		44.86085		54		20		47.73946		40		15		98.95488		99.88248		100		52.89751		52.91966		55.44553		35.30565		35.3		100.0429		48.51732		48.51		53.01373
38		3.783869		3.78675		38.39002		20.01893		20		72.22511		15.0181		15		60.85169		44.92691		54		20		47.75912		40		15		99.0723		99.71464		99.96641		52.97331		53.00643		54.43138		35.2837		35.3		99.72621		48.5225		48.51		53.06557
39		3.788257		3.78675		40.52483		19.99852		20		72.23258		15.02713		15		60.8272		44.90359		54		20		47.82017		40		15		98.88581		99.79874		100		53.14587		52.86412		82.29106		35.29193		35.3		99.8434		48.47582		48.51		52.59868
40		3.789598		3.78675		41.25213		19.94441		20		72.24552		14.9307		15		60.92873		44.8136		54		20		47.83234		40		15		99.0061		99.86623		99.98176		52.96244		52.87071		68.21324		35.30623		35.3		100.0491		48.49691		48.51		52.80956
41		3.785255		3.78675		39.06364		20.01675		20		72.2098		15.03424		15		60.82744		44.7948		54		20		47.7873		40		15		99.0069		99.75592		99.96599		52.71803		52.99042		36.0517		35.29772		35.3		99.92605		48.5266		48.51		53.10648
42		3.784956		3.78675		38.84811		19.96645		20		72.23851		15.0064		15		60.84264		44.77583		54		20		47.83595		40		15		98.93424		99.92812		100		52.72069		52.93624		38.83023		35.27894		35.3		99.65405		48.50621		48.51		52.90249
43		3.78906		3.78675		40.9252		20.02845		20		72.22331		15.00489		15		60.85513		44.8076		54		20		47.83304		40		15		98.98992		100.0606		100		52.8139		52.91948		47.55136		35.30514		35.3		100.0314		48.50567		48.51		52.89706
44		3.785751		3.78675		39.28361		19.98213		20		72.23321		15.0008		15		60.86196		44.6959		54		20		47.877		40		15		99.01644		100.2215		100		52.88906		52.90204		54.61417		35.2875		35.3		99.77709		48.518		48.51		53.0204
45		3.786579		3.78675		39.65964		19.96399		20		72.24944		14.94861		15		60.91251		44.71829		54		20		47.89198		40		15		98.90646		99.92407		100		53.01303		52.95747		60.6796		35.3017		35.3		99.98143		48.50968		48.51		52.93722
46		3.78892		3.78675		40.87178		20.01146		20		72.23671		14.9524		15		60.93655		44.71616		54		20		47.88293		40		15		98.93279		100.1529		100		53.05763		53.04729		57.81277		35.28504		35.3		99.74155		48.51669		48.51		53.00736
47		3.784394		3.78675		38.60844		20.01307		20		72.21997		15.00699		15		60.87308		44.72939		54		20		47.90377		40		15		99.06086		100.009		100		53.07655		52.96963		67.12265		35.29503		35.3		99.8861		48.51932		48.51		53.03365
48		3.788355		3.78675		40.54652		20.01673		20		72.22136		15.0811		15		60.77107		44.66008		54		20		47.90502		40		15		98.86478		100.0265		100		53.08589		52.94038		71.07507		35.2828		35.3		99.70894		48.5165		48.51		53.00547
