Trend data for Model:	
Model time base:		1
Plot duration (secs):		380

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.788591		3.8		40.26914		11.98095		11.93585		54		23.03056		23.0245		79.52148		53.98228		54		11.93585		40.0258		40		23.0245		98.22828		98.40504		54.93191		52.80363		52.70587		62.65106		35.31006		35.3		98.40504		48.52017		48.51		52.70587
1		3.798841		3.8		38.56437		11.43381		11.86629		54.48705		23.01554		22.99373		79.44999		53.97387		54		11.86629		39.95883		40		22.85772		98.3419		98.93883		55.10961		52.82966		52.72955		62.98221		35.34662		35.3		98.93339		48.50802		48.51		52.78454
2		3.800405		3.8		39.41173		11.58056		11.46705		54.29811		22.93545		22.93849		79.445		53.92573		54		11.46705		39.99229		40		22.94104		98.65754		99.82966		55.411		52.8154		52.93184		43.60968		35.37629		35.3		99.3694		48.52615		48.51		52.96584
3		3.794761		3.8		36.46966		11.45155		11.11762		54.20859		23.04733		22.90136		79.24818		53.8836		54		11.11762		39.95748		40		22.85431		98.89428		99.33337		55.40324		52.90244		52.91007		52.2938		35.35973		35.3		99.13849		48.54267		48.51		53.13118
4		3.798585		3.8		38.30429		11.53034		10.79276		53.64708		22.86552		23.03704		79.55033		53.84449		54		10.79276		39.97395		40		22.89531		98.63591		99.594		55.60857		52.98227		53.07056		44.57689		35.38143		35.3		99.45872		48.53724		48.51		53.07708
5		3.797824		3.8		37.96825		11.41998		11.94421		54.03517		22.99767		22.85052		79.16685		53.98364		54		11.94421		39.9356		40		22.79968		99.20103		99.70619		55.69928		53.16156		53.1021		57.22748		35.40118		35.3		99.75356		48.54721		48.51		53.17693
6		3.798781		3.8		38.35091		11.23112		9.882963		52.99537		22.91101		22.79572		79.10142		53.73484		54		9.882963		39.94376		40		22.8199		99.29299		99.34715		55.6817		53.32232		53.21117		62.13443		35.42304		35.3		100.0771		48.56702		48.51		53.37532
7		3.802693		3.8		40.32863		11.2053		10.68329		52.97431		22.93795		22.94006		79.22024		53.83164		54		10.68329		39.94391		40		22.82021		99.33726		100.101		55.92778		53.43362		53.3056		64.34105		35.40579		35.3		99.83895		48.54374		48.51		53.14279
8		3.799122		3.8		38.58016		10.97085		10.31045		52.58673		22.88579		22.88269		79.16658		53.78677		54		10.31045		39.92163		40		22.76458		99.52891		100.1817		56.00709		53.36937		53.4503		47.85413		35.40547		35.3		99.84545		48.55833		48.51		53.28904
9		3.799701		3.8		38.83382		10.82007		10.44253		52.274		22.85705		22.8306		79.1311		53.80292		54		10.44253		39.90592		40		22.72536		99.74205		99.92853		55.95783		53.36475		53.35422		56.1902		35.39719		35.3		99.73634		48.56652		48.51		53.37131
10		3.801667		3.8		39.84558		10.67885		11.10226		52.75302		22.89682		22.91039		79.12393		53.88273		54		11.10226		39.91629		40		22.75105		99.78903		100.0801		56.00466		53.40616		53.47665		49.36349		35.41035		35.3		99.93648		48.5505		48.51		53.21151
11		3.802719		3.8		40.395		10.59281		10.85756		52.5149		22.84572		22.83338		79.08678		53.85338		54		10.85756		39.98165		40		22.91373		99.98495		99.92854		55.94301		53.34103		53.40066		50.39522		35.41723		35.3		100.0461		48.60604		48.51		53.76734
12		3.799749		3.8		38.94339		10.59643		10.67141		52.47932		22.95986		22.75383		78.81075		53.83107		54		10.67141		39.9482		40		22.83028		99.94235		99.87969		55.94965		53.40498		53.31459		62.11604		35.43471		35.3		100.3092		48.58413		48.51		53.54859
13		3.798017		3.8		38.05911		10.54734		10.77162		52.39736		22.80305		22.6787		78.78045		53.84337		54		10.77162		39.94136		40		22.81308		100.0792		99.58458		55.85837		53.54944		53.32104		74.69334		35.39398		35.3		99.73252		48.5686		48.51		53.3937
14		3.8015		3.8		39.8126		10.53689		10.17751		51.92164		22.8645		22.78599		78.72063		53.77184		54		10.17751		39.92121		40		22.76269		99.83438		99.89079		55.95427		53.50463		53.44081		61.69162		35.41265		35.3		100.0122		48.57274		48.51		53.43554
15		3.800824		3.8		39.52498		10.35278		10.45993		52.18581		22.7645		22.7312		78.74301		53.80613		54		10.45993		39.90459		40		22.72113		100.2833		100.0552		55.90861		53.45118		53.30108		69.20287		35.38609		35.3		99.64027		48.5734		48.51		53.44255
16		3.800039		3.8		39.11257		10.464		9.849511		51.5406		22.82708		22.92369		78.92471		53.73266		54		9.849511		39.84589		40		22.57482		99.83914		100.1		55.96677		53.50565		53.38399		66.95652		35.4163		35.3		100.0861		48.56462		48.51		53.35519
17		3.800572		3.8		39.4426		10.32904		9.822939		51.27877		22.75679		22.71059		78.73579		53.72969		54		9.822939		39.88381		40		22.66903		100.2875		100.3401		55.94697		53.46863		53.53365		50.56359		35.42724		35.3		100.2555		48.59774		48.51		53.68696
18		3.79904		3.8		38.67272		10.08778		10.41053		51.57569		22.84147		22.83046		78.7504		53.80087		54		10.41053		39.9539		40		22.84338		100.3123		100.0301		55.8276		53.49049		53.5185		52.56191		35.41605		35.3		100.1045		48.59028		48.51		53.61288
19		3.803376		3.8		40.87218		10.28752		8.819321		50.69733		22.82803		22.76119		78.68384		53.60896		54		8.819321		39.88933		40		22.68242		100.0862		100.032		55.82962		53.55064		53.60086		51.07943		35.40538		35.3		99.96124		48.56834		48.51		53.39393
20		3.802134		3.8		40.30114		10.16291		10.08224		50.92678		22.76675		22.68293		78.62296		53.76174		54		10.08224		39.93678		40		22.80042		100.243		100.1538		55.81386		53.57987		53.6224		52.29198		35.40837		35.3		100.0155		48.59091		48.51		53.6201
21		3.799598		3.8		39.05901		9.966216		10.11019		50.90665		22.83046		22.76407		78.61849		53.76537		54		10.11019		39.89043		40		22.68478		100.3791		100.1833		55.76005		53.59146		53.43509		69.57912		35.42088		35.3		100.2068		48.57757		48.51		53.48712
22		3.801267		3.8		39.90335		10.00801		10.57951		51.14468		22.69604		22.75291		78.66143		53.82229		54		10.57951		39.93838		40		22.80395		100.3318		100.2721		55.73377		53.55605		53.50756		60.08142		35.39967		35.3		99.91196		48.59429		48.51		53.65492
23		3.803694		3.8		41.18004		10.03483		9.928221		50.84683		22.78737		22.86142		78.69692		53.74388		54		9.928221		39.96405		40		22.86773		100.2144		100.2662		55.71022		53.60836		53.66585		50.26111		35.39604		35.3		99.87008		48.61116		48.51		53.82418
24		3.799681		3.8		39.2256		10.03196		9.271437		50.47423		22.77222		22.8052		78.66861		53.66483		54		9.271437		39.88903		40		22.68073		100.2036		100.0849		55.64613		53.69531		53.51212		70.84466		35.39824		35.3		99.91234		48.61496		48.51		53.86276
25		3.799346		3.8		39.07882		9.904491		10.13617		50.77858		22.76428		22.83593		78.69413		53.76951		54		10.13617		39.94911		40		22.83018		100.3364		100.4782		55.68333		53.82204		53.60244		75.31079		35.39932		35.3		99.93942		48.61019		48.51		53.81558
26		3.800544		3.8		39.68063		9.922156		9.843783		50.44203		22.84099		22.75948		78.52511		53.73449		54		9.843783		39.95996		40		22.85703		100.2852		100.0525		55.54636		53.90211		53.62016		82.84987		35.4176		35.3		100.2126		48.59691		48.51		53.6833
27		3.801131		3.8		40.02181		9.906952		9.297062		50.17689		22.79104		22.81131		78.623		53.66873		54		9.297062		40.00152		40		22.9604		100.3522		100.3897		55.57486		53.90614		53.81674		65.14292		35.39911		35.3		99.95697		48.6003		48.51		53.71772
28		3.800921		3.8		39.94079		9.747003		8.972425		49.70617		22.83456		22.73912		78.51241		53.62984		54		8.972425		39.96659		40		22.87328		100.2852		99.90374		55.4675		53.79813		53.61878		73.97955		35.42117		35.3		100.2858		48.5961		48.51		53.67634
29		3.801129		3.8		40.05723		9.539037		9.595858		49.79842		22.75777		22.79658		78.59809		53.70545		54		9.595858		39.9271		40		22.77476		100.5719		100.5485		55.51551		53.70313		53.48366		79.1208		35.41657		35.3		100.2317		48.60175		48.51		53.73338
30		3.803123		3.8		41.09531		9.563282		9.111106		49.48489		22.7616		22.94834		78.80631		53.64722		54		9.111106		39.87885		40		22.65448		100.4412		100.0775		55.40339		53.6381		53.72584		53.13568		35.40871		35.3		100.1298		48.59799		48.51		53.69631
31		3.799234		3.8		39.17132		9.496424		9.359015		49.43238		22.74879		22.89251		78.79989		53.67748		54		9.359015		39.92846		40		22.77785		100.6095		100.0014		55.30761		53.73932		53.70845		64.19199		35.42183		35.3		100.3301		48.58576		48.51		53.57444
32		3.799256		3.8		39.17897		9.560838		9.500743		49.3921		22.82614		22.85538		78.69373		53.69492		54		9.500743		39.88573		40		22.6713		100.4306		100.0969		55.27862		53.62222		53.67889		57.12066		35.40093		35.3		100.039		48.59194		48.51		53.63686
33		3.800509		3.8		39.84116		9.60662		8.831094		49.14668		22.7138		22.96661		78.95228		53.61434		54		8.831094		39.97345		40		22.88964		100.2935		100.305		55.30236		53.60196		53.57637		63.83212		35.41808		35.3		100.2968		48.5972		48.51		53.69003
34		3.801317		3.8		40.26567		9.599154		9.947835		49.7082		22.94646		22.83999		78.66083		53.74948		54		9.947835		39.94963		40		22.83023		100.5132		100.2529		55.22302		53.57631		53.5538		63.79037		35.40489		35.3		100.1177		48.58994		48.51		53.61784
35		3.802062		3.8		40.63377		9.601959		9.940279		49.61032		22.83492		22.89349		78.80357		53.74887		54		9.940279		39.96799		40		22.87587		100.3258		100.1052		55.17791		53.62489		53.64324		60.03857		35.39916		35.3		100.0452		48.57505		48.51		53.46949
36		3.798266		3.8		38.75439		9.391146		9.453286		49.48953		22.89225		22.76425		78.63654		53.69036		54		9.453286		39.95746		40		22.84955		100.4464		100.3118		55.174		53.54539		53.72613		46.04045		35.41001		35.3		100.2125		48.60729		48.51		53.79239
37		3.802138		3.8		40.69106		9.695109		8.949076		49.36987		22.82755		22.9756		78.97481		53.62974		54		8.949076		39.95393		40		22.84076		100.2224		100.285		55.17521		53.53113		53.60369		54.07023		35.42085		35.3		100.3793		48.601		48.51		53.73011
38		3.801006		3.8		40.1878		9.546678		9.879533		49.6832		22.89115		22.92227		78.90298		53.74242		54		9.879533		39.993		40		22.93801		100.4122		100.1861		55.12176		53.67727		53.71998		56.42048		35.41738		35.3		100.3402		48.57634		48.51		53.48406
39		3.802147		3.8		40.78799		9.61138		9.661245		49.41807		23.00286		22.85578		78.69639		53.71637		54		9.661245		39.95014		40		22.83121		100.2768		100.1421		55.12636		53.56923		53.71399		47.81773		35.40115		35.3		100.1173		48.59395		48.51		53.66064
40		3.800709		3.8		40.07517		9.314137		9.157678		49.102		22.79737		22.82998		78.83671		53.6559		54		9.157678		40.00201		40		22.96029		100.4697		100.2034		55.07613		53.57777		53.72758		46.67593		35.42585		35.3		100.4839		48.57299		48.51		53.45164
41		3.800104		3.8		39.81026		9.399888		9.825597		49.59412		23.04221		23.02381		78.81447		53.73684		54		9.825597		39.96806		40		22.87571		100.4324		100.4619		55.11014		53.50383		53.66108		45.48413		35.41966		35.3		100.4058		48.59854		48.51		53.70765
42		3.801059		4		40.27883		9.455592		9.871117		49.41425		22.81483		22.99525		78.97854		53.74267		54		9.871117		39.99503		40		22.9428		100.3958		100.1609		55.02231		53.57042		53.50476		63.89344		35.40606		35.3		100.22		48.58504		48.51		53.57316
43		3.818544		4		6.59407		9.456752		9.204509		48.80197		22.94999		23.01682		78.93225		53.66252		54		9.204509		39.97679		40		22.89739		99.87879		101.3503		55.37585		53.58222		53.6323		53.66037		35.47131		35.3		101.1721		48.61358		48.51		53.85916
