Trend data for Model:	
Model time base:		12
Plot duration (secs):		3036

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1005:ControllerOutput		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		%		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																						
0		3.788591		3.78675		40.26914		11.98095		11.93585		54		23.03056		23.0245		79.52148		53.98228		54		11.93585		40.0258		40		23.0245		98.22828		98.40504		54.93191		52.80363		52.90595		62.65106		35.31006		35.3		98.40504		48.52017		48.51		52.90595
12		3.787885		3.78675		40.24031		11.97865		11.92581		55.35449		22.91853		22.98955		79.53802		53.98135		54		11.92581		40.06608		40		23.12496		98.24547		98.40504		55.009		52.91251		52.90595		60.28975		35.30937		35.3		98.40504		48.5125		48.51		52.90595
24		3.787789		3.78675		40.43574		11.8127		12.21599		55.12602		22.94179		22.93913		79.40764		54.0167		54		12.21599		40.04755		40		23.07903		98.4073		98.40504		55.05556		52.90997		52.90595		60.4996		35.31604		35.3		98.40504		48.50984		48.51		52.90595
36		3.786199		3.78675		39.77455		11.9176		11.95139		55.30381		23.00186		23.00883		79.51781		54.00541		54		11.95139		39.98998		40		23.00883		98.35244		98.40504		55.04148		52.87581		52.90595		58.35951		35.29284		35.3		98.40504		48.50904		48.51		52.90595
48		3.786758		3.78675		40.18804		11.91496		11.95139		55.34827		23.01394		23.00883		79.47132		53.96655		54		11.95139		40.00207		40		23.00883		98.39281		98.40504		55.14254		52.92841		52.90595		63.40787		35.29781		35.3		98.40504		48.51653		48.51		52.90595
60		3.786487		3.78675		39.99083		11.97697		11.95139		55.33903		23.01336		23.00883		79.50242		54.02715		54		11.95139		40.01213		40		23.00883		98.44848		98.40504		55.1633		52.93383		52.90595		63.66639		35.29491		35.3		98.40504		48.50702		48.51		52.90595
72		3.786529		3.78675		40.03224		11.96784		11.95139		55.35071		22.94319		23.00883		79.57268		53.89403		54		11.95139		40.05637		40		23.00883		98.43958		98.40504		55.17773		52.85299		52.90595		57.20577		35.31542		35.3		98.40504		48.49527		48.51		52.90595
84		3.783543		3.78675		38.62096		11.92315		11.95139		55.36712		23.02585		23.00883		79.48464		53.97706		54		11.95139		40.02411		40		23.00883		98.47847		98.40504		55.17428		52.86159		52.90595		56.98986		35.31147		35.3		98.40504		48.50272		48.51		52.90595
96		3.784346		3.78675		38.95508		11.92879		11.95139		55.35992		22.95439		23.00883		79.5902		53.94941		54		11.95139		40.04695		40		23.00883		98.42768		98.40504		55.17921		52.88309		52.90595		59.05497		35.30317		35.3		98.40504		48.5109		48.51		52.90595
108		3.786414		3.78675		39.9821		11.97869		11.95139		55.3617		23.00048		23.00883		79.50255		53.93582		54		11.95139		40.02637		40		23.00883		98.32868		98.40504		55.19264		52.92871		52.90595		63.74903		35.29628		35.3		98.40504		48.5089		48.51		52.90595
120		3.788976		3.78675		41.22506		11.93113		11.95139		55.37563		23.01024		23.00883		79.51104		53.99092		54		11.95139		40.04452		40		23.00883		98.35046		98.40504		55.2007		52.91188		52.90595		61.77802		35.29848		35.3		98.40504		48.50229		48.51		52.90595
132		3.788016		3.78675		40.75184		11.93259		11.95139		55.37696		23.01612		23.00883		79.52219		53.94065		54		11.95139		40.07128		40		23.00883		98.3108		98.40504		55.20412		52.95551		52.90595		65.49399		35.29853		35.3		98.40504		48.51628		48.51		52.90595
144		3.790277		3.78675		41.89704		11.9921		11.95139		55.35764		22.95396		23.00883		79.57533		53.90218		54		11.95139		40.10232		40		23.00883		98.38755		98.40504		55.20594		52.90263		52.90595		61.51072		35.30359		35.3		98.40504		48.498		48.51		52.90595
156		3.790072		3.78675		41.76933		11.89979		11.95139		55.38891		22.98507		23.00883		79.55009		53.92764		54		11.95139		40.05766		40		23.00883		98.3356		98.40504		55.2128		52.87755		52.90595		58.84182		35.31107		35.3		98.40504		48.50114		48.51		52.90595
168		3.78455		3.78675		39.06732		11.93794		11.95139		55.37783		23.06586		23.00883		79.4516		53.93104		54		11.95139		40.06444		40		23.00883		98.43353		98.40504		55.19369		52.87841		52.90595		59.61495		35.30411		35.3		98.40504		48.51797		48.51		52.90595
180		3.782754		3.78675		38.27444		11.95845		11.95139		55.3491		22.9926		23.00883		79.48656		53.86244		54		11.95139		40.01414		40		23.00883		98.55194		98.40504		55.16554		52.92866		52.90595		64.40234		35.27651		35.3		98.40504		48.51432		48.51		52.90595
192		3.78608		3.78675		39.8723		11.97685		11.95139		55.35099		23.0244		23.00883		79.51577		53.8659		54		11.95139		40.13863		40		23.00883		98.37574		98.40504		55.19243		52.92264		52.90595		63.49204		35.29249		35.3		98.40504		48.50315		48.51		52.90595
204		3.785486		3.78675		39.40179		11.94061		11.95139		55.36816		23.02075		23.00883		79.4998		53.90297		54		11.95139		40.1158		40		23.00883		98.38316		98.40504		55.18989		52.98106		52.90595		68.7015		35.26849		35.3		98.40504		48.49326		48.51		52.90595
216		3.786272		3.78675		39.73037		11.9673		11.95139		55.33738		22.94811		23.00883		79.60254		53.94127		54		11.95139		40.08669		40		23.00883		98.38564		98.40504		55.19129		52.93833		52.90595		64.15533		35.26452		35.3		98.40504		48.50219		48.51		52.90595
228		3.784789		3.78675		39.09007		11.94852		11.95139		55.35946		23.02209		23.00883		79.51748		53.84265		54		11.95139		40.07539		40		23.00883		98.49313		98.40504		55.17194		52.85577		52.90595		56.85706		35.32145		35.3		98.40504		48.50843		48.51		52.90595
240		3.786325		3.78675		39.87909		12.00446		11.95139		55.34528		23.02696		23.00883		79.50356		53.8154		54		11.95139		40.05865		40		23.00883		98.41702		98.40504		55.18235		52.94954		52.90595		66.21757		35.27727		35.3		98.40504		48.50043		48.51		52.90595
252		3.787113		3.78675		40.35229		11.97129		11.95139		55.35123		23.03174		23.00883		79.4948		53.86353		54		11.95139		40.12023		40		23.00883		98.43852		98.40504		55.18562		52.86428		52.90595		58.54549		35.28831		35.3		98.40504		48.49796		48.51		52.90595
264		3.783262		3.78675		38.45682		8.589858		8		46.59114		22.99184		23.00883		79.54028		53.8448		54		8		40.12022		40		23.00883		100.1976		98.40504		53.81035		52.93581		52.90595		64.24473		35.3067		35.3		98.40504		48.5222		48.51		52.90595
276		3.787178		3.78675		40.30445		8.001798		8		45.18218		22.94206		23.00883		79.58722		53.86305		54		8		40.12499		40		23.00883		98.81157		98.40504		51.711		52.93691		52.90595		64.56404		35.29218		35.3		98.40504		48.48628		48.51		52.90595
288		3.784317		3.78675		38.93112		8.032908		8		45.09522		22.99047		23.00883		79.53589		54.00407		54		8		40.10704		40		23.00883		98.42837		98.40504		51.32519		52.97459		52.90595		67.681		35.26768		35.3		98.40504		48.50293		48.51		52.90595
300		3.784962		3.78675		39.26753		7.990582		8		45.07655		23.02117		23.00883		79.52937		54.06574		54		8		40.19589		40		23.00883		98.43416		98.40504		51.26637		52.96817		52.90595		67.15791		35.30584		35.3		98.40504		48.50217		48.51		52.90595
312		3.789358		3.78675		41.5064		7.970272		8		45.10358		22.97817		23.00883		79.55099		54.17087		54		8		40.14199		40		23.00883		98.40033		98.40504		51.26151		52.90763		52.90595		61.22536		35.29298		35.3		98.40504		48.52398		48.51		52.90595
324		3.787132		3.78675		40.44854		7.985596		8		45.11044		22.9927		23.00883		79.49701		54.24474		54		8		40.15466		40		23.00883		98.43007		98.40504		51.25015		52.89704		52.90595		61.05582		35.28942		35.3		98.40504		48.51749		48.51		52.90595
336		3.787618		3.78675		40.63166		8.075605		8		45.05365		22.95271		23.00883		79.57803		54.346		54		8		40.20096		40		23.00883		98.34282		98.40504		51.26478		52.88092		52.90595		59.87748		35.27569		35.3		98.40504		48.50453		48.51		52.90595
348		3.7883		3.78675		41.09385		8.022275		8		45.07931		12.41742		10		53.79276		54.44856		54		8		40.22556		40		10		98.41006		98.40504		51.28098		52.8655		52.90595		58.72057		35.30034		35.3		98.40504		48.51741		48.51		52.90595
360		3.785987		3.78675		39.9046		8.014322		8		45.07556		10.00956		10		49.34335		54.49727		54		8		40.4897		40		10		98.39934		98.40504		51.2437		52.89197		52.90595		60.47659		35.2632		35.3		98.40504		48.4895		48.51		52.90595
372		3.7873		3.78675		40.55694		8.000954		8		45.08609		9.986288		10		49.2256		54.70545		54		8		40.80805		40		10		98.41293		98.40504		51.24778		52.85529		52.90595		57.02701		35.28401		35.3		98.40504		48.48787		48.51		52.90595
384		3.786444		3.78675		40.19056		7.999045		8		45.08546		10.01749		10		49.19312		54.65322		54		8		41.04375		40		10		98.40425		98.40504		51.26813		52.87462		52.90595		59.31479		35.28872		35.3		98.40504		48.49925		48.51		52.90595
396		3.787452		3.78675		40.69394		8.012163		8		45.07715		9.989365		10		49.20578		54.85685		54		8		41.4446		40		10		98.45423		98.40504		51.24769		52.91249		52.90595		62.50921		35.29174		35.3		98.40504		48.50645		48.51		52.90595
408		3.785979		3.78675		39.92313		14.89378		15		61.94004		10.00116		10		49.20817		54.92763		54		15		41.73508		40		10		96.18725		98.40504		55.35958		52.89422		52.90595		61.13853		35.27523		35.3		98.40504		48.49068		48.51		52.90595
420		3.786735		3.78675		40.31881		15.00858		15		62.00572		10.02017		10		49.15369		54.78144		54		15		42.10665		40		10		97.61062		98.40504		58.38188		52.88815		52.90595		60.5267		35.27638		35.3		98.40504		48.50794		48.51		52.90595
432		3.785168		3.78675		39.416		15.01768		15		62.11041		9.993099		10		49.18031		54.77103		54		15		42.41267		40		10		98.11678		98.40504		59.51665		52.90207		52.90595		60.94766		35.28119		35.3		98.40504		48.49521		48.51		52.90595
444		3.784246		3.78675		38.95003		14.99309		15		62.1715		10.01948		10		49.16223		54.72492		54		15		42.73406		40		10		98.21911		98.40504		60.00845		52.81893		52.90595		53.69866		35.27643		35.3		98.40504		48.5071		48.51		52.90595
456		3.786128		3.78675		39.83133		15.01379		15		62.18612		10.00584		10		49.12687		54.71709		54		15		43.02058		40		10		98.25689		98.40504		60.21617		52.90829		52.90595		61.87099		35.2633		35.3		98.40504		48.50976		48.51		52.90595
468		3.785108		3.78675		39.36087		14.99441		15		62.21083		10.01432		10		49.13057		54.56447		54		15		43.36375		40		10		98.40338		98.40504		60.28763		52.92586		52.90595		64.32039		35.27793		35.3		98.40504		48.49721		48.51		52.90595
480		3.78602		3.78675		39.72988		14.97729		15		62.21145		14.03827		15		59.43834		54.47944		54		15		43.68912		40		15		98.34326		98.40504		60.31488		52.96013		52.90595		67.67132		35.27876		35.3		98.40504		48.49703		48.51		52.90595
492		3.784399		3.78675		38.93476		14.96475		15		62.222		15.03524		15		60.94327		54.49525		54		15		43.89508		40		15		98.47653		98.40504		60.31658		52.93823		52.90595		64.66222		35.28608		35.3		98.40504		48.49006		48.51		52.90595
504		3.789141		3.78675		41.23331		14.98317		15		62.23591		14.99238		15		61.06571		54.29525		54		15		44.11087		40		15		98.25455		98.40504		60.3711		52.89657		52.90595		60.05268		35.27665		35.3		98.40504		48.47246		48.51		52.90595
516		3.786561		3.78675		39.94602		14.98238		15		62.22356		15.01862		15		61.0116		54.21966		54		15		44.26404		40		15		98.43178		98.40504		60.34569		52.89653		52.90595		60.72191		35.29396		35.3		98.40504		48.49704		48.51		52.90595
528		3.785162		3.78675		39.29715		14.98358		15		62.23192		14.94365		15		61.02182		54.22873		54		15		44.5531		40		15		98.4003		98.40504		60.34984		52.93814		52.90595		64.30935		35.27185		35.3		98.40504		48.48713		48.51		52.90595
